NOL;NSF;ClRCi;NOA;NSM;Bugged;RTLOC;NOD;PMd;TLOC;NPF;ClTCi
0.0;14.0;2.076923077;0.0;0.0;False;625.0;0.0;13.0;276.0;4.0;27.0
0.0;0.0;1.625;0.0;0.0;False;69.0;0.0;8.0;39.0;0.0;13.0
0.0;1.0;1.294117647;0.0;0.0;False;164.0;0.0;17.0;86.0;0.0;22.0
0.0;1.0;1.25;0.0;0.0;False;248.0;0.0;4.0;128.0;0.0;7.5
0.0;0.0;2.5;0.0;0.0;False;19.0;0.0;2.0;9.0;0.0;5.0
0.0;1.0;2.154761905;0.0;4.0;False;1242.0;0.0;6.0;602.0;0.0;45.25
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;1.0;1.666666667;0.0;0.0;False;72.0;0.0;2.0;35.0;0.0;5.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;1.0;0.0;0.0;False;18.0;0.0;1.0;10.0;0.0;1.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.666666667;0.0;0.0;False;28.0;0.0;3.0;8.0;0.0;2.0
0.0;0.0;1.230769231;0.0;0.0;False;364.0;0.0;9.0;151.0;0.0;16.0
0.0;0.0;1.25;0.0;0.0;False;45.0;0.0;4.0;11.0;0.0;5.0
0.0;0.0;1.25;0.0;0.0;False;38.0;0.0;0.0;6.0;0.0;5.0
0.0;0.0;2.0;0.0;0.0;False;70.0;0.0;5.0;25.0;0.0;10.0
0.0;4.0;1.666666667;0.0;3.0;False;56.0;0.0;3.0;21.0;0.0;5.0
0.0;0.0;2.0;0.0;0.0;False;14.0;0.0;0.0;3.0;0.0;2.0
0.0;1.0;2.0;0.0;0.0;False;121.0;0.0;1.0;58.0;0.0;2.0
0.0;0.0;2.0;0.0;1.0;False;66.0;0.0;1.0;31.0;0.0;2.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;5.0;0.0;0.0;False;42.0;0.0;2.0;20.0;0.0;10.0
0.0;1.0;2.0;0.0;8.0;True;445.0;0.0;7.0;208.0;0.0;16.0
0.0;1.0;1.37037037;0.0;0.0;False;224.0;0.0;5.0;100.0;0.0;12.333333332999999
0.0;0.0;1.0;0.0;0.0;False;26.0;0.0;0.0;5.0;0.0;3.0
0.0;0.0;5.0;0.0;0.0;False;42.0;0.0;2.0;21.0;0.0;10.0
0.0;0.0;5.0;0.0;0.0;False;42.0;0.0;2.0;20.0;0.0;10.0
0.0;0.0;5.0;0.0;0.0;False;41.0;0.0;2.0;21.0;0.0;10.0
0.0;0.0;5.0;0.0;0.0;False;30.0;0.0;0.0;4.0;0.0;10.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;1.0;1.0;0.0;0.0;False;190.0;0.0;4.0;76.0;0.0;9.0
0.0;2.0;1.142857143;0.0;0.0;False;135.0;0.0;7.0;72.0;0.0;8.0
0.0;0.0;2.338461538;0.0;0.0;False;727.0;0.0;0.0;67.0;0.0;152.0
0.0;0.0;1.12987013;0.0;0.0;False;561.0;0.0;0.0;80.0;0.0;87.0
0.0;0.0;2.0;0.0;0.0;False;23.0;0.0;0.0;4.0;0.0;4.0
0.0;2.0;0.958333333;0.0;0.0;False;273.0;0.0;24.0;106.0;0.0;23.0
0.0;11.0;6.88125;0.0;0.0;False;315.0;0.0;19.0;112.0;0.0;137.625
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;1.0;2.028169014;0.0;0.0;False;1181.0;0.0;70.0;553.0;0.0;144.0
0.0;1.0;1.470588235;0.0;0.0;False;255.0;0.0;17.0;104.0;0.0;25.0
0.0;1.0;2.0;0.0;2.0;False;71.0;0.0;2.0;26.0;0.0;6.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;1.0555555559999998;0.0;0.0;False;116.0;0.0;0.0;20.0;0.0;19.0
