issues_priority_Minor_mean;NumberOfModifiers_75%;NumberOfModifiers_count;WMC_CK_25%;WMC_CK_min;MaxNumberOfNestedBlocks_25%;WMC_CK_mean;MissingDefault_freq;NumberOfModifiers_min;MissingDefault_unique;NumberOfMathOperations_25%;NumberOfMathOperations_max;Maximum Depth_mean;NumberOfModifiers_50%;WMC_CK_50%;MissingDefault_top;NumberOfMathOperations_min;MaxNumberOfNestedBlocks_count;Maximum Depth_max;issues_priority_Minor_count;Average Block Depth;WMC_CK_std;Maximum Complexity*;NumberOfModifiers_mean;MagicNumber_count;InsufficientModularization;issues_priority_Minor_std;NumberOfMathOperations_75%;issues_priority_Minor_min;NumberOfMathOperations_mean;NumberOfMathOperations_std;Maximum Depth_min;MaxNumberOfNestedBlocks_mean;NumberOfModifiers_25%;WMC_CK_75%;Cyclic_DependentModularization;Maximum Depth_std;issues_priority_Minor_max;WMC_Designite;Bugged;MaxNumberOfNestedBlocks_75%;Maximum Depth_75%;NumberOfMethods_Mood;MissingHierarchy;MaxNumberOfNestedBlocks_50%;MagicNumber_top;Average Complexity*;Maximum Depth_50%;Maximum Depth_count;MagicNumber_freq;NumberOfModifiers_std;Maximum Depth_25%;BrokenModularization;issues_priority_Major_min;MaxNumberOfNestedBlocks_std;MissingDefault_count;NumberOfMathOperations_count;WMC_CK_max;Hub_likeModularization;MaxNumberOfNestedBlocks_min;MaxNumberOfNestedBlocks_max;issues_priority_Major_mean;issues_priority_Major_max;issues_priority_Major_count;NumberOfModifiers_max;Maximum Block Depth;WMC_CK_count;MagicNumber_unique;Average Statements per Method;issues_priority_Major_std;NumberOfMathOperations_50%
0.0;0.0;7.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;False;0.0;7.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;False;0.0;0.0;7.0;False;0.0;0.0;0.0;False;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;7.0;1.0;False;0.0;0.0;0.0;0.0;1.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0
0.0;0.0;3.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;False;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;False;0.0;0.0;3.0;False;0.0;0.0;0.0;False;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0;0.0;0.0;3.0;1.0;False;0.0;0.0;1.0;1.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0
0.0;0.25;4.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;False;0.0;4.0;0.0;1.0;0.0;0.0;0.0;0.25;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;False;0.0;0.0;5.0;False;0.0;0.0;0.0;False;0.0;False;0.0;0.0;0.0;0.0;0.5;0.0;False;1.0;0.0;0.0;4.0;1.0;False;0.0;0.0;1.0;1.0;1.0;1.0;0.0;4.0;0.0;0.0;0.0;0.0
0.09090909090909093;0.0;22.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;False;0.0;22.0;0.0;11.0;0.0;0.0;0.0;0.0;1.0;False;0.3015113445777636;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;False;0.0;1.0;22.0;False;0.0;0.0;0.0;False;0.0;False;0.0;0.0;0.0;1.0;0.0;0.0;False;0.0;0.0;1.0;22.0;1.0;False;0.0;0.0;0.8181818181818182;1.0;11.0;0.0;0.0;22.0;1.0;0.0;0.4045199174779453;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;1.13;0.0;1.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;False;0.0;0.0;0.0;False;0.0;False;1.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0
0.09090909090909093;0.0;34.0;1.0;1.0;0.0;1.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;False;0.0;34.0;0.0;11.0;0.0;0.0;0.0;0.0;5.0;True;0.3015113445777636;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;False;0.0;1.0;38.0;True;0.0;0.0;0.0;False;0.0;False;0.0;0.0;0.0;5.0;0.0;0.0;False;0.0;0.0;5.0;34.0;1.0;False;0.0;0.0;0.8181818181818182;1.0;11.0;0.0;0.0;34.0;1.0;0.0;0.4045199174779453;0.0
0.0;0.0;6.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;False;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;False;0.0;0.0;6.0;False;0.0;0.0;0.0;False;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;6.0;1.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;1.13;0.0;1.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;False;0.0;0.0;0.0;False;0.0;False;1.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0
0.0;1.0;6.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;1.0;False;0.0;6.0;2.0;1.0;1.32;0.0;1.0;1.0;0.0;False;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;1.0;False;0.0;0.0;8.0;False;0.0;2.0;6.0;False;0.0;False;1.0;2.0;3.0;0.0;0.0;2.0;False;1.0;0.0;0.0;6.0;1.0;False;0.0;0.0;1.0;1.0;1.0;1.0;2.0;6.0;0.0;1.13;0.0;0.0
1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;1.0;1.13;0.0;1.0;0.0;0.0;False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;1.0;0.0;False;0.0;0.0;0.0;False;0.0;False;1.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0
