;NumberOfAnonymousClasses_count;NumberOfAssignments_count;NumberOfStringLiterals_75%;NumberOfParenthesizedExps_max;Returns_25%;NumberOfParenthesizedExps_25%;NumberOfTryCatch_min;NumberOfVariables_count;NumberOfLambdas_25%;NumberOfStringLiterals_50%;RFC_std;NumberOfTryCatch_mean;RFC_mean;CBO_75%;WMC_CK_count;NumberOfParameters_CK_count;NumberOfComparisons_75%;IsConstructor_unique;Returns_std;NumberOfLambdas_count;NumberOfLogStatements_max;NumberOfInnerClasses_count;MaxNumberOfNestedBlocks_std;NumberOfUniqueWords_std;NumberOfMathOperations_25%;IsConstructor_count;NumberOfParameters_CK_min;NumberOfStringLiterals_max;Returns_min;LOCMethod_CK_50%;NumberOfTryCatch_50%;NumberOfAssignments_std;NumberOfUniqueWords_mean;NumberOfInnerClasses_mean;NumberOfLambdas_50%;NumberOfParenthesizedExps_std;NumberOfAssignments_75%;NumberOfNumbers_75%;NumberOfInnerClasses_25%;WMC_CK_max;NumberOfTryCatch_25%;NumberOfMathOperations_mean;WMC_CK_50%;NumberOfModifiers_25%;NumberOfMathOperations_max;NumberOfVariables_std;NumberOfAssignments_max;NumberOfComparisons_std;WMC_CK_min;NumberOfLambdas_75%;RFC_75%;NumberOfLogStatements_25%;NumberOfLoops_25%;NumberOfStringLiterals_min;LOCMethod_CK_std;NumberOfAnonymousClasses_max;NumberOfComparisons_max;NumberOfStringLiterals_mean;CBO_count;RFC_count;NumberOfLogStatements_50%;NumberOfModifiers_std;WMC_CK_25%;LOCMethod_CK_75%;NumberOfParameters_CK_75%;LOCMethod_CK_25%;NumberOfParameters_CK_max;NumberOfLambdas_max;NumberOfAnonymousClasses_min;LOCMethod_CK_max;NumberOfAssignments_min;NumberOfLoops_max;RFC_50%;IsConstructor_top;NumberOfLoops_mean;NumberOfAnonymousClasses_mean;NumberOfVariables_25%;NumberOfParameters_CK_mean;NumberOfNumbers_std;LOCMethod_CK_min;NumberOfAssignments_mean;NumberOfModifiers_75%;NumberOfNumbers_max;MaxNumberOfNestedBlocks_75%;Bugged;NumberOfAnonymousClasses_50%;RFC_max;NumberOfModifiers_min;NumberOfNumbers_count;NumberOfStringLiterals_std;NumberOfLogStatements_mean;NumberOfTryCatch_75%;CBO_max;NumberOfLambdas_mean;NumberOfStringLiterals_25%;WMC_CK_mean;NumberOfAnonymousClasses_std;NumberOfUniqueWords_max;NumberOfLoops_50%;NumberOfInnerClasses_max;NumberOfTryCatch_std;NumberOfModifiers_max;NumberOfMathOperations_std;NumberOfLoops_count;NumberOfModifiers_50%;NumberOfParenthesizedExps_75%;NumberOfLoops_min;Returns_75%;MaxNumberOfNestedBlocks_mean;NumberOfMathOperations_50%;NumberOfNumbers_min;NumberOfParenthesizedExps_50%;NumberOfParenthesizedExps_mean;MaxNumberOfNestedBlocks_count;NumberOfVariables_50%;NumberOfComparisons_mean;NumberOfUniqueWords_25%;CBO_25%;RFC_min;WMC_CK_std;NumberOfParameters_CK_std;NumberOfAnonymousClasses_75%;NumberOfStringLiterals_count;MaxNumberOfNestedBlocks_max;Returns_max;LOCMethod_CK_count;NumberOfMathOperations_min;NumberOfParenthesizedExps_min;NumberOfComparisons_min;NumberOfInnerClasses_min;NumberOfModifiers_mean;NumberOfUniqueWords_count;NumberOfLogStatements_std;LOCMethod_CK_mean;NumberOfParameters_CK_50%;NumberOfComparisons_50%;NumberOfAssignments_50%;NumberOfNumbers_mean;MaxNumberOfNestedBlocks_50%;NumberOfVariables_mean;NumberOfInnerClasses_50%;NumberOfTryCatch_count;CBO_mean;NumberOfAssignments_25%;NumberOfLogStatements_75%;NumberOfNumbers_25%;NumberOfUniqueWords_75%;MaxNumberOfNestedBlocks_min;Returns_count;CBO_50%;Returns_mean;NumberOfModifiers_count;WMC_CK_75%;NumberOfVariables_max;NumberOfLogStatements_count;IsConstructor_freq;NumberOfVariables_min;NumberOfLoops_75%;NumberOfVariables_75%;NumberOfComparisons_count;NumberOfTryCatch_max;NumberOfComparisons_25%;NumberOfAnonymousClasses_25%;NumberOfMathOperations_count;MaxNumberOfNestedBlocks_25%;NumberOfUniqueWords_50%;NumberOfLogStatements_min;NumberOfNumbers_50%;NumberOfInnerClasses_std;NumberOfInnerClasses_75%;NumberOfParameters_CK_25%;NumberOfLambdas_std;NumberOfParenthesizedExps_count;NumberOfLoops_std;CBO_min;RFC_25%;NumberOfLambdas_min;CBO_std;Returns_50%;NumberOfUniqueWords_min;NumberOfMathOperations_75%
count;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;808;;;;;;;;;;;825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;3.827814569536424;3.827814569536424;1.8275386313465785;0.36534216335540837;0.293598233995585;0.014624724061810155;0.01434878587196468;3.827814569536424;0.0011037527593818985;1.2737306843267109;1.8655897187621906;0.0818354387428209;2.4417095474398414;2.563465783664459;3.827814569536424;3.827814569536424;0.33195364238410596;1.0794701986754967;0.34628323612145595;3.827814569536424;0.016556291390728478;3.827814569536424;0.4441049611435819;5.630476046330279;0.1926048565121413;3.827814569536424;0.36423841059602646;3.488962472406181;0.15894039735099338;6.766556291390729;0.04690949227373068;1.8094649631324198;12.446760463825552;0.0;0.002207505518763797;0.12876547320770218;2.5149006622516556;1.5974061810154525;0.0;4.052980132450331;0.029525386313465785;0.4578324386516786;1.5838852097130243;79.13658940397352;1.4966887417218544;1.2466597250617817;4.8841059602649;0.3477838048937787;1.141280353200883;0.0052428256070640175;3.0369757174392937;0.0016556291390728477;0.09437086092715231;0.8509933774834437;5.547458998971162;0.016556291390728478;0.8388520971302428;1.6064745044932314;3.827814569536424;3.827814569536424;0.002207505518763797;92.49162107524948;1.299944812362031;9.626931567328919;0.9208057395143487;5.181015452538631;1.4161147902869757;0.012141280353200883;0.0011037527593818985;17.503311258278146;0.7240618101545254;0.8841059602649006;2.044701986754967;;0.25223534958587557;0.0038534526160876803;0.7541390728476821;0.7638629452437062;1.171355636133004;4.214128035320089;2.023004272373435;155.20309050772627;3.411699779249448;0.6252759381898455;;0.0016556291390728477;4.955849889624724;5.661147902869757;3.827814569536424;1.119836115619772;0.005223991730614247;0.10458057395143489;3.623620309050773;0.003585322930042344;1.044150110375276;1.9377799040549673;0.0060943526206096756;20.103752759381898;0.1346578366445916;0.0;0.11182675924901019;170.47792494481237;0.5457325762672423;3.827814569536424;152.69701986754967;0.08719646799116998;0.0706401766004415;0.5814017660044151;0.4783085795353403;0.2875275938189846;0.5938189845474614;0.03090507726269316;0.08034956946051351;3.827814569536424;1.0612582781456954;0.2751289999776391;9.409492273730685;1.5391832229580573;0.9392935982339956;1.175692499670949;0.4911194168079322;0.0024834437086092716;3.827814569536424;1.1324503311258278;0.9834437086092715;3.827814569536424;0.1346578366445916;0.009933774834437087;0.05849889624724062;0.0;106.95730100149038;3.827814569536424;0.006737663081720538;8.218047950445175;0.6832229580573952;0.15673289183222958;1.5601545253863134;1.3904213826384877;0.3620309050772627;1.3909436215714004;0.0;3.827814569536424;2.1440164494427663;1.0620860927152318;0.006070640176600441;0.782560706401766;14.539183222958057;0.1445916114790287;3.827814569536424;1.9370860927152318;0.46789554017827906;3.827814569536424;2.1746688741721854;3.2649006622516556;3.827814569536424;3.6059602649006623;0.5110375275938189;0.293598233995585;1.6986754966887416;3.827814569536424;0.22185430463576158;0.10347682119205298;0.0011037527593818985;3.827814569536424;0.23206401766004414;11.519867549668874;0.0011037527593818985;1.0298013245033113;0.0;0.0;0.5135209713024282;0.00600879723128131;3.827814569536424;0.3065292032939524;1.1258278145695364;1.4682671081677705;0.0;1.2290513398615157;0.43653421633554085;7.397350993377484;0.5082781456953642
std;5.00664079140858;5.00664079140858;5.1030529710730805;1.4858714889551856;0.561325256808011;0.1443932720849709;0.16558440215217532;5.00664079140858;0.01658383181336396;4.769912005661485;2.9590316659681704;0.2883280967677469;2.9754511552826792;2.811819119289402;5.00664079140858;5.00664079140858;0.8082635654406071;0.5779351181303644;0.5497553209550843;5.00664079140858;0.18433591613396794;5.00664079140858;0.6712470329189484;7.365257479049913;1.0907777409505492;5.00664079140858;0.7990334800329731;8.216839576382423;0.5118621434548196;9.309911349912877;0.2548021582828495;3.803498654907877;10.073190088184177;0.0;0.03316766362672792;0.4671336658751569;4.414150255293645;4.80203011909223;0.0;8.114338782145348;0.19065950071049845;1.505398610901065;1.9422959370936808;1539.9736012157819;4.746209894270353;2.3909754649671435;8.97170697837859;0.8315023792583852;1.4188611551765118;0.0625215682419478;3.7427294252712047;0.03712777037365244;0.42948162431600534;4.593399553065217;11.314482829304934;0.1276721268167;1.8184057148630022;4.841275641325233;5.00664079140858;5.00664079140858;0.046958133333282935;1777.4536176143067;1.5358254020100222;12.951424455873406;1.0717390792230506;7.483679367013878;1.5043673893225844;0.10957701656480187;0.033222774709254776;33.03011333334339;2.2926776192453535;2.9929624869731537;2.8857507749976197;;0.6236328403960018;0.04176174929325873;1.805546083959187;0.8984499981618972;3.5531245787033345;7.033971172410865;3.365363941785597;3078.1325344199404;9.628883573681517;0.9780215574658379;;0.03712777037365244;6.155824982127997;67.95054240109872;5.00664079140858;2.577734514707264;0.061715042427295634;0.3940559606585071;4.398474688578101;0.03848801900305336;4.634259760849961;2.2986732005167956;0.04975114139277844;17.600359339645905;0.4936858149672169;0.0;0.3700430718659429;3079.912689093691;1.8551612983390946;5.00664079140858;3077.9606226470305;0.3773438413666578;0.40641136482126133;0.7988659916781169;0.7459141703823039;1.4223352760018602;3.8238168121003215;0.18696369440058858;0.2996917396135815;5.00664079140858;2.1731282453614535;0.63317075349901;9.112674275376659;1.976934396580019;2.2661723632599466;2.768215437233323;0.6244961955208935;0.047674219629680756;5.00664079140858;1.61283044847911;1.773578850776503;5.00664079140858;0.9677517054791771;0.13669579900543719;0.3729819489639197;0.0;2052.582110934641;5.00664079140858;0.07861014912766764;10.299178664361294;0.9328770853183844;0.5474641988444353;3.2315727622215134;4.396299942341193;0.7292271418825451;2.236868296883282;0.0;5.00664079140858;2.3391017413876174;2.548766391520946;0.07860391987630906;3.915673909408053;11.926257488192997;0.5661330485094805;5.00664079140858;2.266721512865938;0.6668196017341459;5.00664079140858;2.8364091279403367;5.085177663422798;5.00664079140858;4.893600264836773;1.6258918928418669;0.762485663125554;2.8591451433837416;5.00664079140858;0.6634975839765926;0.4322772130993162;0.033222774709254776;5.00664079140858;0.6088854415898639;10.19094725475941;0.033222774709254776;4.1166949362387175;0.0;0.0;0.8335319699109242;0.05835931307717584;5.00664079140858;0.856196434519843;1.8084075071055976;2.4495236157351092;0.0;2.139764147327954;0.6578054234126096;8.707966356037614;1.9105155110936936
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.75;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.5;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;3.0;0.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;7.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5;0.0;0.0;0.0;6.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0
50%;2.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.7071067811865476;0.0;1.5;2.0;2.0;2.0;0.0;1.0;0.0;2.0;0.0;2.0;0.0;2.8284271247461903;0.0;2.0;0.0;1.0;0.0;3.0;0.0;0.40824829046386296;11.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;2.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.3333333333333333;2.0;2.0;0.0;0.0;1.0;5.5;0.75;3.0;1.0;0.0;0.0;8.0;0.0;0.0;1.0;;0.0;0.0;0.0;0.5;0.0;3.0;1.0;1.0;0.0;0.0;;0.0;3.0;1.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;16.0;0.0;0.0;0.0;1.0;0.0;2.0;1.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;7.0;1.0;0.0;0.0;0.2723056700125195;0.0;2.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;5.333333333333333;0.0;0.0;0.0;0.0;0.0;0.5;0.0;2.0;1.5;0.0;0.0;0.0;12.0;0.0;2.0;1.0;0.25;2.0;1.0;1.0;2.0;2.0;0.0;0.0;0.25;2.0;0.0;0.0;0.0;2.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.5;0.0;0.5724982406935862;0.0;5.0;0.0
75%;5.0;5.0;2.0;0.0;0.5;0.0;0.0;5.0;0.0;1.0;2.6551780315038362;0.0;3.6383928571428577;3.5;5.0;5.0;0.25;1.0;0.5773502691896258;5.0;0.0;5.0;0.721639063239221;9.189666902796445;0.0;5.0;0.0;3.0;0.0;8.0;0.0;2.1213203435596424;16.825;0.0;0.0;0.0;3.25;1.25;0.0;4.0;0.0;0.3333333333333333;1.5;1.0;1.0;1.762620592534097;6.0;0.4981480457679722;1.0;0.0;4.75;0.0;0.0;0.0;5.756958614854537;0.0;1.0;1.5714285714285714;5.0;5.0;0.0;1.5206439237389597;1.0;12.0;1.5;5.5;2.0;0.0;0.0;20.0;0.0;1.0;3.0;;0.21666666666666667;0.0;0.75;1.0;1.0;3.0;2.75;3.0;3.0;1.0;;0.0;7.0;1.0;5.0;1.0954451150103324;0.0;0.0;5.0;0.0;0.5;2.1125;0.0;29.0;0.0;0.0;0.0;8.0;0.4472135954999579;5.0;1.0;0.0;0.0;1.0;0.7708333333333334;0.0;0.0;0.0;0.0;5.0;1.5;0.3333333333333333;13.0;2.0;1.0;1.1547005383792517;0.7867957924694432;0.0;5.0;2.0;1.0;5.0;0.0;0.0;0.0;0.0;2.5;5.0;0.0;10.3;1.0;0.0;2.0;1.0;0.5;2.0;0.0;5.0;3.0;1.0;0.0;0.0;20.25;0.0;5.0;2.5;0.75;5.0;2.5;5.0;5.0;4.0;0.0;0.0;2.6875;5.0;0.0;0.0;0.0;5.0;0.0;16.0;0.0;0.5;0.0;0.0;1.0;0.0;5.0;0.30151134457776363;1.0;2.0;0.0;1.4558090063244862;1.0;9.0;0.0
