NumberOfAnonymousClasses_count;NumberOfAssignments_count;NumberOfStringLiterals_75%;NumberOfParenthesizedExps_max;Returns_25%;NumberOfParenthesizedExps_25%;NumberOfTryCatch_min;NumberOfVariables_count;NumberOfLambdas_25%;NumberOfStringLiterals_50%;RFC_std;NumberOfTryCatch_mean;RFC_mean;CBO_75%;WMC_CK_count;NumberOfParameters_CK_count;NumberOfComparisons_75%;IsConstructor_unique;Returns_std;NumberOfLambdas_count;NumberOfLogStatements_max;NumberOfInnerClasses_count;MaxNumberOfNestedBlocks_std;NumberOfUniqueWords_std;NumberOfMathOperations_25%;IsConstructor_count;NumberOfParameters_CK_min;NumberOfStringLiterals_max;Returns_min;LOCMethod_CK_50%;NumberOfTryCatch_50%;NumberOfAssignments_std;NumberOfUniqueWords_mean;NumberOfInnerClasses_mean;NumberOfLambdas_50%;NumberOfParenthesizedExps_std;NumberOfAssignments_75%;NumberOfNumbers_75%;NumberOfInnerClasses_25%;WMC_CK_max;NumberOfTryCatch_25%;NumberOfMathOperations_mean;WMC_CK_50%;NumberOfModifiers_25%;NumberOfMathOperations_max;NumberOfVariables_std;NumberOfAssignments_max;NumberOfComparisons_std;WMC_CK_min;NumberOfLambdas_75%;RFC_75%;NumberOfLogStatements_25%;NumberOfLoops_25%;NumberOfStringLiterals_min;LOCMethod_CK_std;NumberOfAnonymousClasses_max;NumberOfComparisons_max;NumberOfStringLiterals_mean;CBO_count;RFC_count;NumberOfLogStatements_50%;NumberOfModifiers_std;WMC_CK_25%;LOCMethod_CK_75%;NumberOfParameters_CK_75%;LOCMethod_CK_25%;NumberOfParameters_CK_max;NumberOfLambdas_max;NumberOfAnonymousClasses_min;LOCMethod_CK_max;NumberOfAssignments_min;NumberOfLoops_max;RFC_50%;IsConstructor_top;NumberOfLoops_mean;NumberOfAnonymousClasses_mean;NumberOfVariables_25%;NumberOfParameters_CK_mean;NumberOfNumbers_std;LOCMethod_CK_min;NumberOfAssignments_mean;NumberOfModifiers_75%;NumberOfNumbers_max;MaxNumberOfNestedBlocks_75%;Bugged;NumberOfAnonymousClasses_50%;RFC_max;NumberOfModifiers_min;NumberOfNumbers_count;NumberOfStringLiterals_std;NumberOfLogStatements_mean;NumberOfTryCatch_75%;CBO_max;NumberOfLambdas_mean;NumberOfStringLiterals_25%;WMC_CK_mean;NumberOfAnonymousClasses_std;NumberOfUniqueWords_max;NumberOfLoops_50%;NumberOfInnerClasses_max;NumberOfTryCatch_std;NumberOfModifiers_max;NumberOfMathOperations_std;NumberOfLoops_count;NumberOfModifiers_50%;NumberOfParenthesizedExps_75%;NumberOfLoops_min;Returns_75%;MaxNumberOfNestedBlocks_mean;NumberOfMathOperations_50%;NumberOfNumbers_min;NumberOfParenthesizedExps_50%;NumberOfParenthesizedExps_mean;MaxNumberOfNestedBlocks_count;NumberOfVariables_50%;NumberOfComparisons_mean;NumberOfUniqueWords_25%;CBO_25%;RFC_min;WMC_CK_std;NumberOfParameters_CK_std;NumberOfAnonymousClasses_75%;NumberOfStringLiterals_count;MaxNumberOfNestedBlocks_max;Returns_max;LOCMethod_CK_count;NumberOfMathOperations_min;NumberOfParenthesizedExps_min;NumberOfComparisons_min;NumberOfInnerClasses_min;NumberOfModifiers_mean;NumberOfUniqueWords_count;NumberOfLogStatements_std;LOCMethod_CK_mean;NumberOfParameters_CK_50%;NumberOfComparisons_50%;NumberOfAssignments_50%;NumberOfNumbers_mean;MaxNumberOfNestedBlocks_50%;NumberOfVariables_mean;NumberOfInnerClasses_50%;NumberOfTryCatch_count;CBO_mean;NumberOfAssignments_25%;NumberOfLogStatements_75%;NumberOfNumbers_25%;NumberOfUniqueWords_75%;MaxNumberOfNestedBlocks_min;Returns_count;CBO_50%;Returns_mean;NumberOfModifiers_count;WMC_CK_75%;NumberOfVariables_max;NumberOfLogStatements_count;IsConstructor_freq;NumberOfVariables_min;NumberOfLoops_75%;NumberOfVariables_75%;NumberOfComparisons_count;NumberOfTryCatch_max;NumberOfComparisons_25%;NumberOfAnonymousClasses_25%;NumberOfMathOperations_count;MaxNumberOfNestedBlocks_25%;NumberOfUniqueWords_50%;NumberOfLogStatements_min;NumberOfNumbers_50%;NumberOfInnerClasses_std;NumberOfInnerClasses_75%;NumberOfParameters_CK_25%;NumberOfLambdas_std;NumberOfParenthesizedExps_count;NumberOfLoops_std;CBO_min;RFC_25%;NumberOfLambdas_min;CBO_std;Returns_50%;NumberOfUniqueWords_min;NumberOfMathOperations_75%
4.0;4.0;2.5;0.0;0.0;0.0;0.0;4.0;0.0;1.0;3.8622100754188224;0.25;2.25;5.25;4.0;4.0;0.0;1.0;0.5;4.0;0.0;4.0;0.5;10.21028892833107;0.0;4.0;0.0;7.0;0.0;2.0;0.0;5.0;9.75;0.0;0.0;0.0;2.5;0.5;0.0;8.0;0.0;0.25;1.0;0.0;1.0;1.5;10.0;0.0;1.0;0.0;2.75;0.0;0.0;1.0;16.194134740701646;0.0;0.0;2.5;4.0;4.0;0.0;4.358898943540674;1.0;10.75;0.25;1.0;1.0;0.0;0.0;34.0;0.0;0.0;0.5;False;0.0;0.0;0.0;0.25;1.0;1.0;2.5;3.0;2.0;0.25;False;0.0;8.0;0.0;4.0;3.0;0.0;0.25;9.0;0.0;1.0;2.75;0.0;25.0;0.0;0.0;0.5;9.0;0.5;4.0;0.5;0.0;0.0;0.25;0.25;0.0;0.0;0.0;0.0;4.0;0.0;0.0;4.0;1.0;0.0;3.5;0.5;0.0;4.0;1.0;1.0;4.0;0.0;0.0;0.0;0.0;2.5;4.0;0.0;9.75;0.0;0.0;0.0;0.5;0.0;0.75;0.0;4.0;3.75;0.0;0.0;0.0;10.75;0.0;4.0;2.5;0.25;4.0;2.75;3.0;4.0;4.0;0.0;0.0;0.75;4.0;1.0;0.0;0.0;4.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;1.0;0.0;0.0;3.7749172176353754;0.0;4.0;0.25
1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;3.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;3.0;1.0;3.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;True;0.0;0.0;0.0;1.0;0.0;3.0;0.0;1.0;0.0;0.0;False;0.0;0.0;1.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;9.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;9.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;9.0;0.0;1.0;2.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;9.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;9.0;0.0
2.0;2.0;1.5;0.0;0.5;0.0;0.0;2.0;0.0;1.0;3.5355339059327378;0.5;3.5;7.75;2.0;2.0;0.0;1.0;1.4142135623730951;2.0;0.0;2.0;0.7071067811865476;12.020815280171306;0.25;2.0;0.0;2.0;0.0;9.0;0.5;1.4142135623730951;17.5;0.0;0.0;0.0;1.5;0.75;0.0;3.0;0.25;0.5;2.0;3.0;1.0;1.4142135623730951;2.0;0.0;1.0;0.0;4.75;0.0;0.0;0.0;8.48528137423857;0.0;0.0;1.0;2.0;2.0;0.0;5.656854249492381;1.5;12.0;0.75;6.0;1.0;0.0;0.0;15.0;0.0;0.0;3.5;False;0.0;0.0;0.5;0.5;0.7071067811865476;3.0;1.0;7.0;1.0;0.75;False;0.0;6.0;1.0;2.0;1.4142135623730951;0.0;0.75;9.0;0.0;0.5;2.0;0.0;26.0;0.0;0.0;0.7071067811865476;9.0;0.7071067811865476;2.0;5.0;0.0;0.0;1.5;0.5;0.5;0.0;0.0;0.0;2.0;1.0;0.0;13.25;5.25;1.0;1.4142135623730951;0.7071067811865476;0.0;2.0;1.0;2.0;2.0;0.0;0.0;0.0;0.0;5.0;2.0;0.0;9.0;0.5;0.0;1.0;0.5;0.5;1.0;0.0;2.0;6.5;0.5;0.0;0.25;21.75;0.0;2.0;6.5;1.0;2.0;2.5;2.0;2.0;2.0;0.0;0.0;1.5;2.0;1.0;0.0;0.0;2.0;0.25;17.5;0.0;0.5;0.0;0.0;0.25;0.0;2.0;0.0;4.0;2.25;0.0;3.5355339059327378;1.0;9.0;0.75
2.0;2.0;0.0;0.0;0.25;0.0;0.0;2.0;0.0;0.0;2.8284271247461903;0.0;3.0;8.5;2.0;2.0;0.0;1.0;0.7071067811865476;2.0;0.0;2.0;0.0;4.242640687119285;0.0;2.0;0.0;0.0;0.0;4.0;0.0;1.4142135623730951;10.0;0.0;0.0;0.0;1.5;0.75;0.0;1.0;0.0;0.0;1.0;3.0;0.0;1.4142135623730951;2.0;0.0;1.0;0.0;4.0;0.0;0.0;0.0;1.4142135623730951;0.0;0.0;0.0;2.0;2.0;0.0;5.656854249492381;1.0;4.5;0.75;3.5;1.0;0.0;0.0;5.0;0.0;0.0;3.0;False;0.0;0.0;0.5;0.5;0.7071067811865476;3.0;1.0;7.0;1.0;0.0;False;0.0;5.0;1.0;2.0;0.0;0.0;0.0;10.0;0.0;0.0;1.0;0.0;13.0;0.0;0.0;0.0;9.0;0.0;2.0;5.0;0.0;0.0;0.75;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;8.5;5.5;1.0;0.0;0.7071067811865476;0.0;2.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;5.0;2.0;0.0;4.0;0.5;0.0;1.0;0.5;0.0;1.0;0.0;2.0;7.0;0.5;0.0;0.25;11.5;0.0;2.0;7.0;0.5;2.0;1.0;2.0;2.0;2.0;0.0;0.0;1.5;2.0;0.0;0.0;0.0;2.0;0.0;10.0;0.0;0.5;0.0;0.0;0.25;0.0;2.0;0.0;4.0;2.0;0.0;4.242640687119285;0.5;7.0;0.0
2.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.7071067811865476;0.0;0.5;3.25;2.0;2.0;0.0;2.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;5.25;0.0;0.0;0.0;0.0;1.0;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;3.5355339059327378;1.0;3.0;0.75;3.0;1.0;0.0;0.0;3.0;0.0;0.0;0.5;True;0.0;0.0;0.0;0.5;0.0;3.0;0.0;7.75;0.0;0.0;False;0.0;1.0;4.0;2.0;0.0;0.0;0.0;4.0;0.0;0.0;1.0;0.0;7.0;0.0;0.0;0.0;9.0;0.0;2.0;6.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;7.0;1.75;0.0;0.0;0.7071067811865476;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;6.5;2.0;0.0;3.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.5;0.0;0.0;0.0;7.0;0.0;2.0;2.5;0.0;2.0;1.0;0.0;2.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;7.0;0.0;0.0;0.0;0.0;0.25;0.0;2.0;0.0;1.0;0.25;0.0;2.1213203435596424;0.0;7.0;0.0
1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;3.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;3.0;1.0;3.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;True;0.0;0.0;0.0;1.0;0.0;3.0;0.0;4.0;0.0;0.0;False;0.0;0.0;4.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;5.0;0.0;0.0;0.0;4.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;5.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;1.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;5.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;5.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;5.0;0.0
3.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;3.6055512754639887;0.0;3.0;0.0;3.0;3.0;0.5;1.0;1.1547005383792517;3.0;0.0;3.0;1.7320508075688772;5.507570547286101;0.0;3.0;0.0;0.0;0.0;5.0;0.0;1.7320508075688772;6.666666666666668;0.0;0.0;0.0;1.5;0.0;0.0;9.0;0.0;0.0;1.0;1.0;0.0;1.1547005383792517;3.0;0.5773502691896258;1.0;0.0;4.5;0.0;0.0;0.0;13.07669683062202;0.0;1.0;0.0;3.0;3.0;0.0;0.0;1.0;15.5;0.0;3.5;0.0;0.0;0.0;26.0;0.0;2.0;2.0;False;0.6666666666666666;0.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;1.5;True;0.0;7.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;3.6666666666666665;0.0;13.0;0.0;0.0;0.0;1.0;0.0;3.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;0.3333333333333333;3.5;0.0;0.0;4.618802153517007;0.0;0.0;3.0;3.0;2.0;3.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;11.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;3.0;0.0;0.0;0.0;0.0;8.5;0.0;3.0;0.0;0.6666666666666666;3.0;5.0;2.0;3.0;3.0;0.0;1.0;1.0;3.0;0.0;0.0;0.0;3.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.1547005383792517;0.0;1.0;0.0;0.0;0.0;3.0;0.0
2.0;2.0;0.75;0.0;0.25;0.0;0.0;2.0;0.0;0.5;3.5355339059327378;0.5;3.5;8.5;2.0;2.0;0.0;1.0;0.7071067811865476;2.0;0.0;2.0;0.7071067811865476;12.020815280171306;0.0;2.0;0.0;1.0;0.0;8.0;0.5;2.8284271247461903;13.5;0.0;0.0;0.0;3.0;0.0;0.0;2.0;0.25;0.0;1.5;3.0;0.0;2.1213203435596424;4.0;0.0;1.0;0.0;4.75;0.0;0.0;0.0;7.071067811865476;0.0;0.0;0.5;2.0;2.0;0.0;5.656854249492381;1.25;10.5;0.75;5.5;1.0;0.0;0.0;13.0;0.0;0.0;3.5;False;0.0;0.0;0.75;0.5;0.0;3.0;2.0;7.0;0.0;0.75;False;0.0;6.0;1.0;2.0;0.7071067811865476;0.0;0.75;10.0;0.0;0.25;1.5;0.0;22.0;0.0;0.0;0.7071067811865476;9.0;0.0;2.0;5.0;0.0;0.0;0.75;0.5;0.0;0.0;0.0;0.0;2.0;1.5;0.0;9.25;5.5;1.0;0.7071067811865476;0.7071067811865476;0.0;2.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;5.0;2.0;0.0;8.0;0.5;0.0;2.0;0.0;0.5;1.5;0.0;2.0;7.0;1.0;0.0;0.0;17.75;0.0;2.0;7.0;0.5;2.0;1.75;3.0;2.0;2.0;0.0;0.0;2.25;2.0;1.0;0.0;0.0;2.0;0.25;13.5;0.0;0.0;0.0;0.0;0.25;0.0;2.0;0.0;4.0;2.25;0.0;4.242640687119285;0.5;5.0;0.0
4.0;4.0;5.0;5.0;0.0;0.0;0.0;4.0;0.0;0.5;7.5;0.25;4.75;3.5;4.0;4.0;2.5;2.0;1.5;4.0;0.0;4.0;1.8929694486000912;20.1059692628831;0.0;4.0;0.0;17.0;0.0;7.0;0.0;11.09053650640942;19.75;0.0;0.0;2.5;8.0;4.75;0.0;29.0;0.0;1.0;1.5;1.0;4.0;5.5;23.0;5.0;1.0;0.0;4.75;0.0;0.0;0.0;29.90540642314251;0.0;10.0;4.5;4.0;4.0;0.0;0.0;1.0;24.5;0.75;3.0;3.0;0.0;0.0;65.0;0.0;2.0;1.0;False;0.5;0.0;0.0;0.75;9.5;3.0;6.5;1.0;19.0;1.75;False;0.0;16.0;1.0;4.0;8.34665601703261;0.0;0.25;5.0;0.0;0.0;8.25;0.0;46.0;0.0;0.0;0.5;1.0;2.0;4.0;1.0;1.25;0.0;0.75;1.25;0.0;0.0;0.0;1.25;4.0;0.0;2.5;4.0;1.0;1.0;13.841363131329707;1.5;0.0;4.0;4.0;3.0;4.0;0.0;0.0;0.0;0.0;1.0;4.0;0.0;20.5;0.0;0.0;1.5;4.75;0.5;2.75;0.0;4.0;2.5;0.0;0.0;0.0;30.25;0.0;4.0;2.0;0.75;4.0;8.75;11.0;4.0;3.0;0.0;0.5;2.75;4.0;1.0;0.0;0.0;4.0;0.0;14.5;0.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0;1.0;1.0;0.0;1.914854215512676;0.0;4.0;1.0
4.0;4.0;2.25;0.0;0.0;0.0;0.0;4.0;0.0;1.0;3.8622100754188224;0.25;2.25;5.25;4.0;4.0;0.0;1.0;0.5;4.0;0.0;4.0;0.5;10.21028892833107;0.0;4.0;0.0;6.0;0.0;2.0;0.0;4.0;9.75;0.0;0.0;0.0;2.0;0.5;0.0;7.0;0.0;0.25;1.0;0.0;1.0;1.5;8.0;0.0;1.0;0.0;2.75;0.0;0.0;1.0;14.198004554631376;0.0;0.0;2.25;4.0;4.0;0.0;4.358898943540674;1.0;9.75;0.25;1.0;1.0;0.0;0.0;30.0;0.0;0.0;0.5;False;0.0;0.0;0.0;0.25;1.0;1.0;2.0;3.0;2.0;0.25;False;0.0;8.0;0.0;4.0;2.5;0.0;0.25;9.0;0.0;1.0;2.5;0.0;25.0;0.0;0.0;0.5;9.0;0.5;4.0;0.5;0.0;0.0;0.25;0.25;0.0;0.0;0.0;0.0;4.0;0.0;0.0;4.0;1.0;0.0;3.0;0.5;0.0;4.0;1.0;1.0;4.0;0.0;0.0;0.0;0.0;2.5;4.0;0.0;8.75;0.0;0.0;0.0;0.5;0.0;0.75;0.0;4.0;3.75;0.0;0.0;0.0;10.75;0.0;4.0;2.5;0.25;4.0;2.5;3.0;4.0;4.0;0.0;0.0;0.75;4.0;1.0;0.0;0.0;4.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;1.0;0.0;0.0;3.7749172176353754;0.0;4.0;0.25
1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;3.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;3.0;1.0;3.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;True;0.0;0.0;0.0;1.0;0.0;3.0;0.0;4.0;0.0;0.0;False;0.0;0.0;4.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;5.0;0.0;0.0;0.0;4.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;5.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;1.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;5.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;5.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;5.0;0.0
1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;3.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;4.0;1.0;0.0;7.0;0.0;0.0;36.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;3.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;7.0;4.0;7.0;4.0;0.0;0.0;7.0;3.0;0.0;1.0;True;0.0;0.0;0.0;4.0;0.0;7.0;3.0;1.0;0.0;0.0;False;0.0;1.0;1.0;1.0;0.0;0.0;0.0;3.0;0.0;1.0;1.0;0.0;36.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;36.0;3.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;7.0;4.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;3.0;3.0;0.0;0.0;36.0;0.0;1.0;3.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;36.0;0.0;0.0;0.0;0.0;4.0;0.0;1.0;0.0;3.0;1.0;0.0;0.0;0.0;36.0;0.0
4.0;4.0;2.0;0.0;0.0;0.0;0.0;4.0;0.0;2.0;3.7859388972001824;0.25;2.5;2.75;4.0;4.0;0.0;2.0;0.5773502691896257;4.0;0.0;4.0;1.0;10.214368964029706;0.0;4.0;0.0;2.0;0.0;3.0;0.0;3.0;11.5;0.0;0.0;0.0;1.5;1.25;0.0;3.0;0.0;0.25;1.0;0.75;1.0;2.5;6.0;0.0;1.0;0.0;3.5;0.0;0.0;0.0;8.88350531415762;1.0;0.0;1.5;4.0;4.0;0.0;1.7320508075688772;1.0;7.25;1.25;2.5;2.0;0.0;0.0;20.0;0.0;1.0;1.0;False;0.25;0.25;0.0;1.0;2.5;1.0;1.5;1.75;5.0;0.5;False;0.0;8.0;0.0;4.0;1.0;0.0;0.25;8.0;0.0;1.5;1.5;0.5;26.0;0.0;0.0;0.5;4.0;0.5;4.0;1.0;0.0;0.0;1.0;0.5;0.0;0.0;0.0;0.0;4.0;0.0;0.0;5.25;0.75;0.0;1.0;0.8164965809277259;0.25;4.0;2.0;1.0;4.0;0.0;0.0;0.0;0.0;1.5;4.0;0.0;6.75;1.0;0.0;0.0;1.25;0.0;1.25;0.0;4.0;2.5;0.0;0.0;0.0;14.75;0.0;4.0;1.0;0.5;4.0;1.5;5.0;4.0;3.0;0.0;0.25;1.25;4.0;1.0;0.0;0.0;4.0;0.0;8.5;0.0;0.0;0.0;0.0;0.75;0.0;4.0;0.5;0.0;0.0;0.0;3.6968455021364717;0.5;3.0;0.25
2.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.7071067811865476;0.0;0.5;3.25;2.0;2.0;0.0;2.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;5.25;0.0;0.0;0.0;0.0;1.0;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;3.5355339059327378;1.0;3.0;0.75;3.0;1.0;0.0;0.0;3.0;0.0;0.0;0.5;True;0.0;0.0;0.0;0.5;0.0;3.0;0.0;7.75;0.0;0.0;False;0.0;1.0;4.0;2.0;0.0;0.0;0.0;4.0;0.0;0.0;1.0;0.0;5.0;0.0;0.0;0.0;9.0;0.0;2.0;6.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;5.0;1.75;0.0;0.0;0.7071067811865476;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;6.5;2.0;0.0;3.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.5;0.0;0.0;0.0;5.0;0.0;2.0;2.5;0.0;2.0;1.0;0.0;2.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;5.0;0.0;0.0;0.0;0.0;0.25;0.0;2.0;0.0;1.0;0.25;0.0;2.1213203435596424;0.0;5.0;0.0
3.0;3.0;0.5;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;3.0;3.0;0.0;2.0;0.0;3.0;0.0;3.0;0.0;12.701705922171767;0.0;3.0;0.0;1.0;0.0;3.0;0.0;1.7320508075688772;11.333333333333336;0.0;0.0;0.0;1.5;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;3.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.1547005383792517;0.0;0.0;0.3333333333333333;3.0;3.0;0.0;0.0;1.0;4.0;0.5;3.0;1.0;0.0;0.0;5.0;0.0;0.0;1.0;False;0.0;0.0;0.0;0.3333333333333333;0.0;3.0;1.0;1.0;0.0;0.0;False;0.0;1.0;1.0;3.0;0.5773502691896258;0.0;0.0;1.0;0.0;0.0;1.0;0.0;26.0;0.0;0.0;0.0;1.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;4.0;1.0;1.0;0.0;0.5773502691896258;0.0;3.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;3.6666666666666665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;15.0;0.0;3.0;1.0;0.0;3.0;1.0;0.0;3.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;3.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;1.0;0.0;0.0;0.0;4.0;0.0
