;issues_priorityMinor_mean;blamemerge_priorityMinor_max;NumberOfMathOperations_std;Maximum Depth_min;blamemerge_priorityMajor_std;Maximum Depth_mean;Md;NumberOfModifiers_min;blame_merge_priorityMajor_max;MaxNumberOfNestedBlocks_50%;issues_priorityMajor_count;Maximum Depth_count;Maximum Depth_25%;MaxNumberOfNestedBlocks_25%;Maximum Complexity*;NumberOfModifiers_mean;NumberOfMathOperations_max;blame_merge_priorityMajor_mean;NumberOfModifiers_50%;issues_priorityMinor_count;NM;NumberOfMathOperations_25%;blamemerge_priorityMinor_std;Maximum Depth_max;issues_priorityMinor_std;Average Block Depth;blame_merge_priorityMinor_std;Mo;issues_priorityMajor_mean;NOPa;blame_merge_priorityMajor_min;HMi;NumberOfMathOperations_min;blamemerge_priorityMajor_min;NMI;Average Statements per Method;PMi;MaxNumberOfNestedBlocks_mean;MaxNumberOfNestedBlocks_std;Ad;Mi;blame_merge_priorityMinor_count;blamemerge_priorityMajor_mean;Mit;issues_priorityMajor_std;NumberOfMathOperations_count;NumberOfModifiers_max;blame_merge_priorityMinor_min;issues_priorityMinor_max;blamemerge_priorityMinor_count;Av;NumberOfModifiers_25%;NMA;Maximum Depth_50%;Maximum Depth_std;MaxNumberOfNestedBlocks_max;PMR;Ait;NumberOfMathOperations_mean;blamemerge_priorityMajor_count;Ao;blame_merge_priorityMinor_mean;Maximum Block Depth;NMIR;NumberOfMathOperations_75%;NumberOfModifiers_75%;MaxNumberOfNestedBlocks_min;blame_merge_priorityMajor_std;SIX;PMd;MaxNumberOfNestedBlocks_count;HMd;NumberOfModifiers_count;blamemerge_priorityMinor_min;NumberOfMathOperations_50%;blamemerge_priorityMajor_max;blame_merge_priorityMinor_max;issues_priorityMajor_min;NumberOfMethods_Mood;NF;Maximum Depth_75%;Bugged;MaxNumberOfNestedBlocks_75%;issues_priorityMajor_max;NumberOfModifiers_std;issues_priorityMinor_min;Ai;blamemerge_priorityMinor_mean;Average Complexity*;Ma;blame_merge_priorityMajor_count
count;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1228;;;;;;;;;
mean;0.02296696029211086;0.0818109610802224;0.7740413247966217;1.3328038125496426;0.16057053420778164;1.4703908391982519;5.4154090548054015;1.943606036536934;0.0;0.5150913423351866;573.6854646544876;1.6957903097696585;1.4027005559968229;0.35643367752184274;6.371723590150913;7.067945184754714;2.192216044479746;0.0;5.198967434471803;573.6854646544876;5.75297855440826;0.5599682287529786;0.009406171097823317;1.6457505957108816;0.012528908428090436;1.6693804606830818;0.0;0.0;0.59582760590792;0.0;0.0;0.0;0.40587768069896746;0.3272438443208896;0.0;9.620722795869737;0.0;0.6187698033560742;0.45082158360961977;2.2200158856235106;0.0;0.0;0.6552374188507244;0.0;0.19230893445205843;5.254964257347101;20.745830023828436;0.0;0.08657664813343924;16194.794281175537;0.545671167593328;2.7688641779189833;5.75297855440826;1.4586973788721207;0.1623732357271091;1.3153296266878476;0.3444538539523431;0.0;0.9571482027521798;16194.794281175537;0.0;0.0;4.02065131056394;0.0;1.1449563145353454;8.78296266878475;0.24861000794281177;0.0;0.0;4.03891977760127;5.254964257347101;1.3764892772041302;5.254964257347101;0.016679904686258934;0.7609213661636219;0.7831612390786339;0.0;0.35424940428911833;7.35583796664019;2.2200158856235106;1.528395552025417;;0.7948768864177919;0.7744241461477362;8.491999395720095;0.017474185861795076;0.0;0.021919240989846937;2.506632247815727;5.4154090548054015;0.0
std;0.14045795283157306;0.2741854115585942;1.589531052489495;1.429185678326405;0.1965415437231653;1.4897322520308716;12.242831232412026;28.955327085640082;0.0;0.8261972882178509;590.242008949531;2.9363258149340568;1.4428585768886435;0.7096948935852505;6.834521076595663;50.96430299583285;3.740115081720327;0.0;51.95271107576726;590.242008949531;12.460627222868762;1.7394863372819975;0.050943906164515086;1.6930618648734004;0.05090878639023143;0.7652946670868991;0.0;0.0;0.38595053841620597;0.0;0.0;0.0;1.6067218958260605;0.4693935607744286;0.0;10.48474773228914;0.0;0.8073345913623379;0.6003926916417334;4.779897591522126;0.0;0.0;0.40207251347885575;0.0;0.23484618966288354;8.67626353138095;134.1633577786249;0.0;0.28132542493805635;25131.262281340198;2.3963611636396682;31.51374853869459;12.460627222868762;1.4796855098397397;0.42121971950552395;1.5338818183273866;0.4262572529358861;0.0;1.997797780622678;25131.262281340198;0.0;0.0;2.070971114250867;0.0;2.3728677103003633;76.75679403728215;0.6679019826569781;0.0;0.0;9.745126087280415;8.67626353138095;4.080620771944372;8.67626353138095;0.12811995696101375;1.987248165488218;0.41225563004759025;0.0;0.4784752924390194;12.279941656352536;4.779897591522126;1.5505325919734587;;1.0145853883573326;0.4181270768432404;63.24015425880822;0.13108198356666514;0.0;0.1370356080360912;2.1364462641710817;12.242831232412026;0.0
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.5;0.0;0.0;0.0;2.0;0.9772727272727273;0.0;0.0;1.0;14.5;0.0;0.0;0.0;0.0;0.0;1.33;0.0;0.0;0.4764208502552081;0.0;0.0;0.0;0.0;0.0;0.0;2.96;0.0;0.0;0.0;0.0;0.0;0.0;0.2605206498336269;0.0;0.0;1.0;1.0;0.0;0.0;255.5;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;255.5;0.0;0.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;;0.0;1.0;0.0;0.0;0.0;0.0;1.1349999999999998;0.0;0.0
50%;0.0;0.0;0.0;2.0;0.0;2.0;0.0;1.0;0.0;0.0;328.0;1.0;2.0;0.0;4.0;1.0;1.0;0.0;1.0;328.0;0.0;0.0;0.0;2.0;0.0;1.72;0.0;0.0;0.5522609340252038;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.8663398225021471;0.0;0.0;2.0;1.0;0.0;0.0;6654.0;0.0;1.0;0.0;2.0;0.0;1.0;0.0;0.0;0.037037037037037035;6654.0;0.0;0.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;4.0;0.0;2.0;;0.25;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0
75%;0.0;0.0;1.0;2.0;0.35441569497655356;2.732142857142857;6.0;1.0;0.0;1.0;1224.0;2.0;2.25;0.5;9.0;1.4248120300751879;3.0;0.0;1.0;1224.0;6.0;0.0;0.0;3.0;0.0;2.105;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;12.775;0.0;1.0;0.8105791932892126;3.0;0.0;0.0;1.0;0.0;0.4978895053949798;6.0;2.0;0.0;0.0;21902.0;0.0;1.0;6.0;3.0;0.0;2.0;0.8167832165;0.0;1.0;21902.0;0.0;0.0;5.0;0.0;1.0;1.25;0.0;0.0;0.0;4.0;6.0;1.0;6.0;0.0;0.5;1.0;0.0;1.0;8.0;3.0;3.0;;1.25;1.0;0.5163977794943222;0.0;0.0;0.0;3.13;6.0;0.0
