issues_priorityMinor_mean;blamemerge_priorityMinor_max;NumberOfMathOperations_std;Maximum Depth_min;blamemerge_priorityMajor_std;Maximum Depth_mean;Md;NumberOfModifiers_min;blame_merge_priorityMajor_max;MaxNumberOfNestedBlocks_50%;issues_priorityMajor_count;Maximum Depth_count;Maximum Depth_25%;MaxNumberOfNestedBlocks_25%;Maximum Complexity*;NumberOfModifiers_mean;NumberOfMathOperations_max;blame_merge_priorityMajor_mean;NumberOfModifiers_50%;issues_priorityMinor_count;NM;NumberOfMathOperations_25%;blamemerge_priorityMinor_std;Maximum Depth_max;issues_priorityMinor_std;Average Block Depth;blame_merge_priorityMinor_std;Mo;issues_priorityMajor_mean;NOPa;blame_merge_priorityMajor_min;HMi;NumberOfMathOperations_min;blamemerge_priorityMajor_min;NMI;Average Statements per Method;PMi;MaxNumberOfNestedBlocks_mean;MaxNumberOfNestedBlocks_std;Ad;Mi;blame_merge_priorityMinor_count;blamemerge_priorityMajor_mean;Mit;issues_priorityMajor_std;NumberOfMathOperations_count;NumberOfModifiers_max;blame_merge_priorityMinor_min;issues_priorityMinor_max;blamemerge_priorityMinor_count;Av;NumberOfModifiers_25%;NMA;Maximum Depth_50%;Maximum Depth_std;MaxNumberOfNestedBlocks_max;PMR;Ait;NumberOfMathOperations_mean;blamemerge_priorityMajor_count;Ao;blame_merge_priorityMinor_mean;Maximum Block Depth;NMIR;NumberOfMathOperations_75%;NumberOfModifiers_75%;MaxNumberOfNestedBlocks_min;blame_merge_priorityMajor_std;SIX;PMd;MaxNumberOfNestedBlocks_count;HMd;NumberOfModifiers_count;blamemerge_priorityMinor_min;NumberOfMathOperations_50%;blamemerge_priorityMajor_max;blame_merge_priorityMinor_max;issues_priorityMajor_min;NumberOfMethods_Mood;NF;Maximum Depth_75%;Bugged;MaxNumberOfNestedBlocks_75%;issues_priorityMajor_max;NumberOfModifiers_std;issues_priorityMinor_min;Ai;blamemerge_priorityMinor_mean;Average Complexity*;Ma;blame_merge_priorityMajor_count
0.0;0.0;0.0;0.0;0.2877636229353555;0.0;3.0;0.0;0.0;0.0;1239.0;0.0;0.0;0.0;2.0;0.5;0.0;0.0;0.5;1239.0;3.0;0.0;0.0;0.0;0.0;1.26;0.0;0.0;0.4826472962066182;0.0;0.0;0.0;0.0;0.0;0.0;6.33;0.0;0.0;0.0;1.0;0.0;0.0;0.9089009214401064;0.0;0.4999005691671786;2.0;1.0;0.0;0.0;10527.0;0.0;0.25;3.0;0.0;0.0;0.0;0.666666667;0.0;0.0;10527.0;0.0;0.0;3.0;0.0;0.0;0.75;0.0;0.0;0.0;2.0;2.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;False;0.0;1.0;0.7071067811865476;0.0;0.0;0.0;1.33;3.0;0.0
0.0;0.0;0.0;0.0;0.3224925274381678;0.0;3.0;0.0;0.0;0.0;1239.0;0.0;0.0;0.0;2.0;0.5;0.0;0.0;0.5;1239.0;3.0;0.0;0.0;0.0;0.0;1.27;0.0;0.0;0.4826472962066182;0.0;0.0;0.0;0.0;0.0;0.0;6.67;0.0;0.0;0.0;1.0;0.0;0.0;0.8821143208358943;0.0;0.4999005691671786;2.0;1.0;0.0;0.0;8135.0;0.0;0.25;3.0;0.0;0.0;0.0;0.666666667;0.0;0.0;8135.0;0.0;0.0;3.0;0.0;0.0;0.75;0.0;0.0;0.0;2.0;2.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;False;0.0;1.0;0.7071067811865476;0.0;0.0;0.0;1.33;3.0;0.0
0.0;0.0;0.0;0.0;0.2740790921710729;0.0;3.0;0.0;0.0;0.0;1239.0;0.0;0.0;0.0;2.0;0.5;0.0;0.0;0.5;1239.0;3.0;0.0;0.0;0.0;0.0;1.26;0.0;0.0;0.4826472962066182;0.0;0.0;0.0;0.0;0.0;0.0;6.33;0.0;0.0;0.0;1.0;0.0;0.0;0.9181950012795359;0.0;0.4999005691671786;2.0;1.0;0.0;0.0;11723.0;0.0;0.25;3.0;0.0;0.0;0.0;0.666666667;0.0;0.0;11723.0;0.0;0.0;3.0;0.0;0.0;0.75;0.0;0.0;0.0;2.0;2.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;False;0.0;1.0;0.7071067811865476;0.0;0.0;0.0;1.33;3.0;0.0
0.0;0.0;0.0;0.0;0.4026608377661801;0.0;3.0;0.0;0.0;0.0;1257.0;0.0;0.0;0.0;2.0;0.5;0.0;0.0;0.5;1257.0;3.0;0.0;0.0;0.0;0.0;1.24;0.0;0.0;0.4900556881463803;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;1.0;0.0;0.0;0.7964770797962648;0.0;0.5001000665008911;2.0;1.0;0.0;0.0;4712.0;0.0;0.25;3.0;0.0;0.0;0.0;0.666666667;0.0;0.0;4712.0;0.0;0.0;3.0;0.0;0.0;0.75;0.0;0.0;0.0;2.0;2.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;False;0.0;1.0;0.7071067811865476;0.0;0.0;0.0;1.33;3.0;0.0
0.0;0.0;1.1547005383792517;0.0;0.3106674769744035;0.0;4.0;0.0;0.0;1.0;1343.0;0.0;0.0;0.5;8.0;0.6666666666666666;2.0;0.0;1.0;1343.0;4.0;0.0;0.0;0.0;0.0;1.97;0.0;0.0;0.4772896500372301;0.0;0.0;0.0;0.0;0.0;0.0;12.5;0.0;1.3333333333333333;1.5275252316519468;1.0;0.0;0.0;0.8917804689513013;0.0;0.4996700359270903;3.0;1.0;0.0;0.0;15524.0;0.0;0.5;4.0;0.0;0.0;3.0;0.75;0.0;0.6666666666666666;15524.0;0.0;0.0;5.0;0.0;1.0;1.0;0.0;0.0;0.0;3.0;3.0;1.0;3.0;0.0;0.0;1.0;0.0;0.0;3.0;1.0;0.0;False;2.0;1.0;0.5773502691896258;0.0;0.0;0.0;3.0;4.0;0.0
0.0;0.0;0.5;2.0;0.21655501826065987;2.0;5.0;0.0;0.0;0.5;1257.0;1.0;2.0;0.0;9.0;0.75;1.0;0.0;1.0;1257.0;5.0;0.0;0.0;2.0;0.0;2.26;0.0;0.0;0.4900556881463803;0.0;0.0;0.0;0.0;0.0;0.0;14.4;0.0;0.75;0.957427107756338;1.0;0.0;0.0;0.9506728455574368;0.0;0.5001000665008911;4.0;1.0;0.0;0.0;22442.0;0.0;0.75;5.0;2.0;0.0;2.0;0.8;0.0;0.25;22442.0;0.0;0.0;4.0;0.0;0.25;1.0;0.0;0.0;0.0;4.0;4.0;1.0;4.0;0.0;0.0;1.0;0.0;0.0;4.0;1.0;2.0;False;1.25;1.0;0.5;0.0;0.0;0.0;3.0;5.0;0.0
0.0;0.0;1.5275252316519468;0.0;0.21431960850259865;0.0;4.0;0.0;0.0;3.0;1241.0;0.0;0.0;2.0;11.0;0.6666666666666666;3.0;0.0;1.0;1241.0;4.0;0.5;0.0;0.0;0.0;1.97;0.0;0.0;0.48348106365834004;0.0;0.0;0.0;0.0;0.0;0.0;15.0;0.0;2.333333333333333;1.1547005383792517;1.0;0.0;0.0;0.9517402476056996;0.0;0.4999285124742078;3.0;1.0;0.0;0.0;21405.0;0.0;0.5;4.0;0.0;0.0;3.0;0.75;0.0;1.3333333333333333;21405.0;0.0;0.0;5.0;0.0;2.0;1.0;1.0;0.0;0.0;3.0;3.0;1.0;3.0;0.0;1.0;1.0;0.0;0.0;3.0;1.0;0.0;False;3.0;1.0;0.5773502691896258;0.0;0.0;0.0;5.0;4.0;0.0
0.0;0.0;1.1547005383792517;0.0;0.11193075995053944;0.0;4.0;0.0;0.0;1.0;133.0;0.0;0.0;0.5;7.0;0.6666666666666666;2.0;0.0;1.0;133.0;4.0;0.0;0.0;0.0;0.0;2.53;0.0;0.0;0.08270676691729323;0.0;0.0;0.0;0.0;0.0;0.0;16.25;0.0;1.6666666666666667;2.0816659994661326;1.0;0.0;0.0;0.012684989429175477;0.0;0.2764798415018575;3.0;1.0;0.0;0.0;2838.0;0.0;0.5;4.0;0.0;0.0;4.0;0.75;0.0;0.6666666666666666;2838.0;0.0;0.0;8.0;0.0;1.0;1.0;0.0;0.0;0.0;3.0;3.0;1.0;3.0;0.0;0.0;1.0;0.0;0.0;3.0;1.0;0.0;False;2.5;1.0;0.5773502691896258;0.0;0.0;0.0;3.25;4.0;0.0
0.0;0.0;0.5773502691896258;0.0;0.0;0.0;4.0;0.0;0.0;2.0;122.0;0.0;0.0;1.5;5.0;0.6666666666666666;1.0;0.0;1.0;122.0;4.0;0.0;0.0;0.0;0.0;1.63;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.75;0.0;1.6666666666666667;0.5773502691896257;1.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;2488.0;0.0;0.5;4.0;0.0;0.0;2.0;0.75;0.0;0.3333333333333333;2488.0;0.0;0.0;4.0;0.0;0.5;1.0;1.0;0.0;0.0;3.0;3.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;False;2.0;0.0;0.5773502691896258;0.0;0.0;0.0;3.0;4.0;0.0
0.0;0.0;0.5773502691896258;0.0;0.0;0.0;4.0;0.0;0.0;1.0;122.0;0.0;0.0;1.0;3.0;0.6666666666666666;1.0;0.0;1.0;122.0;4.0;0.5;0.0;0.0;0.0;1.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.5;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;1604.0;0.0;0.5;4.0;0.0;0.0;1.0;0.75;0.0;0.6666666666666666;1604.0;0.0;0.0;3.0;0.0;1.0;1.0;1.0;0.0;0.0;3.0;3.0;1.0;3.0;0.0;1.0;0.0;0.0;0.0;3.0;1.0;0.0;False;1.0;0.0;0.5773502691896258;0.0;0.0;0.0;2.0;4.0;0.0
