accuracy_score;precision_score;recall_score;f1_score;roc_auc_score;pr_auc_score;type;data_type
0.9657258064516129;0.15;0.04225352112676056;0.06593406593406594;0.6706423681148743;0.08457176040681955;one;checkstyle
0.9665322580645161;0.22727272727272727;0.07042253521126761;0.10752688172043011;0.6046311075251842;0.05893663172717088;one;ck
0.9657258064516129;0.20833333333333334;0.07042253521126761;0.10526315789473685;0.49355410169610436;0.04240479721611187;one;mood
0.9665322580645161;0.16666666666666666;0.04225352112676056;0.06741573033707865;0.6469781745683734;0.06563073612260577;one;halstead
0.9629032258064516;0.13793103448275862;0.056338028169014086;0.07999999999999999;0.485468226544823;0.03904816316999166;one;jasome_mood
0.9641129032258065;0.125;0.04225352112676056;0.06315789473684211;0.6939382246154386;0.07832044722294428;one;jasome_ck
0.9649193548387097;0.16666666666666666;0.056338028169014086;0.08421052631578947;0.6704289664930221;0.06589595977841742;one;jasome_lk
0.9616935483870968;0.14705882352941177;0.07042253521126761;0.09523809523809525;0.552321400382369;0.05167548157666424;one;jasome_files
0.9681451612903226;0.2777777777777778;0.07042253521126761;0.11235955056179775;0.6791170434813113;0.07584667751982424;one;jasome_methods
0.9713709677419354;0.5;0.014084507042253521;0.027397260273972605;0.40694227632294383;0.036753722068283756;one;process_files
0.9653225806451613;0.14285714285714285;0.04225352112676056;0.06521739130434782;0.5667683978507826;0.05171515827942649;one;issues_files
0.9665322580645161;0.2;0.056338028169014086;0.08791208791208792;0.7047807809914698;0.07941903724835606;all;bugged
0.9665322580645161;0.2;0.056338028169014086;0.08791208791208792;0.7047807809914698;0.07941903724835606;all;bugged_methods
0.9653225806451613;0.17391304347826086;0.056338028169014086;0.0851063829787234;0.7010477142639983;0.07332719779713955;all;checkstyle
0.9665322580645161;0.2;0.056338028169014086;0.08791208791208792;0.7047807809914698;0.07941903724835606;all;source_monitor
0.9665322580645161;0.2;0.056338028169014086;0.08791208791208792;0.7047807809914698;0.07941903724835606;all;source_monitor_files
0.9657258064516129;0.15;0.04225352112676056;0.06593406593406594;0.6952537140652132;0.07317606302856983;all;ck
0.9669354838709677;0.21052631578947367;0.056338028169014086;0.08888888888888889;0.7353586024240086;0.08024172112064296;all;mood
0.9657258064516129;0.18181818181818182;0.056338028169014086;0.08602150537634409;0.6902723940154;0.0734984338105279;all;halstead
0.9657258064516129;0.18181818181818182;0.056338028169014086;0.08602150537634409;0.6921725454428522;0.07362242385864935;all;jasome_mood
0.9661290322580646;0.19047619047619047;0.056338028169014086;0.08695652173913043;0.6844959336759452;0.07311404695324644;all;jasome_ck
0.9669354838709677;0.21052631578947367;0.056338028169014086;0.08888888888888889;0.6855570951654302;0.0735507197527249;all;jasome_lk
0.9661290322580646;0.19047619047619047;0.056338028169014086;0.08695652173913043;0.6822186752728909;0.07229628316364303;all;jasome_files
0.9661290322580646;0.19047619047619047;0.056338028169014086;0.08695652173913043;0.6539531919620671;0.06979320171476701;all;jasome_methods
0.9661290322580646;0.19047619047619047;0.056338028169014086;0.08695652173913043;0.6796373926414443;0.07499917081024976;all;process_files
0.9665322580645161;0.2;0.056338028169014086;0.08791208791208792;0.7179502920386578;0.0758523147461217;all;issues_files
