;NestedTryDepth;NestedForDepth;NumberOfPrivateMethod;NumberOfMethods_Checkstyle;IsConstructor;Si;MCLC;NOP;MaxNumberOfNestedBlocks;NPathComplexity;CyclomaticComplexity;NumberOfParenthesizedExps;AnonymousInnerClassLength;VG;NCSSForThisFile;Returns;NumberOfMathOperations;Fin;ExecutableStatementCount;Di;NumberOfInnerClasses;NBD;NumberOfComparisons;NVAR;NestedIfElseDepth;NumberOfPackageMethod;FileLength;NumberOfPublicMethods_Checkstyle;NumberOfParameters_CK;NumberOfLoops;NumberOfTryCatch;NumberOfLogStatements;NumberOfAssignments;NCSSForThisClass;NumberOfAnonymousClasses;Ci;ThrowsCount;ClassFanOutComplexity;NumberOfVariables;NumberOfStringLiterals;LOCMethod_CK;NumberOfLambdas;NumberOfModifiers;IOVars;NCOMP;WMC_CK;Fout;CBO;RFC;MethodLength;NumberOfProtectedMethod;BuggedMethods;NumberOfUniqueWords;NCSSForThisMethod;BooleanExpressionComplexity;ClassDataAbstractionCoupling;NumberOfNumbers
count;7760.0;7760.0;7760.0;7760.0;7760;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760;7760.0;7760.0;7760.0;7760.0;7760.0
unique;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;
top;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;
freq;;;;;7606;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7667;;;;;
mean;0.0006443298969072165;0.01804123711340206;0.05670103092783505;0.448840206185567;;0.20257731958762887;0.40876288659793814;0.12938144329896908;0.19574742268041237;14.34806701030928;0.8534793814432989;0.04922680412371134;0.11224226804123712;0.44484536082474224;6.243814432989691;0.2658505154639175;0.36997422680412373;0.05;3.1082474226804124;0.31787664477255156;0.0;0.3510309278350515;0.11649484536082474;0.14278350515463917;0.023324742268041238;0.01404639175257732;12.774355670103093;0.3743556701030928;0.18041237113402062;0.1711340206185567;0.0034793814432989693;0.03762886597938144;1.229639175257732;4.885051546391753;0.006572164948453608;0.5204539643601804;0.0970360824742268;0.5998711340206185;0.9493556701030927;1.147422680412371;4.576417525773196;0.0;1.073582474226804;0.32899484536082474;0.26597938144329897;0.8609536082474227;0.029123711340206186;1.2018041237113402;2.1725515463917526;6.277319587628866;0.021778350515463916;;6.76159793814433;3.7675257731958762;0.042268041237113405;0.24510309278350514;0.668041237113402
std;0.02537711026276941;0.1570913552001145;0.5724989647332707;2.8439159472317197;;10.473427601021083;2.6868960250113365;0.3668329905558578;0.5832719511157975;317.81757818049675;1.8132421659994709;0.3308269876970865;1.2668880815114116;1.3371275242239407;34.32315872010364;0.5663310110699302;1.569739130429288;0.5210605145292827;8.681851306111154;0.6210674716998712;0.0;0.7078620363678988;0.651832621292009;0.8314444622690987;0.17834072966918132;0.2685252414521612;68.88463292547381;2.509409968764114;0.48103920997968025;0.7639862307466883;0.058887368929941446;0.3229049520916688;3.8675183958577457;26.87426741324315;0.12470603122730527;10.488398322154836;0.3336851361091414;2.7855101639474538;3.2119584355448634;4.963240936587077;10.790275275525445;0.0;16.626233060361198;0.6352489264701628;1.9902137994404159;1.835093768231113;0.4491716023944718;2.738412175462353;5.448820490022489;16.280396865846846;0.5231241792502156;;12.199521414625929;9.49074896023056;0.27950024502073095;1.2987653092305003;2.747783186611404
min;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0
75%;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;4.0;0.0;;8.0;2.0;0.0;0.0;0.0
