;blame_merge_priorityMinor_mean;Maximum Complexity*;Maximum Depth_count;NumberOfMathOperations_min;NF;NumberOfMathOperations_50%;NumberOfModifiers_count;NumberOfModifiers_75%;HMi;blame_merge_priorityMajor_mean;NumberOfModifiers_min;Bugged;NM;issues_priorityMinor_max;Maximum Depth_max;issues_priorityMajor_count;MaxNumberOfNestedBlocks_std;Maximum Depth_mean;MaxNumberOfNestedBlocks_50%;NumberOfMathOperations_count;issues_priorityMinor_std;PMR;blame_merge_priorityMinor_std;NumberOfMathOperations_mean;MaxNumberOfNestedBlocks_min;Ai;NumberOfModifiers_50%;Maximum Depth_50%;NOPa;PMd;NMI;Mo;blame_merge_priorityMinor_max;Average Complexity*;blame_merge_priorityMinor_count;blame_merge_priorityMajor_min;Maximum Depth_min;issues_priorityMinor_count;Ait;Maximum Depth_std;Maximum Depth_75%;Ad;blame_merge_priorityMajor_max;NumberOfModifiers_25%;issues_priorityMajor_mean;NumberOfMathOperations_std;HMd;Ao;blame_merge_priorityMajor_std;issues_priorityMajor_std;MaxNumberOfNestedBlocks_count;MaxNumberOfNestedBlocks_25%;NumberOfMathOperations_25%;Maximum Depth_25%;NumberOfMathOperations_75%;Md;Average Statements per Method;SIX;NumberOfMethods_Mood;NMIR;MaxNumberOfNestedBlocks_mean;issues_priorityMajor_max;issues_priorityMinor_min;Maximum Block Depth;Mi;Mit;Av;MaxNumberOfNestedBlocks_75%;issues_priorityMajor_min;NumberOfModifiers_std;NumberOfModifiers_mean;Ma;MaxNumberOfNestedBlocks_max;NumberOfModifiers_max;NMA;blame_merge_priorityMinor_min;blame_merge_priorityMajor_count;PMi;Average Block Depth;issues_priorityMinor_mean;NumberOfMathOperations_max
count;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0
unique;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.0;9.434650455927052;2.25531914893617;0.0668693009118541;2.398176291793313;0.1033434650455927;5.677811550151976;9.759118541033434;0.0;0.0;1.1458966565349544;;11.586626139817628;0.0;1.541033434650456;724.9726443768997;0.32706008966548394;1.3753317118148156;0.3905775075987842;5.677811550151976;0.0;0.3146416452705167;0.0;0.17112682349599256;0.23404255319148937;0.0;4.674772036474164;1.3419452887537995;0.0;5.693009118541034;0.0;0.0;0.0;2.0118541033434654;0.0;0.0;1.2857142857142858;724.9726443768997;0.0;0.12222015341092021;1.4080547112462005;2.398176291793313;0.0;4.430851063829787;0.2097459680629191;0.19330300118302474;5.1063829787234045;0.0;0.0;0.2512848225724166;5.677811550151976;0.28191489361702127;0.08206686930091185;1.3161094224924013;0.1838905775075988;10.799392097264437;5.3919756838905775;0.0;17.38905775075988;0.0;0.48016164716943877;0.7173252279635258;0.0;4.714285714285714;0.0;0.0;0.1702127659574468;0.6063829787234043;0.04559270516717325;11.482036955512266;9.550528413905448;10.799392097264437;1.0212765957446808;33.99696048632219;11.586626139817628;0.0;0.0;0.0;2.033039513677812;0.0;0.5896656534954408
std;0.0;10.722219490726928;4.830843861384605;0.49549456501886;3.9750897005429997;0.5281303948734406;10.685619471456423;84.53337615930995;0.0;0.0;2.4074306720043013;;19.019228168008127;0.0;1.5731125436847258;527.6950071687734;0.5078674026727695;1.3681534834440618;0.7819628021873832;10.685619471456423;0.0;0.38219811368243484;0.0;0.5680598610896703;0.6829337793404225;0.0;56.651781896929464;1.338661912698553;0.0;9.101727576730374;0.0;0.0;0.0;1.1946667167101976;0.0;0.0;1.3149502183181887;527.6950071687734;0.0;0.33487879564171774;1.4177459297729609;3.9750897005429997;0.0;56.65025588606294;0.24246452633469384;0.5102597246470996;15.277441982334995;0.0;0.0;0.21042574966700123;10.685619471456423;0.7109549864336144;0.5035217270994425;1.3205685444811797;0.6731447404895554;18.51241836648224;3.189696644249066;0.0;18.859574184979042;0.0;0.755208957689273;0.4509855271885792;0.0;1.8521105768420454;0.0;0.0;0.6682432490930865;0.9260402781642726;0.20891786680074634;65.3851278290658;65.46530476027152;18.51241836648224;1.3489506579300221;175.9736243138381;19.019228168008127;0.0;0.0;0.0;0.5879744075397448;0.0;1.5177856777165066
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;4.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;;0.0;0.0;0.0;261.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;1.42;0.0;0.0;0.0;261.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.63;0.0;5.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.71;0.0;0.0
50%;0.0;6.0;1.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0;;3.0;0.0;2.0;783.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;1.62;0.0;0.0;2.0;783.0;0.0;0.0;2.0;0.0;0.0;1.0;0.19195046439628485;0.0;0.0;0.0;0.0;0.3162057392159881;2.0;0.0;0.0;2.0;0.0;0.0;5.27;0.0;11.0;0.0;0.07692307692307693;1.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;3.0;0.0;0.0;0.0;1.99;0.0;0.0
75%;0.0;9.0;2.0;0.0;3.0;0.0;6.0;1.75;0.0;0.0;1.0;;17.0;0.0;3.0;1292.0;0.5773502691896258;2.5;0.5;6.0;0.0;0.772727273;0.0;0.02631578947368421;0.0;0.0;1.0;2.0;0.0;8.0;0.0;0.0;0.0;2.5;0.0;0.0;2.0;1292.0;0.0;0.0;3.0;3.0;0.0;1.0;0.3478802992518703;0.0;4.0;0.0;0.0;0.4675763747474251;6.0;0.0;0.0;2.0;0.0;17.0;7.43;0.0;16.0;0.0;0.8;1.0;0.0;6.0;0.0;0.0;0.0;1.0;0.0;0.7071067811865476;2.0;17.0;2.0;4.0;17.0;0.0;0.0;0.0;2.46;0.0;1.0
