;NumberOfPolymorphicMethods;NumberOfMethods_Mood;Bugged;NumberUserDefinedAttributes;NumberOfInheritedMethods;NumberPublicMethods;NumberOfAttributes;NumberOfCoupledClasses;NumberOfSubclasses;NumberOfPublicAttributes;NumberOfAncestors;NumberOfPrivateAttributes;Cohesion;NumberOfProtectedAttributes
count;1280.0;1280.0;1280;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0
unique;;;2;;;;;;;;;;;
top;;;False;;;;;;;;;;;
freq;;;1241;;;;;;;;;;;
mean;3.9640625;5.08125;;0.0484375;0.0;3.88203125;2.21015625;0.03046875;0.0;0.3921875;0.0;1.621875;0.2764626204836359;0.19609375
std;5.730345739548491;7.4250779553274455;;0.2608053848909484;0.0;5.978799312464465;5.281924268549701;0.18508016298842436;0.0;2.79045646499522;0.0;3.7675819265284716;0.30632567526088894;1.0513703291415533
min;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;1.0;1.0;;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;2.0;3.0;;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0
75%;5.0;6.0;;0.0;0.0;5.0;2.0;0.0;0.0;0.0;0.0;2.0;0.46904761904761905;0.0
max;77.0;87.0;;3.0;0.0;77.0;88.0;2.0;0.0;75.0;0.0;47.0;1.0;17.0
