NumberOfAnonymousClasses_std;WMC_CK_min;NumberOfAssignments_min;NumberOfNumbers_50%;NumberOfMathOperations_max;WMC_CK_50%;MaxNumberOfNestedBlocks_count;NumberOfNumbers_25%;NumberOfLogStatements_count;NumberOfLambdas_count;NumberOfUniqueWords_25%;NumberOfInnerClasses_std;CBO_std;Returns_std;RFC_max;NumberOfMathOperations_std;CBO_mean;MaxNumberOfNestedBlocks_mean;NumberOfUniqueWords_count;NumberOfTryCatch_max;LOCMethod_CK_max;NumberOfParenthesizedExps_mean;NumberOfInnerClasses_min;MaxNumberOfNestedBlocks_75%;NumberOfNumbers_max;Returns_min;NumberOfLogStatements_std;LOCMethod_CK_50%;RFC_std;NumberOfParameters_CK_max;NumberOfInnerClasses_25%;NumberOfAnonymousClasses_25%;NumberOfUniqueWords_std;NumberOfModifiers_max;LOCMethod_CK_75%;NumberOfUniqueWords_mean;NumberOfAssignments_50%;NumberOfLambdas_mean;NumberOfLambdas_75%;NumberOfMathOperations_50%;NumberOfParameters_CK_50%;NumberOfLambdas_50%;MaxNumberOfNestedBlocks_25%;WMC_CK_mean;NumberOfParenthesizedExps_25%;NumberOfNumbers_75%;NumberOfModifiers_50%;NumberOfParameters_CK_mean;NumberOfLambdas_min;NumberOfStringLiterals_max;NumberOfParenthesizedExps_count;NumberOfLoops_count;Returns_50%;RFC_75%;NumberOfInnerClasses_75%;NumberOfNumbers_std;WMC_CK_75%;RFC_min;NumberOfLogStatements_min;RFC_25%;NumberOfStringLiterals_25%;NumberOfAnonymousClasses_50%;NumberOfInnerClasses_mean;NumberOfUniqueWords_max;NumberOfStringLiterals_mean;NumberOfTryCatch_count;NumberOfStringLiterals_std;NumberOfParameters_CK_75%;NumberOfTryCatch_std;NumberOfParenthesizedExps_min;NumberOfModifiers_std;NumberOfUniqueWords_75%;NumberOfComparisons_25%;MaxNumberOfNestedBlocks_std;NumberOfParenthesizedExps_max;NumberOfParameters_CK_25%;MaxNumberOfNestedBlocks_min;NumberOfVariables_mean;RFC_mean;MaxNumberOfNestedBlocks_max;NumberOfAnonymousClasses_max;NumberOfLoops_std;NumberOfStringLiterals_count;NumberOfInnerClasses_max;WMC_CK_count;NumberOfComparisons_count;NumberOfLogStatements_mean;NumberOfUniqueWords_50%;NumberOfVariables_std;NumberOfVariables_max;NumberOfModifiers_count;NumberOfNumbers_mean;NumberOfParenthesizedExps_std;NumberOfNumbers_count;NumberOfModifiers_min;NumberOfMathOperations_25%;NumberOfAssignments_max;CBO_25%;NumberOfAssignments_75%;NumberOfComparisons_std;NumberOfMathOperations_min;NumberOfStringLiterals_50%;NumberOfMathOperations_75%;WMC_CK_std;NumberOfVariables_50%;CBO_count;NumberOfAssignments_count;NumberOfComparisons_75%;NumberOfLogStatements_50%;NumberOfInnerClasses_50%;Bugged;NumberOfLoops_75%;Returns_max;NumberOfLogStatements_75%;LOCMethod_CK_count;NumberOfParameters_CK_std;NumberOfTryCatch_50%;MaxNumberOfNestedBlocks_50%;NumberOfAnonymousClasses_count;NumberOfUniqueWords_min;NumberOfLoops_mean;LOCMethod_CK_std;NumberOfAssignments_std;CBO_50%;NumberOfAssignments_25%;NumberOfParameters_CK_min;NumberOfAnonymousClasses_min;NumberOfAssignments_mean;NumberOfTryCatch_mean;IsConstructor_top;NumberOfParenthesizedExps_50%;NumberOfLoops_25%;Returns_count;NumberOfTryCatch_25%;CBO_75%;LOCMethod_CK_min;NumberOfModifiers_75%;WMC_CK_25%;IsConstructor_unique;NumberOfLambdas_std;NumberOfTryCatch_min;NumberOfStringLiterals_75%;NumberOfVariables_25%;RFC_count;RFC_50%;NumberOfLogStatements_max;NumberOfInnerClasses_count;NumberOfParenthesizedExps_75%;WMC_CK_max;NumberOfModifiers_mean;NumberOfModifiers_25%;NumberOfMathOperations_mean;IsConstructor_freq;LOCMethod_CK_mean;NumberOfLambdas_25%;NumberOfParameters_CK_count;NumberOfVariables_count;NumberOfVariables_min;NumberOfLoops_50%;IsConstructor_count;CBO_max;NumberOfAnonymousClasses_mean;Returns_75%;Returns_25%;NumberOfComparisons_50%;Returns_mean;NumberOfComparisons_mean;NumberOfLambdas_max;NumberOfMathOperations_count;NumberOfVariables_75%;NumberOfComparisons_max;NumberOfLoops_max;NumberOfTryCatch_75%;NumberOfLoops_min;NumberOfLogStatements_25%;NumberOfNumbers_min;CBO_min;NumberOfAnonymousClasses_75%;NumberOfComparisons_min;LOCMethod_CK_25%;NumberOfStringLiterals_min
0.0;1.0;0.0;0.0;0.0;1.0;7.0;0.0;7.0;7.0;5.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;1.2724180205607036;0.0;1.0;5.571428571428571;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.1428571428571428;0.0;0.0;7.0;7.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;7.0;0.0;1.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;7.0;7.0;0.0;6.0;0.0;0.0;7.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;7.0;0.0;0.0;0.0;False;0.0;0.0;0.0;7.0;0.3779644730092273;0.0;0.0;7.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;False;0.0;0.0;7.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;7.0;0.0;1.0;0.0;0.0;0.0;7.0;1.0;0.0;7.0;7.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
0.0;1.0;0.0;0.0;0.0;1.0;3.0;0.0;3.0;3.0;4.5;0.0;0.5773502691896258;0.0;0.0;0.0;0.3333333333333333;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.5773502691896258;0.0;1.0;4.666666666666667;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;3.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;3.0;3.0;0.0;5.0;0.0;0.0;3.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;False;0.0;0.0;0.0;3.0;0.5773502691896258;0.0;0.0;3.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;3.0;0.0;0.5;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;3.0;1.0;0.0;3.0;3.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
0.0;1.0;0.0;0.0;0.0;1.0;4.0;0.0;4.0;4.0;8.5;0.0;0.5;0.0;0.0;0.0;0.75;0.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;7.118052168020874;1.0;1.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.25;0.0;0.0;4.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;23.0;0.0;4.0;0.0;0.25;0.0;0.0;0.5;15.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;4.0;4.0;0.0;11.0;0.0;0.0;4.0;0.0;0.0;4.0;0.0;0.0;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;0.0;0.0;0.0;False;0.0;0.0;0.0;4.0;0.5;0.0;0.0;4.0;7.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;4.0;0.0;1.0;1.0;0.25;1.0;1.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;4.0;0.0;1.0;0.25;0.0;0.0;4.0;1.0;0.0;4.0;4.0;0.0;0.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
0.0;1.0;0.0;0.0;0.0;1.0;22.0;0.0;22.0;22.0;7.0;0.0;0.5679003631895497;0.0;0.0;0.0;0.3181818181818182;0.0;22.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;7.0;0.0;0.0;2.015094553763188;0.0;1.0;8.181818181818182;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.6363636363636365;0.0;0.0;22.0;22.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;22.0;0.0;2.0;0.0;0.0;0.0;9.75;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;0.0;22.0;22.0;0.0;8.0;0.0;0.0;22.0;0.0;0.0;22.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;22.0;0.0;0.0;0.0;False;0.0;0.0;0.0;22.0;1.648822221652389;0.0;0.0;22.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;22.0;0.0;0.75;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;22.0;0.0;0.0;22.0;0.0;1.0;0.0;0.0;0.0;22.0;1.0;0.0;22.0;22.0;0.0;0.0;22.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;1.0;0.0;0.0;0.0;1.0;34.0;0.0;34.0;34.0;13.0;0.0;0.6621953441370539;0.0;0.0;0.0;0.5294117647058824;0.0;34.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;6.0;0.0;0.0;6.444677501061758;0.0;1.0;16.264705882352942;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.3823529411764706;0.0;0.0;34.0;34.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;36.0;0.0;34.0;0.0;1.0;0.0;0.0;0.0;19.5;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;34.0;0.0;34.0;34.0;0.0;14.0;0.0;0.0;34.0;0.0;0.0;34.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.0;34.0;0.0;0.0;0.0;True;0.0;0.0;0.0;34.0;1.723539449880425;0.0;0.0;34.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;34.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;34.0;0.0;0.0;34.0;0.0;1.0;0.0;0.0;0.0;34.0;1.0;0.0;34.0;34.0;0.0;0.0;34.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
0.0;1.0;0.0;0.0;0.0;1.0;6.0;0.0;6.0;6.0;6.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;6.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.8164965809277259;0.0;1.0;6.666666666666668;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.8333333333333334;0.0;0.0;6.0;6.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;6.0;0.0;1.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;6.0;6.0;0.0;6.5;0.0;0.0;6.0;0.0;0.0;6.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;6.0;0.0;0.0;0.0;False;0.0;0.0;0.0;6.0;0.40824829046386296;0.0;0.0;6.0;6.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;6.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;6.0;0.0;1.0;0.0;0.0;0.0;6.0;1.0;0.0;6.0;6.0;0.0;0.0;6.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;1.0;0.0;0.0;0.0;1.0;6.0;0.0;6.0;6.0;3.0;0.0;0.0;0.5163977794943223;0.0;0.0;0.0;0.0;6.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;3.0;0.0;0.0;1.224744871391589;1.0;3.0;3.5;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;6.0;6.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;6.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;6.0;6.0;0.0;3.0;0.0;0.0;6.0;0.0;0.0;6.0;1.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;6.0;0.0;0.0;0.0;False;0.0;1.0;0.0;6.0;1.095445115010332;0.0;0.0;6.0;3.0;0.0;0.8164965809277259;1.095445115010332;0.0;0.25;0.0;0.0;1.0;0.0;False;0.0;0.0;6.0;0.0;0.0;3.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;6.0;0.0;1.0;1.0;1.0;0.0;5.0;3.333333333333333;0.0;6.0;6.0;0.0;0.0;6.0;0.0;0.0;0.75;0.0;0.0;0.3333333333333333;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
