;BuggedMethods;LongMethod_Organic_x;MessageChain;LongParameterList_Organic_x;BrainMethod;LongMethod_Organic_y;DispersedCoupling;IntensiveCoupling;FeatureEnvy;ShotgunSurgery;LongParameterList_Organic_y
count;5682;5682;5682;5682;5682;5682;5682;5682;5682;5682;5682
unique;2;2;2;2;2;2;2;2;2;2;2
top;False;False;False;False;False;False;False;False;False;False;False
freq;5424;5681;5621;5671;5681;5639;5679;5664;5356;5680;5665
