;WMC_CK_std;WMC_CK_mean;Bugged;WMC_CK_75%;DIT;NORM;WMC_CK_25%;WMC;WMC_CK_min;WMC_CK_50%;WMC_CK_max;WMC_CK_count;NOCh;NMI;NPM
count;1280.0;1280.0;1280;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0
unique;;;2;;;;;;;;;;;;
top;;;False;;;;;;;;;;;;
freq;;;1241;;;;;;;;;;;;
mean;1.2195706696869175;2.050368335238352;;2.2857421875;0.7546875;0.0;1.39140625;13.96484375;1.2265625;1.6734375;4.46328125;4.82734375;0.0;0.0;3.5703125
std;2.9742537441386285;2.4548051333854155;;3.2066318952672153;0.4304405029539718;0.0;1.6166900878971597;29.266260597450724;1.3676414798320906;2.235105662407632;7.619687383606092;7.011263303487381;0.0;0.0;6.0578183623463495
min;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;1.0;;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0
50%;0.0;1.2583333333333333;;1.0;1.0;0.0;1.0;5.0;1.0;1.0;2.0;3.0;0.0;0.0;2.0
75%;1.4142135623730951;2.5;;3.0;1.0;0.0;1.0;13.0;1.0;2.0;5.0;6.0;0.0;0.0;5.0
max;70.71067811865477;51.0;;76.0;1.0;0.0;26.0;312.0;24.0;51.0;101.0;87.0;0.0;0.0;77.0
