;WMC_CK_25%;WMC_CK_mean;WMC_CK_75%;WMC_CK_50%;WMC_CK_count;NMI;WMC_CK_max;Bugged;NORM;NOCh;DIT;NMIR;WMC_CK_min;WMC;WMC_CK_std;NPM
count;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0
unique;;;;;;;;2;;;;;;;;
top;;;;;;;;False;;;;;;;;
freq;;;;;;;;1455;;;;;;;;
mean;1.1410040431266846;1.4631556065189477;1.6005727762803235;1.287398921832884;4.824797843665769;0.0;2.5026954177897576;;0.0;0.0;0.6772237196765498;0.0;1.0599730458221024;11.803234501347708;0.5810928622526753;2.192048517520216
std;1.6195727157209028;1.800079495481275;2.0127169891589825;1.7310138283084844;9.032960079319176;0.0;3.9454292732120164;;0.0;0.0;0.46769557570507125;0.0;1.5803203066763873;26.219090198024286;1.1933287805414277;5.275566535843434
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;1.0;1.0;1.0;1.0;1.0;0.0;1.0;;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
50%;1.0;1.0;1.0;1.0;2.0;0.0;1.0;;0.0;0.0;1.0;0.0;1.0;2.0;0.0;0.0
75%;1.0;1.8571428571428568;2.0;1.0;6.0;0.0;3.0;;0.0;0.0;1.0;0.0;1.0;10.0;0.8164965809277259;3.0
max;45.0;45.0;45.0;45.0;176.0;0.0;85.0;;0.0;0.0;1.0;0.0;45.0;181.0;15.295555661318936;110.0
