;NumberOfLogStatements_min;NumberOfInnerClasses_max;MaxNumberOfNestedBlocks_mean;LOCMethod_CK_25%;NumberOfParameters_CK_std;NumberOfParameters_CK_50%;Returns_min;NumberOfParameters_CK_min;NumberOfTryCatch_max;NumberOfStringLiterals_25%;NumberOfInnerClasses_75%;NumberOfParameters_CK_75%;NumberOfAnonymousClasses_min;NumberOfParenthesizedExps_75%;MaxNumberOfNestedBlocks_min;LOCMethod_CK_50%;NumberOfAnonymousClasses_std;LOCMethod_CK_count;MaxNumberOfNestedBlocks_75%;NumberOfVariables_max;CBO_25%;NumberOfInnerClasses_std;NumberOfVariables_mean;IsConstructor_count;NumberOfLogStatements_75%;RFC_std;NumberOfComparisons_max;NumberOfLambdas_75%;NumberOfUniqueWords_min;NumberOfModifiers_count;NumberOfComparisons_50%;NumberOfParenthesizedExps_max;NumberOfNumbers_mean;NumberOfTryCatch_75%;NumberOfParenthesizedExps_mean;NumberOfNumbers_std;NumberOfModifiers_25%;NumberOfAssignments_mean;NumberOfAnonymousClasses_25%;NumberOfModifiers_min;NumberOfParenthesizedExps_min;MaxNumberOfNestedBlocks_50%;NumberOfVariables_50%;NumberOfLambdas_25%;NumberOfMathOperations_75%;NumberOfNumbers_25%;NumberOfComparisons_std;NumberOfUniqueWords_count;LOCMethod_CK_min;NumberOfAssignments_50%;NumberOfParameters_CK_mean;NumberOfMathOperations_count;NumberOfParenthesizedExps_25%;NumberOfLogStatements_std;MaxNumberOfNestedBlocks_std;NumberOfLoops_std;CBO_std;NumberOfParameters_CK_count;NumberOfLoops_50%;NumberOfStringLiterals_count;NumberOfComparisons_min;Returns_mean;NumberOfLogStatements_mean;NumberOfInnerClasses_25%;NumberOfTryCatch_std;NumberOfStringLiterals_50%;CBO_max;NumberOfParameters_CK_25%;NumberOfVariables_count;NumberOfNumbers_min;NumberOfLoops_max;NumberOfLambdas_mean;NumberOfNumbers_max;Bugged;NumberOfStringLiterals_max;CBO_min;NumberOfLoops_75%;Returns_std;NumberOfStringLiterals_75%;NumberOfModifiers_75%;WMC_CK_count;NumberOfTryCatch_50%;NumberOfStringLiterals_std;Returns_max;NumberOfVariables_std;NumberOfMathOperations_25%;CBO_50%;NumberOfInnerClasses_mean;NumberOfStringLiterals_mean;CBO_mean;NumberOfLambdas_max;NumberOfParenthesizedExps_count;NumberOfStringLiterals_min;WMC_CK_min;NumberOfMathOperations_max;NumberOfLoops_25%;NumberOfTryCatch_min;RFC_75%;NumberOfUniqueWords_std;NumberOfLogStatements_25%;NumberOfAnonymousClasses_50%;NumberOfLogStatements_50%;RFC_max;NumberOfParenthesizedExps_std;WMC_CK_50%;RFC_min;IsConstructor_top;NumberOfAssignments_std;NumberOfVariables_25%;NumberOfUniqueWords_mean;MaxNumberOfNestedBlocks_count;NumberOfAnonymousClasses_75%;WMC_CK_75%;NumberOfMathOperations_mean;NumberOfVariables_min;MaxNumberOfNestedBlocks_max;NumberOfTryCatch_25%;WMC_CK_std;WMC_CK_mean;Returns_25%;NumberOfNumbers_75%;Returns_75%;NumberOfLambdas_count;NumberOfVariables_75%;NumberOfUniqueWords_max;CBO_count;NumberOfInnerClasses_50%;NumberOfLambdas_min;RFC_50%;NumberOfUniqueWords_50%;NumberOfUniqueWords_25%;NumberOfAssignments_count;NumberOfComparisons_mean;NumberOfModifiers_mean;NumberOfParameters_CK_max;NumberOfUniqueWords_75%;RFC_mean;NumberOfMathOperations_std;NumberOfLambdas_std;NumberOfLoops_min;NumberOfLoops_mean;NumberOfModifiers_max;LOCMethod_CK_75%;NumberOfTryCatch_count;LOCMethod_CK_max;NumberOfModifiers_std;NumberOfAnonymousClasses_count;NumberOfParenthesizedExps_50%;NumberOfAssignments_25%;NumberOfAssignments_max;NumberOfNumbers_count;NumberOfModifiers_50%;NumberOfInnerClasses_count;CBO_75%;NumberOfLoops_count;NumberOfNumbers_50%;NumberOfMathOperations_50%;MaxNumberOfNestedBlocks_25%;LOCMethod_CK_std;RFC_count;NumberOfComparisons_count;LOCMethod_CK_mean;NumberOfLogStatements_max;NumberOfTryCatch_mean;NumberOfMathOperations_min;NumberOfAnonymousClasses_max;WMC_CK_25%;NumberOfInnerClasses_min;RFC_25%;IsConstructor_freq;NumberOfAssignments_min;NumberOfComparisons_25%;IsConstructor_unique;Returns_50%;NumberOfComparisons_75%;NumberOfAnonymousClasses_mean;NumberOfLogStatements_count;WMC_CK_max;NumberOfAssignments_75%;NumberOfLambdas_50%;Returns_count
count;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.00546875;0.0015625;0.511982653417741;7.164453125;0.6608210971201236;0.805859375;0.24453125;0.35390625;0.27109375;1.857421875;0.0;1.178515625;0.00078125;0.1087890625;0.16953125;8.487890625;0.03378826575443756;4.82734375;0.653125;4.54921875;1.8529296875;0.00031619774323532744;2.0044095072989863;4.82734375;0.01796875;2.0383526503604164;1.23046875;0.0;7.23046875;4.82734375;0.1796875;0.4171875;1.3860955653809512;0.119921875;0.10563610010973416;0.6938872934978948;4.1716796875;3.125765370562655;0.0021484375;3.665625;0.0359375;0.395703125;1.577734375;0.0;0.312109375;1.06484375;0.42800128006646077;4.82734375;6.2484375;2.53203125;0.9226968803652458;4.82734375;0.044140625;0.03939890258550862;0.4447224183240463;0.24568232735119647;1.266829125518112;4.82734375;0.103515625;4.82734375;0.08203125;0.6702321222237189;0.022900463983820556;0.0;0.07601756073700516;2.071875;4.503125;0.541796875;4.82734375;0.990625;0.66484375;0.0;2.93046875;;3.990625;1.46640625;0.2240234375;0.5010265656090441;2.4802734375;7.307421875;4.82734375;0.0953125;0.9923779229190043;1.4421875;1.4110502435401933;0.12578125;2.29296875;6.572420634920634e-05;2.3140698527060164;2.5403430067723662;0.0;4.82734375;1.678125;1.2265625;0.990625;0.0580078125;0.0734375;3.873046875;4.533977368216698;0.0064453125;0.003515625;0.0078125;6.8859375;0.1374231323991008;1.6734375;1.78828125;;2.052752157797026;1.27734375;11.194394467429987;4.82734375;0.007421875;2.2857421875;0.28475004302652;1.04921875;1.24140625;0.081640625;1.2195706696869175;2.050368335238352;0.4083984375;1.4412109375;0.8228515625;4.82734375;2.2748046875;18.92265625;4.82734375;0.0;0.0;2.787109375;10.216796875;8.714453125;4.82734375;0.33379326717784247;6.496914333166766;1.86875;12.61796875;3.346887431991546;0.3388577894630891;0.0;0.03203125;0.18614506645250622;14.18828125;11.1015625;4.82734375;20.775;4.896144902878835;4.82734375;0.0578125;2.0759765625;6.9265625;4.82734375;5.1;4.82734375;2.9583984375;4.82734375;1.177734375;0.1703125;0.25546875;5.483043244824416;4.82734375;4.82734375;10.028230733961653;0.11875;0.11625677315406262;0.09765625;0.11875;1.39140625;0.0;2.2423828125;4.5859375;1.74375;0.1171875;1.140625;0.600390625;0.3830078125;0.012929960533509834;4.82734375;4.46328125;3.5306640625;0.0;4.82734375
std;0.07377733521587712;0.03951301484897151;0.7328718956158167;11.65004379476772;0.8180666828569564;0.9905756276188342;0.7098446122455329;0.768150438882435;0.6716243998255048;6.1033005139478025;0.0;1.2581118122196138;0.027950849718747377;0.40270161064258503;0.5394606221965638;13.030383760346355;0.20778785710547223;7.011263303487381;0.9671045668172173;8.247486371341585;2.954205006333573;0.008104044320435835;3.850935637393778;7.011263303487381;0.16855342487397715;3.7824140160690316;2.8302249651230253;0.0;9.589503143464038;7.011263303487381;0.7049871906743096;1.3053153723398092;4.081917709701251;0.3497647955230138;0.3306457749808432;2.2006283633469312;50.56585079406357;6.714608794617932;0.03886175450432994;49.56471107997069;0.2345239134695094;0.7509839087920991;3.7411365598871678;0.0;1.719322262397644;3.990336545418164;1.0965137307061519;7.011263303487381;11.140617908215724;6.635352443352052;0.9763143897337095;7.011263303487381;0.2570446925230341;0.23336833783724997;0.6413660074836409;0.5996970801156531;1.9814698357765075;7.011263303487381;0.4263910956485808;7.011263303487381;0.40170348637957753;1.1391706992327035;0.14263329178109221;0.0;0.23123065105148147;6.557342392266368;4.9453611547330665;0.8497982408699678;7.011263303487381;3.963662893588574;1.6326463139678786;0.0;8.58580440665995;;9.578117468767246;2.9353944594091517;0.6570712253844371;1.3235282155014068;7.262943174292892;69.18751943505691;7.011263303487381;0.3149542019650131;4.006284961069553;2.6831244951164637;3.596193380700559;0.7344287769556971;3.08399950496721;0.001745589125533077;6.578524309542503;3.049110535941908;0.0;7.011263303487381;5.897441667143246;1.3676414798320906;3.3651722518464546;0.323385410111415;0.28936974867190685;5.546078576963281;6.120673447011048;0.08156659127999362;0.06083970458530008;0.1024404134664665;9.490431660366044;0.43214504788459523;2.235105662407632;4.213387968068966;;4.910198811322583;3.3239297475979215;10.279932818340141;7.011263303487381;0.09349228324826707;3.2066318952672153;1.2299298640784708;3.156077971414795;1.6712641623957027;0.29405572316291206;2.9742537441386285;2.4548051333854155;0.8234242737702061;4.237040548068757;1.4852398873266497;7.011263303487381;4.533454391373589;18.734291683585287;7.011263303487381;0.0;0.0;4.819391481211012;10.286820586045897;9.73152135640839;7.011263303487381;0.7943620066472814;57.83586873034726;1.9941176199250101;11.43425684717574;4.80496575255346;1.6845794820301405;0.0;0.2847254534715396;0.5043228913369459;110.20989862379301;15.670935604889824;7.011263303487381;33.90998063331788;48.568099976336306;7.011263303487381;0.28886268993356146;6.202098611967556;12.493222458922732;7.011263303487381;55.35235557930904;7.011263303487381;3.3742600864773014;7.011263303487381;4.077562647705568;1.1506437926689153;0.5987096620084981;12.513640839888673;7.011263303487381;7.011263303487381;13.454863477635579;0.6687191495810623;0.3142689139316228;0.5384315163972877;0.8563564470167467;1.6166900878971597;0.0;4.388939936985099;6.9197650578487755;6.028596824437545;0.49314842337230436;0.5597158750909005;1.1089407792247516;1.063114944583278;0.08099973554803042;7.011263303487381;7.619687383606092;7.51788895682294;0.0;7.011263303487381
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;;0.0;0.0;5.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;7.0;1.0;0.0;0.0;0.0;4.5;3.5;1.0;0.0;1.0;0.0;5.5;0.0;0.0;0.0;0.0;0.0;1.0;3.0;1.0;3.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0
50%;0.0;0.0;0.18333333333333335;3.0;0.5175491695067657;0.5;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.5;0.0;3.0;0.0;1.0;1.0;0.0;0.5;3.0;0.0;0.5773502691896258;0.0;0.0;4.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;0.0;0.75;3.0;0.0;0.0;0.0;0.0;0.7071067811865476;3.0;0.0;3.0;0.0;0.5;0.0;0.0;0.0;0.0;3.0;0.0;3.0;0.0;0.0;0.0;0.0;;1.0;0.0;0.0;0.21117101773396196;0.0;1.0;3.0;0.0;0.0;1.0;0.0;0.0;1.5;0.0;0.08514492753623187;2.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;2.0;2.1213203435596424;0.0;0.0;0.0;4.0;0.0;1.0;0.0;;0.562536413347396;0.0;8.0;3.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.2583333333333333;0.0;0.0;1.0;3.0;0.5;13.0;3.0;0.0;0.0;1.0;7.0;5.75;3.0;0.0;1.0;1.0;9.0;1.6666666666666667;0.0;0.0;0.0;0.0;1.0;5.5;3.0;9.0;0.0;3.0;0.0;0.0;2.0;3.0;1.0;3.0;2.25;3.0;0.0;0.0;0.0;0.894427190999916;3.0;3.0;5.428571428571429;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;1.0;0.5;0.0;0.0;3.0;2.0;1.0;0.0;3.0
75%;0.0;0.0;1.0;7.0;1.0299425228884511;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;9.0;0.0;6.0;1.0;6.0;3.0;0.0;2.5;6.0;0.0;2.8284271247461903;1.0;0.0;7.25;6.0;0.0;0.0;1.0;0.0;0.0;0.5773502691896258;1.0;3.2536764705882355;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.5017731382092775;6.0;4.0;2.0;1.4325396825396826;6.0;0.0;0.0;0.758156711402169;0.3324125198914851;1.937882694841868;6.0;0.0;6.0;0.0;1.0;0.0;0.0;0.0;0.5;6.0;1.0;6.0;0.0;1.0;0.0;3.0;;4.0;2.0;0.0;0.7071067811865476;1.0;1.0;6.0;0.0;0.7071067811865476;2.0;1.6486876222118052;0.0;3.0;0.0;1.0;3.3897727272727267;0.0;6.0;0.0;1.0;1.0;0.0;0.0;5.0;7.068736178049148;0.0;0.0;0.0;10.0;0.0;2.0;1.0;;2.509502381189922;1.0;14.425;6.0;0.0;3.0;0.15416666666666665;0.0;2.0;0.0;1.4142135623730951;2.5;1.0;1.0;1.0;6.0;3.0;26.0;6.0;0.0;0.0;4.0;13.0;9.3125;6.0;0.4;1.25;3.0;17.0;4.4493021346469614;0.0;0.0;0.0;0.14285714285714285;2.0;15.0;6.0;25.0;0.12732562033519979;6.0;0.0;1.0;9.0;6.0;1.0;6.0;4.0;6.0;0.0;0.0;0.0;6.7709306470322606;6.0;6.0;12.421354166666667;0.0;0.0;0.0;0.0;1.0;0.0;2.75;5.0;0.0;0.0;1.0;1.0;0.25;0.0;6.0;5.0;4.0;0.0;6.0
