accuracy_score;precision_score;recall_score;f1_score;roc_auc_score;pr_auc_score;type;data_type
0.8278145695364238;0.1111111111111111;0.6;0.18750000000000003;0.8773972602739727;0.1811901986901987;one;checkstyle
0.8278145695364238;0.08;0.4;0.13333333333333333;0.873972602739726;0.14442033676917398;one;ck
0.8940397350993378;0.23809523809523808;1.0;0.3846153846153846;0.9184931506849315;0.15740060936655365;one;mood
0.9139072847682119;0.25;0.8;0.38095238095238093;0.973972602739726;0.7304824561403509;one;halstead
0.9337748344370861;0.2727272727272727;0.6;0.37499999999999994;0.8054794520547945;0.15822981366459626;one;jasome_mood
0.8874172185430463;0.125;0.4;0.19047619047619047;0.9054794520547945;0.13954709646900315;one;jasome_ck
0.8940397350993378;0.23809523809523808;1.0;0.3846153846153846;0.9698630136986301;0.32591269841269843;one;jasome_lk
0.9271523178807947;0.25;0.6;0.35294117647058826;0.8136986301369863;0.15473544973544973;one;jasome_files
0.9403973509933775;0.3333333333333333;0.8;0.47058823529411764;0.9780821917808219;0.7032212885154061;one;jasome_methods
0.9139072847682119;0.2777777777777778;1.0;0.4347826086956522;0.9883561643835617;0.7193650793650794;one;process_files
0.9602649006622517;0.45454545454545453;1.0;0.625;0.9931506849315068;0.8064285714285714;one;issues_files
0.9006622516556292;0.25;1.0;0.4;0.9698630136986301;0.47045454545454546;all;bugged
0.9006622516556292;0.25;1.0;0.4;0.9698630136986301;0.47045454545454546;all;bugged_methods
0.9072847682119205;0.2631578947368421;1.0;0.4166666666666667;0.9753424657534246;0.6171212121212122;all;checkstyle
0.9006622516556292;0.25;1.0;0.4;0.9698630136986301;0.47045454545454546;all;source_monitor
0.9006622516556292;0.25;1.0;0.4;0.9698630136986301;0.47045454545454546;all;source_monitor_files
0.9006622516556292;0.25;1.0;0.4;0.9753424657534246;0.6171212121212122;all;ck
0.9072847682119205;0.2631578947368421;1.0;0.4166666666666667;0.9753424657534246;0.6171212121212122;all;mood
0.9006622516556292;0.25;1.0;0.4;0.9698630136986303;0.47045454545454546;all;halstead
0.9006622516556292;0.25;1.0;0.4;0.9753424657534246;0.6171212121212122;all;jasome_mood
0.9006622516556292;0.25;1.0;0.4;0.9753424657534246;0.6171212121212122;all;jasome_ck
0.9006622516556292;0.25;1.0;0.4;0.9753424657534246;0.6154545454545455;all;jasome_lk
0.9006622516556292;0.25;1.0;0.4;0.9698630136986301;0.47045454545454546;all;jasome_files
0.9006622516556292;0.25;1.0;0.4;0.9753424657534246;0.6171212121212122;all;jasome_methods
0.9006622516556292;0.25;1.0;0.4;0.9753424657534246;0.6171212121212122;all;process_files
0.9072847682119205;0.2631578947368421;1.0;0.4166666666666667;0.9561643835616438;0.2640452847805789;all;issues_files
