;NumberOfAssignments;WMC_CK;NumberOfParenthesizedExps;NumberOfMathOperations;NumberOfStringLiterals;BuggedMethods;NumberOfTryCatch;LOCMethod_CK;IsConstructor;NumberOfVariables;NumberOfNumbers;NumberOfLambdas;NumberOfAnonymousClasses;MaxNumberOfNestedBlocks;RFC;Returns;NumberOfLoops;NumberOfModifiers;CBO;NumberOfParameters_CK;NumberOfUniqueWords;NumberOfLogStatements;NumberOfComparisons;NumberOfInnerClasses
count;4225.0;4225.0;4225.0;4225.0;4225.0;4225;4225.0;4225.0;4225;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0
unique;;;;;;2;;;2;;;;;;;;;;;;;;;
top;;;;;;False;;;False;;;;;;;;;;;;;;;
freq;;;;;;4108;;;4074;;;;;;;;;;;;;;;
mean;1.2892307692307692;1.4257988165680473;0.11692307692307692;0.29680473372781063;0.882130177514793;;0.006863905325443787;6.028639053254438;;0.7623668639053255;1.002603550295858;0.00047337278106508875;0.002366863905325444;0.298698224852071;1.4397633136094674;0.4577514792899408;0.24710059171597634;1.1488757396449705;1.1024852071005917;0.17420118343195265;7.190769230769231;0.002366863905325444;0.1510059171597633;0.0
std;4.1764627268887375;4.352349045979466;0.7974628327997297;2.1669110546852126;3.690606063072114;;0.09076816897170442;18.58766554175838;;2.0436417663955404;4.749974365983133;0.021754556158316105;0.048598568615096635;0.9020498069523103;2.7026274289520313;1.0939213760817512;1.7079656142200512;2.5922998026828266;2.025793890472924;0.4835817500148892;10.788846302800616;0.07212995190865822;0.6188443501779555;0.0
min;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;1.0;0.0;0.0;0.0;;0.0;3.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0
75%;1.0;1.0;0.0;0.0;0.0;;0.0;5.0;;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;2.0;0.0;11.0;0.0;0.0;0.0
max;124.0;107.0;17.0;75.0;70.0;;2.0;524.0;;31.0;175.0;1.0;1.0;9.0;28.0;22.0;54.0;42.0;47.0;6.0;115.0;4.0;12.0;0.0
