;FileLength;IOVars;Maximum Depth;NVAR;NumberOfParameters_CK;NumberOfLogStatements;NumberOfLoops;NCOMP;Returns;NumberOfVariables;NBD;NumberOfTryCatch;NumberOfInnerClasses;Di;NumberOfAnonymousClasses;NumberOfMathOperations;NumberOfUniqueWords;NOP;CBO;RFC;WMC_CK;NumberOfComparisons;Ci;IsConstructor;AnonymousInnerClassLength;Si;MaxNumberOfNestedBlocks;BuggedMethods;NumberOfParenthesizedExps;NumberOfLambdas;NumberOfModifiers;VG;MethodLength;NumberOfNumbers;NumberOfAssignments;LOCMethod_CK;MCLC;NumberOfStringLiterals;Fin;Fout
count;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193;2193.0;2193.0;2193.0;2193;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0
unique;;;;;;;;;;;;;;;;;;;;;;;;2;;;;2;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;False;;;;False;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;2134;;;;2150;;;;;;;;;;;;
mean;16.122207022343822;0.5699954400364797;0.8394892840857273;0.2421340629274966;0.253077975376197;0.00045599635202918376;0.05107159142726858;0.4240766073871409;0.43365253077975374;0.41997264021887826;0.6315549475604195;0.0031919744642042863;0.0;0.5321770568677611;0.0;0.1326949384404925;17.251709986320108;0.22891016871865025;0.7150022799817601;1.3711810305517556;1.039671682626539;0.19015047879616964;0.8969741384911081;;0.009575923392612859;0.364797081623347;0.20109439124487005;;0.10989512083903329;0.0;1.68718650250798;0.7861377108983129;5.14546283629731;0.5467396260829913;0.7624259005927952;4.154582763337893;0.6662106703146374;0.4354765161878705;0.12448700410396717;0.10852713178294573
std;113.537774769045;0.7279313066529524;1.2036100329064379;0.8956573078141159;0.4749864210824214;0.021354071087949105;0.28518784768502997;2.037245433822906;0.722613250800149;1.4264519428415745;0.8812463173885934;0.056420185287042124;0.0;0.7038630584455827;0.0;0.7848897398371052;23.1276315930887;0.4277589151182659;1.1169881837516387;2.8523471767255653;1.7968886029141078;0.9517816683116579;4.024490224816357;;0.2605431104687922;3.9901888306842106;0.596644117729543;;0.5199115923047511;0.0;4.962055379184628;1.6889370856258203;11.123653805109276;2.098559115116369;2.5112178878394373;7.773439842857469;2.66736034826485;2.3433708259747243;0.6245491249166328;0.5942894850813966
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;1.0;0.0;0.0;;0.0;0.0;0.0;;0.0;0.0;1.0;0.0;3.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0
75%;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;25.0;0.0;1.0;1.0;1.0;0.0;1.0;;0.0;0.0;0.0;;0.0;0.0;1.0;1.0;5.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0
max;3919.0;4.0;7.0;11.0;6.0;1.0;6.0;48.0;9.0;24.0;7.0;1.0;0.0;4.0;0.0;14.0;169.0;3.0;9.0;32.0;32.0;27.0;121.166666667;;8.0;121.0;6.0;;9.0;0.0;48.0;32.0;178.0;27.0;50.0;133.0;55.0;51.0;12.0;11.0
