;NumberOfModifiers_50%;MaxNumberOfNestedBlocks_std;Maximum Depth_mean;issues_priorityMinor_max;NumberOfModifiers_min;HMd;NMI;Maximum Complexity*;Maximum Depth_min;NMA;Mi;blame_merge_priorityMinor_max;Av;blamemerge_priorityMajor_mean;MaxNumberOfNestedBlocks_max;blamemerge_priorityMinor_std;blame_merge_priorityMinor_mean;NumberOfModifiers_mean;Maximum Depth_max;issues_priorityMinor_min;MaxNumberOfNestedBlocks_count;Ao;NumberOfModifiers_count;PMi;NumberOfMathOperations_count;issues_priorityMajor_min;blamemerge_priorityMinor_count;MaxNumberOfNestedBlocks_50%;PMd;Ai;NM;Ad;Ait;NumberOfMathOperations_75%;blamemerge_priorityMajor_count;Mo;blame_merge_priorityMajor_count;NumberOfMathOperations_std;NumberOfMathOperations_max;PMR;NumberOfMathOperations_min;NumberOfMethods_Mood;NF;NumberOfMathOperations_25%;NumberOfModifiers_std;blamemerge_priorityMinor_min;Average Complexity*;blamemerge_priorityMajor_max;Bugged;Maximum Depth_50%;NumberOfModifiers_max;MaxNumberOfNestedBlocks_min;Md;blame_merge_priorityMinor_std;Maximum Depth_count;NumberOfModifiers_75%;blamemerge_priorityMinor_max;Maximum Depth_75%;NumberOfMathOperations_50%;Mit;blame_merge_priorityMinor_min;issues_priorityMajor_count;issues_priorityMajor_std;HMi;NumberOfModifiers_25%;blame_merge_priorityMajor_max;blamemerge_priorityMinor_mean;blame_merge_priorityMajor_mean;blamemerge_priorityMajor_std;SIX;blamemerge_priorityMajor_min;MaxNumberOfNestedBlocks_25%;Maximum Block Depth;blame_merge_priorityMajor_min;issues_priorityMinor_count;MaxNumberOfNestedBlocks_75%;issues_priorityMinor_std;blame_merge_priorityMajor_std;issues_priorityMajor_mean;Average Statements per Method;Average Block Depth;issues_priorityMajor_max;Ma;NumberOfMathOperations_mean;Maximum Depth_std;issues_priorityMinor_mean;blame_merge_priorityMinor_count;MaxNumberOfNestedBlocks_mean;NOPa;Maximum Depth_25%
count;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1859;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;5.055116033755274;0.3035828093827088;1.2004185562376126;0.13871308016877637;1.9140295358649788;0.7542194092827004;0.0;3.643987341772152;1.100210970464135;4.514240506329114;0.0;0.0;0.2510548523206751;0.16503184766917298;0.870253164556962;0.010278576391600744;0.0;6.143258218662944;1.369198312236287;0.0770042194092827;5.868670886075949;0.0;5.868670886075949;0.0;5.868670886075949;0.1271097046413502;955.6149789029536;0.3043248945147679;3.4050632911392404;0.0;3.9899789029535864;1.9498945147679325;0.0;0.323707805907173;955.6149789029536;0.0;0.0;0.29618807745316567;0.9493670886075949;0.4690413913243671;0.11550632911392406;5.8201476793248945;1.9498945147679325;0.16033755274261605;6.807432689541404;0.06909282700421941;1.7257120253164555;0.2178270042194093;;1.1766877637130801;17.147679324894515;0.125;4.159282700421941;0.0;2.6550632911392404;7.813686708860759;0.11445147679324895;1.2344409282700421;0.21598101265822786;0.0;0.0;144.33755274261603;0.030457058408363196;0.0;3.2149261603375527;0.0;0.08405735422426816;0.0;0.025526165035734478;0.0;0.13660337552742616;0.20226793248945146;2.8781645569620253;0.0;144.33755274261603;0.4920886075949367;0.01855943833348363;0.0;0.1579762026199239;6.111904008438819;1.2491877637130802;0.22521097046413502;4.159282700421941;0.2973806551711317;0.11662086485768756;0.09492485258965062;0.0;0.376141228474059;0.0;1.1429324894514767
std;51.49255903605409;0.4667602035740588;1.1476007536403066;0.3457380617509891;23.59187940890911;2.499125572112191;0.0;5.156479718769109;1.072309153727219;8.547110345257018;0.0;0.0;2.1967231400988085;0.35807790871764167;1.2268074874794443;0.05654213400787137;0.0;48.098668707326986;1.391182405813548;0.26666847577400876;9.381064942011877;0.0;9.381064942011877;0.0;9.381064942011877;0.33318369997968905;4021.3737374326747;0.6027222921099911;7.11536712219342;0.0;8.292948003928442;4.670473129146631;0.0;1.3551936321207458;4021.3737374326747;0.0;0.0;0.8368714781656323;2.73327383898781;0.447531116135119;0.9970151003120056;9.251104772039136;4.670473129146631;1.073550414679337;58.46798978036508;0.2536788317734568;1.519950603065879;0.4128780811551464;;1.1289684270683626;121.45135219402353;0.43910138508688884;8.126178311132037;0.0;5.1683230104217985;72.7924535337762;0.3184428054385101;1.2009870626867216;1.201978530602686;0.0;0.0;290.08139697114456;0.10336705845147595;0.0;30.900380769653705;0.0;0.27157305323932585;0.0;0.09514048470564683;0.0;0.3435187510395562;0.5066472379168865;1.6058691845272977;0.0;290.08139697114456;0.7716125489219222;0.08045145654534994;0.0;0.34900734065456385;7.261491797658124;0.6652513359055154;0.4178313881512976;8.126178311132037;1.198020510232339;0.2859684275337822;0.28151333208865514;0.0;0.589106864340111;0.0;1.090862817317142
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2;0.82;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;1.0;0.0;2.0;0.0;1.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;2.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;2.0;0.0;0.0;0.0;0.0;1.25;0.0;;2.0;1.0;0.0;2.0;0.0;1.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;3.7;1.3;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0
75%;1.0;0.5477225575051662;2.0;0.0;1.0;1.0;0.0;4.0;2.0;5.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.4392361111111112;2.0;0.0;8.0;0.0;8.0;0.0;8.0;0.0;396.0;0.5;3.0;0.0;4.0;2.0;0.0;0.0;396.0;0.0;0.0;0.23269570666200454;1.0;1.0;0.0;8.0;2.0;0.0;0.2359774023315263;0.0;2.0;0.0;;2.0;2.0;0.0;4.0;0.0;3.0;1.0;0.0;2.0;0.0;0.0;0.0;113.75;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;113.75;1.0;0.0;0.0;0.0;9.0;1.67;0.0;4.0;0.125;0.0;0.0;0.0;0.6;0.0;2.0
