;NumberOfSubclasses;NumberOfInheritedMethods;NumberOfMethods_Mood;NumberOfPolymorphicMethods;NumberOfProtectedAttributes;NumberOfAttributes;NumberOfPrivateAttributes;NumberOfPublicAttributes;NumberPublicMethods;Cohesion;Bugged;NumberOfCoupledClasses;NumberUserDefinedAttributes;NumberOfAncestors
count;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867;867.0;867.0;867.0
unique;;;;;;;;;;;2;;;
top;;;;;;;;;;;False;;;
freq;;;;;;;;;;;742;;;
mean;0.04498269896193772;0.0;6.289504036908881;2.557093425605536;0.07497116493656286;1.8938869665513265;1.5594002306805075;0.25951557093425603;5.582468281430219;0.23086576624254687;;1.231833910034602;0.25951557093425603;0.0
std;0.31374530119036864;0.0;10.459773073831288;5.290403080317374;0.4484086234951931;4.342208865331654;3.8360889448432;0.9758096043773813;9.759394923949642;0.3082758505812797;;2.1594631379062257;0.6818404963897945;0.0
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
50%;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;0.09330143540669857;;0.0;0.0;0.0
75%;0.0;0.0;6.0;3.0;0.0;2.0;2.0;0.0;5.0;0.34375;;2.0;0.0;0.0
max;3.0;0.0;48.0;48.0;4.0;31.0;30.0;7.0;42.0;1.0;;9.0;5.0;0.0
