;AIF;MHF;Bugged;Aa;AHF;MIF
count;867.0;867.0;867;867.0;867.0;867.0
unique;;;2;;;
top;;;False;;;
freq;;;742;;;
mean;0.0;0.6381105256989619;;2.156862745098039;0.14242824733564016;0.0
std;0.0;0.4030322219914223;;4.3297492135806115;0.30921209353468637;0.0
min;0.0;0.0;;0.0;0.0;0.0
25%;0.0;0.25;;0.0;0.0;0.0
50%;0.0;0.8275862070000001;;1.0;0.0;0.0
75%;0.0;1.0;;3.0;0.0;0.0
max;0.0;1.0;;31.0;1.0;0.0
