NORM;DIT;NPM;Bugged;WMC;WMC_CK_max;NOCh;WMC_CK_50%;WMC_CK_std;WMC_CK_mean;NMI;WMC_CK_75%;WMC_CK_min;WMC_CK_25%;WMC_CK_count
0.0;1.0;13.0;False;54.0;25.0;0.0;1.0;7.245688373094718;5.0;0.0;4.0;1.0;1.0;13.0
0.0;1.0;8.0;False;9.0;3.0;0.0;1.0;0.7071067811865476;1.25;0.0;1.0;1.0;1.0;8.0
0.0;1.0;16.0;False;24.0;6.0;0.0;1.0;1.2632629707758134;1.4375;0.0;1.0;1.0;1.0;16.0
0.0;1.0;3.0;False;23.0;18.0;0.0;2.0;7.259476565152616;5.2;0.0;4.0;1.0;1.0;5.0
0.0;1.0;1.0;False;2.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0
0.0;1.0;4.0;False;100.0;19.0;0.0;1.5;5.3885278030328445;4.416666666666667;0.0;5.25;1.0;1.0;24.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;1.0;1.0;False;4.0;5.0;0.0;3.0;2.8284271247461903;3.0;0.0;4.0;1.0;2.0;2.0
0.0;0.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;2.0
0.0;1.0;1.0;False;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;1.0;3.0;False;3.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;3.0
0.0;1.0;8.0;False;32.0;10.0;0.0;2.0;3.2566947363946483;3.333333333333333;0.0;3.75;1.0;1.0;12.0
0.0;1.0;4.0;False;4.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;4.0
0.0;1.0;4.0;False;4.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;3.0
0.0;1.0;3.0;False;6.0;2.0;0.0;1.0;0.5773502691896257;1.3333333333333333;0.0;1.5;1.0;1.0;3.0
0.0;1.0;3.0;False;3.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;3.0
0.0;1.0;1.0;False;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0
0.0;1.0;1.0;False;6.0;10.0;0.0;10.0;0.0;10.0;0.0;10.0;10.0;10.0;1.0
0.0;1.0;1.0;False;6.0;8.0;0.0;8.0;0.0;8.0;0.0;8.0;8.0;8.0;1.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
