;NORM;DIT;NPM;Bugged;WMC;WMC_CK_max;NOCh;WMC_CK_50%;WMC_CK_std;WMC_CK_mean;NMI;WMC_CK_75%;WMC_CK_min;WMC_CK_25%;WMC_CK_count
count;1896.0;1896.0;1896.0;1896;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0
unique;;;;2;;;;;;;;;;;
top;;;;False;;;;;;;;;;;
freq;;;;1859;;;;;;;;;;;
mean;0.0;0.6181434599156118;2.9498945147679323;;8.757383966244726;3.0026371308016877;0.0;1.3984704641350212;0.7020480473168924;1.6089245240481402;0.0;1.7743934599156117;1.1044303797468353;1.2269251054852321;5.868670886075949
std;0.0;0.48596983791813225;6.853007735910184;;20.214005393534787;4.536279252149358;0.0;1.5961208854348619;1.5507795832351106;1.717726200975601;0.0;2.096760197506235;1.2883326208135497;1.3910860155171105;9.381064942011877
min;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0
50%;0.0;1.0;0.0;;2.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;2.0
75%;0.0;1.0;3.0;;7.0;4.0;0.0;1.5;0.9090905921493164;2.0;0.0;2.0;1.0;1.0;8.0
max;0.0;1.0;89.0;;270.0;55.0;0.0;33.0;29.698484809834994;33.0;0.0;35.5;33.0;33.0;94.0
