;Aa;Bugged;MIF;AHF;AIF;MHF
count;289.0;289;289.0;289.0;289.0;289.0
unique;;2;;;;
top;;False;;;;
freq;;273;;;;
mean;4.010380622837371;;0.0;0.15486696584775086;0.0;0.403705342951557
std;9.11176148854148;;0.0;0.32268068676083705;0.0;0.43877322957436815
min;0.0;;0.0;0.0;0.0;0.0
25%;0.0;;0.0;0.0;0.0;0.0
50%;0.0;;0.0;0.0;0.0;0.0
75%;3.0;;0.0;0.0;0.0;0.857142857
max;76.0;;0.0;1.0;0.0;1.0
