PMi;Ait;Average Complexity*;blame_merge_priorityMajor_min;Ao;blamemerge_priorityMajor_max;Ai;Av;issues_priorityMinor_min;blame_merge_priorityMinor_count;MaxNumberOfNestedBlocks_std;NumberOfMathOperations_25%;Ad;PMR;Average Statements per Method;SIX;Maximum Depth_25%;NumberOfMathOperations_mean;blame_merge_priorityMinor_std;NumberOfModifiers_25%;NumberOfMathOperations_max;issues_priorityMajor_min;Average Block Depth;Maximum Depth_max;blamemerge_priorityMinor_count;NumberOfModifiers_std;Ma;blamemerge_priorityMajor_min;NMIR;NumberOfMethods_Mood;NumberOfMathOperations_75%;blame_merge_priorityMajor_std;issues_priorityMinor_count;NumberOfModifiers_75%;Maximum Depth_75%;MaxNumberOfNestedBlocks_75%;blame_merge_priorityMinor_mean;Bugged;blamemerge_priorityMajor_std;NumberOfModifiers_min;issues_priorityMajor_std;Mi;blamemerge_priorityMinor_std;Mo;issues_priorityMinor_mean;NMI;NumberOfMathOperations_std;NumberOfModifiers_max;NMA;NumberOfModifiers_50%;Mit;blame_merge_priorityMajor_max;blamemerge_priorityMajor_count;MaxNumberOfNestedBlocks_mean;NumberOfMathOperations_50%;blamemerge_priorityMinor_max;blame_merge_priorityMinor_min;NF;Maximum Depth_std;Maximum Depth_mean;MaxNumberOfNestedBlocks_count;MaxNumberOfNestedBlocks_max;NOPa;issues_priorityMinor_std;NumberOfModifiers_mean;Maximum Block Depth;blame_merge_priorityMajor_mean;Maximum Complexity*;MaxNumberOfNestedBlocks_50%;issues_priorityMajor_max;blamemerge_priorityMinor_min;issues_priorityMajor_mean;blamemerge_priorityMajor_mean;MaxNumberOfNestedBlocks_min;Md;blame_merge_priorityMinor_max;issues_priorityMajor_count;HMd;NumberOfModifiers_count;Maximum Depth_count;issues_priorityMinor_max;Maximum Depth_50%;NM;PMd;MaxNumberOfNestedBlocks_25%;NumberOfMathOperations_count;Maximum Depth_min;blamemerge_priorityMinor_mean;HMi;blame_merge_priorityMajor_count;NumberOfMathOperations_min
0.0;0.0;1.67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2060453783110543;0.0;7.0;0.8;3.17;0.0;2.0;0.0;0.0;1.0;0.0;0.0;1.72;2.0;3180.0;0.9244162777371756;10.0;0.0;0.0;9.0;0.0;0.0;596.0;1.0;2.0;0.0;0.0;False;0.0;1.0;0.0;0.0;0.495697777598894;0.0;0.16275167785234898;0.0;0.0;4.0;10.0;1.0;0.0;0.0;3180.0;0.3636363636363637;0.0;1.0;0.0;7.0;0.0;2.0;11.0;4.0;0.0;0.3694490270803612;1.3636363636363635;6.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;596.0;2.0;11.0;3.0;1.0;2.0;9.0;8.0;0.0;11.0;2.0;0.5660377358490566;0.0;0.0;0.0
0.0;0.0;2.67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;4.67;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.4;0.0;2017.0;0.0;3.0;0.0;0.0;1.0;0.0;0.0;596.0;1.0;0.0;0.0;0.0;False;0.0;1.0;0.0;0.0;0.4964207774750149;0.0;0.16275167785234898;0.0;0.0;1.0;3.0;1.0;0.0;0.0;2017.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.3694490270803612;1.0;4.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;596.0;0.0;1.0;0.0;1.0;0.0;1.0;3.0;0.0;1.0;0.0;0.5607337630143778;0.0;0.0;0.0
0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.5;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.89;0.0;340.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;97.0;9.0;0.0;0.0;0.0;False;0.0;9.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;9.0;2.0;9.0;0.0;0.0;340.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;9.0;2.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;97.0;0.0;2.0;0.0;1.0;0.0;2.0;2.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0
0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.33;0.0;2.0;0.0;0.0;5.0;0.0;0.0;1.13;2.0;3468.0;4.618802153517007;0.0;0.0;0.0;3.0;0.0;0.0;547.0;9.0;2.0;0.0;0.0;False;0.0;1.0;0.17368903847808972;0.0;0.3559316125394931;0.0;0.44972577696526506;0.0;0.0;9.0;0.0;9.0;0.0;0.0;3468.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;3.0;0.0;0.0;0.4979214283798455;6.333333333333332;2.0;0.0;1.0;0.0;1.0;0.0;0.03107861060329068;0.0;0.0;0.0;0.0;547.0;0.0;3.0;2.0;1.0;2.0;0.0;0.0;0.0;3.0;2.0;0.14878892733564014;0.0;0.0;0.0
0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;1.21;2.0;1980.0;0.5773502691896257;0.0;0.0;0.0;3.0;0.0;0.0;407.0;1.5;2.0;0.0;0.0;False;0.0;1.0;0.0;0.0;0.3367215673776335;0.0;0.3022113022113022;0.0;0.0;2.0;0.0;1.0;0.0;0.0;1980.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;3.0;0.0;0.0;0.4597815122264552;1.3333333333333333;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;407.0;0.0;3.0;2.0;1.0;2.0;0.0;0.0;0.0;3.0;2.0;0.1303030303030303;0.0;0.0;0.0
0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.8;0.0;2.0;0.0;0.0;1.0;0.0;0.0;1.37;2.0;5129.0;0.5477225575051661;0.0;0.0;0.0;5.0;0.0;0.0;381.0;2.0;2.0;0.0;0.0;False;0.0;1.0;0.0;0.0;0.34353616034699663;0.0;0.2545931758530184;0.0;0.0;2.0;0.0;1.0;0.0;0.0;5129.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;5.0;0.0;0.0;0.4362051121296555;1.4;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;381.0;0.0;5.0;3.0;1.0;2.0;0.0;0.0;0.0;5.0;2.0;0.13667381555858846;0.0;0.0;0.0
0.0;0.0;1.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5773502691896258;0.0;0.0;0.0;7.67;0.0;2.0;0.0;0.0;5.5;0.0;0.0;1.06;2.0;2437.0;5.196152422706632;0.0;0.0;0.0;3.0;0.0;0.0;407.0;10.0;2.0;0.5;0.0;False;0.0;1.0;0.0;0.0;0.2883864382247196;0.0;0.3022113022113022;0.0;0.0;10.0;0.0;10.0;0.0;0.0;2437.0;0.3333333333333333;0.0;1.0;0.0;0.0;0.0;2.0;3.0;1.0;0.0;0.4597815122264552;7.0;3.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;407.0;0.0;3.0;1.0;1.0;2.0;0.0;0.0;0.0;3.0;2.0;0.09150594993844892;0.0;0.0;0.0
0.0;0.0;2.83;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.1972189997378648;0.0;3.0;0.916666667;5.08;0.0;2.0;0.5;0.0;1.0;2.0;0.0;2.08;5.0;36013.0;3.5916569992135936;12.0;0.0;0.0;10.0;0.75;0.0;4771.0;1.0;2.5;1.0;0.0;False;0.4932119078108736;1.0;0.4103167728260553;0.0;0.2038231048259304;0.0;0.06560469503248795;0.0;0.8498365855987975;10.0;12.0;1.0;0.0;0.0;36013.0;0.9;0.0;1.0;0.0;3.0;1.1338934190276817;2.571428571428572;10.0;3.0;0.0;0.24761577156142625;2.7;5.0;0.0;9.0;0.5;1.0;0.0;0.7857891427373717;0.5821508899564046;0.0;12.0;0.0;4771.0;1.0;10.0;7.0;1.0;2.0;10.0;11.0;0.0;10.0;2.0;0.043428761836003665;0.0;0.0;0.0
0.0;0.0;1.4;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;1.0;3.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;1.47;4.0;3937.0;0.0;5.0;0.0;0.0;4.0;0.0;0.0;758.0;1.0;3.0;0.5;0.0;False;0.2827922213051231;1.0;0.2506757092464814;0.0;0.0;0.0;0.0;0.0;0.0;1.0;5.0;1.0;0.0;0.0;3937.0;0.5;0.0;0.0;0.0;2.0;1.1547005383792517;2.6666666666666665;4.0;2.0;0.0;0.0;1.0;4.0;0.0;3.0;0.0;1.0;0.0;0.06728232189973615;0.08763017526035052;0.0;5.0;0.0;758.0;0.0;4.0;3.0;0.0;2.0;4.0;5.0;0.0;4.0;2.0;0.0;0.0;0.0;0.0
0.0;0.0;3.5;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;7.5;0.0;4.0;1.0;0.0;1.0;1.0;0.0;1.83;4.0;27873.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;4286.0;1.0;4.0;2.0;0.0;False;0.30772656220646216;1.0;0.3188083724441489;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;0.0;0.0;27873.0;2.0;1.0;0.0;0.0;0.0;0.0;4.0;1.0;2.0;0.0;0.0;1.0;4.0;0.0;6.0;2.0;1.0;0.0;0.8852076528231452;0.8940910558605102;2.0;2.0;0.0;4286.0;0.0;1.0;1.0;0.0;4.0;1.0;2.0;2.0;1.0;4.0;0.0;0.0;0.0;1.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21794.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4448.0;0.0;0.0;0.0;0.0;False;0.3470349769902573;0.0;0.3656685477620618;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;21794.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.8410521582733813;0.8599614572818207;0.0;0.0;0.0;4448.0;0.0;3.0;0.0;0.0;0.0;4.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14916.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4096.0;0.0;0.0;0.0;0.0;False;0.2080130234252913;0.0;0.2845866886088197;0.0;0.18479038047004992;0.0;0.036376953125;0.0;0.0;0.0;1.0;0.0;0.0;0.0;14916.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.1872491135391965;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.9111328125;0.9546795387503352;0.0;0.0;0.0;4096.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.035398230088495575;0.0;0.0;0.0
