;PMi;Ait;Average Complexity*;blame_merge_priorityMajor_min;Ao;blamemerge_priorityMajor_max;Ai;Av;issues_priorityMinor_min;blame_merge_priorityMinor_count;MaxNumberOfNestedBlocks_std;NumberOfMathOperations_25%;Ad;PMR;Average Statements per Method;SIX;Maximum Depth_25%;NumberOfMathOperations_mean;blame_merge_priorityMinor_std;NumberOfModifiers_25%;NumberOfMathOperations_max;issues_priorityMajor_min;Average Block Depth;Maximum Depth_max;blamemerge_priorityMinor_count;NumberOfModifiers_std;Ma;blamemerge_priorityMajor_min;NMIR;NumberOfMethods_Mood;NumberOfMathOperations_75%;blame_merge_priorityMajor_std;issues_priorityMinor_count;NumberOfModifiers_75%;Maximum Depth_75%;MaxNumberOfNestedBlocks_75%;blame_merge_priorityMinor_mean;Bugged;blamemerge_priorityMajor_std;NumberOfModifiers_min;issues_priorityMajor_std;Mi;blamemerge_priorityMinor_std;Mo;issues_priorityMinor_mean;NMI;NumberOfMathOperations_std;NumberOfModifiers_max;NMA;NumberOfModifiers_50%;Mit;blame_merge_priorityMajor_max;blamemerge_priorityMajor_count;MaxNumberOfNestedBlocks_mean;NumberOfMathOperations_50%;blamemerge_priorityMinor_max;blame_merge_priorityMinor_min;NF;Maximum Depth_std;Maximum Depth_mean;MaxNumberOfNestedBlocks_count;MaxNumberOfNestedBlocks_max;NOPa;issues_priorityMinor_std;NumberOfModifiers_mean;Maximum Block Depth;blame_merge_priorityMajor_mean;Maximum Complexity*;MaxNumberOfNestedBlocks_50%;issues_priorityMajor_max;blamemerge_priorityMinor_min;issues_priorityMajor_mean;blamemerge_priorityMajor_mean;MaxNumberOfNestedBlocks_min;Md;blame_merge_priorityMinor_max;issues_priorityMajor_count;HMd;NumberOfModifiers_count;Maximum Depth_count;issues_priorityMinor_max;Maximum Depth_50%;NM;PMd;MaxNumberOfNestedBlocks_25%;NumberOfMathOperations_count;Maximum Depth_min;blamemerge_priorityMinor_mean;HMi;blame_merge_priorityMajor_count;NumberOfMathOperations_min
count;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.0;0.0;2.101269315673289;0.0;0.0;0.782560706401766;0.0;0.25275938189845476;0.039735099337748346;0.0;0.4441049611435819;0.1926048565121413;1.9183222958057395;0.4853036003554084;5.608598233995584;0.0;1.3167770419426048;0.4578324386516786;0.0;79.13658940397352;1.4966887417218544;0.0717439293598234;1.4669536423841059;1.6291390728476822;20894.653421633553;92.49162107524948;4.242825607064018;0.08278145695364239;0.0;4.286975717439294;0.5082781456953642;0.0;2332.8763796909493;155.20309050772627;1.4724061810154525;0.6252759381898455;0.0;;0.20811134068386453;5.661147902869757;0.24554248922569757;0.0;0.14293719353647855;0.0;0.11949012894321341;0.0;0.5457325762672423;170.47792494481237;4.503311258278146;152.69701986754967;0.0;0.0;20894.653421633553;0.4783085795353403;0.2875275938189846;0.7052980132450332;0.0;1.9150110375275937;0.16506970998672146;1.4096529159783935;3.827814569536424;1.1324503311258278;0.0;0.16928730140494508;106.95730100149038;3.411699779249448;0.0;5.714128035320089;0.3620309050772627;0.8013245033112583;0.04194260485651214;0.485452746589208;0.4759504371001604;0.1445916114790287;4.242825607064018;0.0;2332.8763796909493;1.3543046357615893;3.827814569536424;1.8101545253863134;0.7141280353200883;1.3730684326710816;3.501103752759382;2.8885209713024285;0.23206401766004414;3.827814569536424;1.2693156732891833;0.17021052859525634;0.0;0.0;0.1346578366445916
std;0.0;0.0;2.1933335058126513;0.0;0.0;0.41273171514477935;0.0;1.2451533006176203;0.1954440656269068;0.0;0.6712470329189484;1.0907777409505492;3.899844996195769;0.4179408798650532;7.191322189170846;0.0;1.3088985665119726;1.505398610901065;0.0;1539.9736012157819;4.746209894270353;0.2582059749804268;0.8759450726068887;1.8344134289061405;30988.251838027074;1777.4536176143067;6.377669811782124;0.2757038020055325;0.0;5.6731787608402025;1.9105155110936936;0.0;2006.5719620399313;3078.1325344199404;1.5446164409819703;0.9780215574658379;0.0;;0.18258845447954777;67.95054240109872;0.17857549006658927;0.0;0.15951756700374983;0.0;0.22427876475274353;0.0;1.8551612983390946;3079.912689093691;6.366390519750777;3077.9606226470305;0.0;0.0;30988.251838027074;0.7459141703823039;1.4223352760018602;0.45616049508678014;0.0;3.8967979275651214;0.4705117354777951;1.4227054856499488;5.00664079140858;1.61283044847911;0.0;0.16259334343023943;2052.582110934641;2.101679408015718;0.0;9.029415352863555;0.7292271418825451;0.39922357047415014;0.20056875211873584;0.39736865300250845;0.41596020421939967;0.5661330485094805;6.377669811782124;0.0;2006.5719620399313;4.0583136431813065;5.00664079140858;3.3009870578670886;0.45207827165142567;1.3909346870356953;5.511264095428103;4.07928883116506;0.6088854415898639;5.00664079140858;1.2815248926636218;0.3090722376720321;0.0;0.0;0.9677517054791771
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.47;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;2876.5;0.0;0.0;0.0;0.0;1.0;0.0;0.0;566.0;1.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;2876.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;2.0;0.0;1.0;0.0;1.0;0.0;0.021023233042549404;0.008207952205528835;0.0;0.0;0.0;566.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;1.5;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;3.77;0.0;2.0;0.0;0.0;1.0;0.0;0.0;1.47;2.0;10846.0;0.0;3.0;0.0;0.0;3.0;0.0;0.0;1269.0;1.0;2.0;0.0;0.0;;0.18275239814984745;1.0;0.307646943666972;0.0;0.077420367512108;0.0;0.03125861453723418;0.0;0.0;1.0;3.0;1.0;0.0;0.0;10846.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.15260680980278152;1.0;3.0;0.0;3.0;0.0;1.0;0.0;0.53174082794385;0.5331581457844101;0.0;3.0;0.0;1269.0;0.0;2.0;1.0;1.0;2.0;2.0;2.0;0.0;2.0;2.0;0.010807512264325778;0.0;0.0;0.0
75%;0.0;0.0;2.5;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.721639063239221;0.0;2.0;0.986111111;7.09;0.0;2.0;0.3333333333333333;0.0;1.0;1.0;0.0;2.0175;2.0;26066.5;1.5206439237389597;6.0;0.0;0.0;5.0;0.0;0.0;4409.25;3.0;2.0;1.0;0.0;;0.3845658524534398;1.0;0.3870567938523952;0.0;0.2591700206974217;0.0;0.12959428782599514;0.0;0.4472135954999579;8.0;6.0;1.0;0.0;0.0;26066.5;0.7708333333333334;0.0;1.0;0.0;2.0;0.0;2.0;5.0;2.0;0.0;0.2762563793574451;2.5;5.0;0.0;6.0;0.5;1.0;0.0;0.8606208808452768;0.9155626433972032;0.0;6.0;0.0;4409.25;1.0;5.0;2.0;1.0;2.0;4.0;4.0;0.0;5.0;2.0;0.13500661558147853;0.0;0.0;0.0
max;0.0;0.0;18.5;0.0;0.0;1.0;0.0;14.0;1.0;0.0;4.242640687119285;17.0;36.0;1.0;81.0;0.0;8.0;26.5;0.0;32768.0;75.0;1.0;4.32;11.0;445681.0;37837.22724161132;64.0;1.0;0.0;62.0;39.75;0.0;7413.0;65536.0;8.5;5.0;0.0;;0.5004976839791111;1025.0;0.5002913778378971;0.0;0.5004976839791111;0.0;1.0;0.0;37.476659402887016;65536.0;64.0;65536.0;0.0;0.0;445681.0;5.0;26.5;1.0;0.0;36.0;3.236694374850748;8.0;62.0;9.0;0.0;0.5005658217954334;43690.66666666666;9.0;0.0;107.0;5.0;1.0;1.0;1.0;1.0;5.0;64.0;0.0;7413.0;41.0;62.0;42.0;1.0;8.0;62.0;59.0;5.0;62.0;8.0;1.0;0.0;0.0;17.0
