Cohesion;NumberOfInheritedMethods;NumberOfProtectedAttributes;NumberOfAttributes;NumberOfPolymorphicMethods;NumberPublicMethods;NumberUserDefinedAttributes;NumberOfSubclasses;NumberOfMethods_Mood;Bugged;NumberOfPublicAttributes;NumberOfCoupledClasses;NumberOfPrivateAttributes;NumberOfAncestors
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;2.0;False;0.0;0.0;1.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.2;0.0;0.0;7.0;5.0;5.0;0.0;0.0;5.0;False;0.0;0.0;7.0;0.0
0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;2.0;False;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;False;0.0;0.0;0.0;0.0
0.16666666666666666;0.0;0.0;1.0;20.0;20.0;0.0;0.0;20.0;False;0.0;0.0;1.0;0.0
0.17592592592592593;0.0;0.0;2.0;25.0;27.0;1.0;0.0;27.0;False;0.0;0.0;2.0;0.0
0.16666666666666666;0.0;0.0;5.0;6.0;6.0;0.0;0.0;6.0;False;0.0;0.0;5.0;0.0
0.125;0.0;0.0;1.0;4.0;5.0;0.0;0.0;16.0;False;0.0;0.0;1.0;0.0
0.3333333333333333;0.0;0.0;0.0;0.0;3.0;0.0;0.0;3.0;False;0.0;0.0;0.0;0.0
0.16666666666666666;0.0;0.0;6.0;6.0;6.0;0.0;0.0;6.0;False;0.0;0.0;6.0;0.0
0.1388888888888889;0.0;0.0;6.0;8.0;8.0;1.0;0.0;12.0;False;0.0;1.0;6.0;0.0
0.1388888888888889;0.0;0.0;6.0;8.0;8.0;1.0;0.0;12.0;False;0.0;1.0;6.0;0.0
1.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;2.0;False;0.0;0.0;0.0;0.0
0.6666666666666666;0.0;0.0;2.0;2.0;2.0;0.0;0.0;3.0;False;0.0;0.0;2.0;0.0
