;VG;NPathComplexity;BooleanExpressionComplexity;NestedIfElseDepth;IOVars;NumberOfProtectedMethod;ExecutableStatementCount;ThrowsCount;NCSSForThisFile;NCSSForThisMethod;AnonymousInnerClassLength;CyclomaticComplexity;NCOMP;NumberOfModifiers;Fout;NCSSForThisClass;ClassDataAbstractionCoupling;NestedForDepth;WMC_CK;Si;Ci;NVAR;FileLength;Di;NBD;ClassFanOutComplexity;NumberOfMathOperations;NOP;MCLC;Maximum Depth;NestedTryDepth;NumberOfMethods_Checkstyle;NumberOfPrivateMethod;MaxNumberOfNestedBlocks;NumberOfPackageMethod;NumberOfPublicMethods_Checkstyle;BuggedMethods;Fin;MethodLength
count;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256;13256.0;13256.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13206;;
mean;1.2125075437537718;13.578455039227519;0.11738080869040435;0.10138805069402534;0.6099124924562462;0.055220277610138806;3.1159474954737476;0.04269764634882318;6.8741701870850935;4.32415509957755;0.7718014484007242;1.4628092939046469;0.6200211225105613;1.2202021726010863;0.13412794206397102;5.815404345202173;0.2890012070006035;0.00724200362100181;1.4302957151478575;0.790132770066385;1.3638786763246078;0.3822420036210018;20.136768255884128;0.5737459062582226;0.9136994568497284;0.8010712130356065;0.07724803862401931;0.2684067592033796;1.002263126131563;0.945835847917924;0.00022631261315630657;0.6461225105612552;0.11044055522027761;0.34007242003621;0.0035455642727821365;0.4801599275799638;;0.16173808086904043;7.6606065178032585
std;2.754405493518872;295.759490002562;0.8744392161778425;0.3940077816688829;0.7666107244905358;0.5911186485317266;6.422381582439117;0.20987200068239506;37.036913204412805;8.27343034096034;5.427375871969137;2.869626117407572;3.3249629817764523;2.146751598605843;0.8787495195702076;32.848886770858776;1.7752189206457993;0.0980014425148778;2.7652474081492;28.277589018364647;28.274518010191315;1.2146527684871053;98.82779701089063;0.750388087236633;1.1828420077455488;3.7865176535053187;0.8674897776952819;0.534795232973513;4.047939173311194;1.2796497935080826;0.01504255515687811;3.4507141569407875;1.0982759723500886;0.7782866949851152;0.12061497094820926;2.9287114213052057;;1.3191916398954444;15.276562889763639
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0
50%;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;3.0
75%;1.0;1.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;5.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;8.0
max;108.0;10000.0;62.0;7.0;13.0;31.0;153.0;2.0;1112.0;204.0;193.0;108.0;163.0;42.0;52.0;1063.0;36.0;4.0;110.0;2704.0;2704.018867925;36.0;2755.0;13.0;20.0;75.0;80.0;12.0;176.0;10.0;1.0;178.0;49.0;8.0;9.0;178.0;;114.0;384.0
