;Fout_min;VG_count;MCLC_count;Di_25%;Fout_25%;blame_merge_blame_getDistinctOperatorsCnt_std;Ci_75%;Fin_count;Di_min;NVAR_25%;Ci_25%;MCLC_std;blame_merge_blame_getDistinctOperandsCnt_count;Ci_mean;blame_merge_blame_getDistinctOperatorsCnt_min;NCOMP_25%;NCOMP_50%;blamemerge_blamegetDistinctOperandsCnt_mean;NVAR_count;MCLC_min;blame_merge_blame_getDistinctOperandsCnt_max;NCOMP_mean;Di_50%;blame_merge_blame_getDistinctOperandsCnt_std;NVAR_min;Fout_75%;Si_max;MCLC_25%;Ci_count;Fin_min;NCOMP_max;blame_merge_blame_getDistinctOperatorsCnt_count;Ci_min;Fin_std;IOVars_25%;Fout_max;blamemerge_blamegetDifficulty_std;IOVars_mean;VG_std;blame_merge_blame_getDistinctOperatorsCnt_mean;blamemerge_blamegetDifficulty_count;ClTCi;blame_merge_blame_getDifficulty_std;blame_merge_blame_getDistinctOperandsCnt_mean;Fin_25%;Si_count;Fin_mean;Si_min;Di_max;blamemerge_blamegetDistinctOperandsCnt_std;IOVars_count;blamemerge_blamegetDifficulty_max;blame_merge_blame_getDistinctOperandsCnt_min;NOP_25%;NBD_25%;NBD_max;Bugged;IOVars_min;VG_75%;blame_merge_blame_getDistinctOperatorsCnt_max;NBD_50%;NVAR_std;Si_25%;NBD_mean;blame_merge_blame_getDifficulty_count;blamemerge_blamegetDifficulty_mean;Fout_50%;Fout_count;MCLC_max;blame_merge_blame_getDifficulty_min;Fout_mean;MCLC_75%;ClRCi;blamemerge_blamegetDistinctOperatorsCnt_mean;blamemerge_blamegetDistinctOperandsCnt_max;NOP_mean;blamemerge_blamegetDistinctOperatorsCnt_max;IOVars_75%;Fin_75%;Fout_std;NCOMP_75%;NVAR_75%;NOP_max;NBD_count;Fin_max;Fin_50%;Di_std;VG_50%;blamemerge_blamegetDistinctOperatorsCnt_count;MCLC_50%;Ci_50%;NVAR_mean;blamemerge_blamegetDistinctOperatorsCnt_std;NOPa;VG_mean;NBD_std;VG_25%;Difficulty;VG_min;Ci_std;Di_75%;Di_count;Si_mean;Si_std;Si_50%;blame_merge_blame_getDifficulty_max;MCLC_mean;blamemerge_blamegetDistinctOperandsCnt_count;NOP_std;NCOMP_std;NCOMP_count;NOP_min;IOVars_max;NBD_min;NVAR_max;NBD_75%;NOP_50%;NVAR_50%;IOVars_std;Ci_max;blame_merge_blame_getDifficulty_mean;NOP_count;Si_75%;IOVars_50%;NumberOfDistinctOperators;NCOMP_min;NOP_75%;NumberOfDistinctOperands;VG_max;Di_mean
count;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.0033112582781456954;2.9282560706401766;2.9282560706401766;0.9835871526663907;0.00717439293598234;0.0;1.529665983388245;2.9282560706401766;0.7731812100253862;0.31539735099337746;1.0298473142014348;2.111082187185081;0.0;1.6552443645118649;0.0;0.6147902869757175;0.9216335540838853;1.2895538545732799;2.9282560706401766;0.6490066225165563;0.0;1.3625430059909522;1.1538815305369758;0.0;0.2152317880794702;0.08609271523178808;6.598233995584989;0.9655077262693157;2.9282560706401766;0.002207505518763797;3.9746136865342163;0.0;0.8355408388520972;0.12733172214338;1.016280353200883;0.47019867549668876;1.106849833124487;1.214811516285046;1.095831561013334;0.0;20901.365342163357;19.53751464072075;0.0;0.0;0.009657836644591612;2.9282560706401766;0.0761840848475902;0.005518763796909493;1.7113686534216335;1.8268756844254157;2.9282560706401766;5.6497253359836135;0.0;0.5309050772626932;0.9277041942604857;1.8189845474613686;;0.8233995584988962;1.9067328918322295;0.0;1.0491169977924946;0.7098314555692691;0.010485651214128035;1.1747248354706326;0.0;0.7420691701816025;0.017660044150110375;2.9282560706401766;5.623620309050772;0.0;0.0806635638867839;2.5049668874172184;1.8705255008013244;1.4758758638368081;7.520971302428256;0.7309701920172772;8.582781456953642;1.3821743929359824;0.08084988962472406;0.14884419786059117;1.5963024282560707;0.9081125827814569;1.2328918322295805;2.9282560706401766;0.3841059602649007;0.025938189845474614;0.4341148724330963;1.3300220750551877;20901.365342163357;1.4613686534216335;1.2107247976451436;0.7090871322469819;1.9632535500066157;0.0;1.6783568661588029;0.44460927332227757;1.0797461368653423;40.298562160687574;0.9492273730684326;1.7982891910505618;1.3566501103744482;2.9282560706401766;0.47112482591857135;1.456207561878833;0.024282560706401765;0.0;2.0716301382379343;20901.365342163357;0.39981877959106954;1.4786640701127352;2.9282560706401766;0.38631346578366443;1.7362030905077264;0.8498896247240618;1.8035320088300222;1.315673289183223;0.6821192052980133;0.49944812362030905;0.426333108079797;8.13185464812693;0.0;2.9282560706401766;0.1749448123620309;1.1782560706401766;23.81788079470199;0.41501103752759383;0.8777593818984547;71.8598233995585;3.6567328918322297;1.1841195385932934
std;0.07425554074730488;4.742698563321537;4.742698563321537;1.0801082018105106;0.08998690172283555;0.0;1.7990725351825447;4.742698563321537;1.0457962370666734;0.9831804895780315;1.0863148678019432;5.563294169996862;0.0;4.121623287385199;0.0;2.549739843766218;3.107722689040618;0.9862827240675374;4.742698563321537;3.112332288136872;0.0;3.434011862725776;1.163174444423272;0.0;0.9266048054871816;0.37869325800650416;94.90655920590102;3.324130695392517;4.742698563321537;0.046958133333282935;12.373399382608493;0.0;1.0501226368734233;0.5206781774548292;1.078518200150357;2.5266962169281704;0.4822093364308666;1.1558531719632776;2.9230594259898677;0.0;30994.046201851575;146.37428366641083;0.0;0.0;0.08541736292344423;4.742698563321537;0.2938044126810773;0.13694539049936147;1.648294917715785;0.5802500361335268;4.742698563321537;2.8422703698494294;0.0;0.8955905843894972;1.063463862308178;2.0818376566125987;;1.0436569414550545;3.044875040185122;0.0;1.172457537827745;1.4583271228199226;0.15151312804730957;1.227553063650304;0.0;0.585750671903384;0.14381325864847083;4.742698563321537;14.669947275526425;0.0;0.3045217992840557;5.300602243382233;4.077113611227458;1.0866038282797996;2.1279776785202684;0.9601345817723048;2.532941292640863;1.3032511901322488;0.3586195841992717;0.6176315041381604;4.032281357084377;1.6696967245437107;1.4723453772243;4.742698563321537;1.8395084395721737;0.15102029624173274;0.5950254955973414;2.056339987248841;30994.046201851575;4.0321426659171085;1.1895795057174468;1.308071206453528;0.721832011437646;0.0;2.4414003681480096;0.7473113281678124;1.5854747590943827;31.726063443689064;1.4404052756738688;16.252727876813545;1.2946012240750755;4.742698563321537;3.994560347233911;16.29271246840491;0.23141597204044606;0.0;4.455990688509637;30994.046201851575;0.5599575955726801;4.552947697604869;4.742698563321537;0.8570734523572642;1.6660246589512209;1.0210951703538014;3.4412237155262475;1.4188324666006973;0.9779052655683622;1.1858976710729066;0.5960316266811562;94.81963013177338;0.0;4.742698563321537;1.3246582994155993;1.1693420941924564;9.953202673502009;2.366421605578273;1.1116655920049852;63.61963279424722;8.261622914513412;1.1503774679981131
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009881422924901186;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09020211346707413;0.0;0.0;0.0;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19357240913569554;0.0;1.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004446640316205534;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009881422924901186;3.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.0;0.0;0.0;0.0;0.1830730853864988;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;3.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6661106084596246;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8009873596219478;0.0;0.0;0.0;2878.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4881164998321208;0.0;4.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3481067731666541;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7025172214507479;6.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2878.25;0.0;0.0;0.0;1.457875411425389;0.0;0.0;0.0;0.0;18.17104231974922;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2878.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.0;0.0;0.0;30.0;0.0;0.0
50%;0.0;2.0;2.0;1.0;0.0;0.0;1.25;2.0;0.3095238095;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0746563006087455;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.1009512093571021;1.0;0.0;0.0;10846.0;4.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;1.8165531113984603;2.0;5.0;0.0;0.0;1.0;1.0;;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.64221878196862;0.0;2.0;0.0;0.0;0.0;0.0;1.5;1.3057640021915218;7.0;0.3333333333333333;9.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;1.0;10846.0;0.0;1.0;0.0;2.0074701786571634;0.0;1.0;0.0;1.0;31.435265911072364;1.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;10846.0;0.0;0.0;2.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;1.0;23.0;0.0;0.5;54.0;1.0;1.0
75%;0.0;3.75;3.75;1.5;0.0;0.0;2.0;3.75;1.0;0.0;1.5;2.192085895987532;0.0;2.0;0.0;0.0;0.5;1.594087206713451;3.75;0.0;0.0;1.4125;2.0;0.0;0.0;0.0;0.0;0.0;3.75;0.0;4.0;0.0;1.0;0.0;1.5;0.0;1.3917742258682673;2.0;1.0;0.0;26067.5;11.0;0.0;0.0;0.0;3.75;0.0;0.0;3.0;2.1657886560560144;3.75;7.5;0.0;1.0;1.0;3.0;;1.0;2.0;0.0;1.0;0.9712818316504844;0.0;1.6666666666666667;0.0;0.9498766611227536;0.0;3.75;6.0;0.0;0.0;3.0;2.25;1.965233007634233;9.0;1.0;10.0;2.0;0.0;0.0;1.5;1.25;2.0;3.75;0.0;0.0;0.7071067811865476;1.0;26067.5;1.0;2.0;1.0;2.42433983924811;0.0;2.0;0.7071067811865476;1.0;55.60619926948052;1.0;0.8164965809277259;2.0;3.75;0.0;0.0;0.0;0.0;2.5;26067.5;0.7071067811865476;1.3395639232082388;3.75;0.0;3.0;1.0;3.0;2.0;1.0;0.0;0.7071067811865476;3.0;0.0;3.75;0.0;2.0;31.0;0.0;1.5;88.0;4.0;2.0
