issues_priorityMinor_min;NumberOfMathOperations_25%;NumberOfModifiers_75%;blamemerge_priorityMajor_min;PMd;NumberOfModifiers_mean;Maximum Depth_count;NumberOfModifiers_max;blamemerge_priorityMinor_count;blame_merge_priorityMajor_max;Maximum Depth_50%;NumberOfMathOperations_mean;blame_merge_priorityMinor_count;issues_priorityMajor_count;issues_priorityMajor_mean;blamemerge_priorityMajor_std;blamemerge_priorityMajor_max;NumberOfMethods_Mood;MaxNumberOfNestedBlocks_50%;NumberOfModifiers_min;PMi;Ait;Av;issues_priorityMinor_std;issues_priorityMajor_std;MaxNumberOfNestedBlocks_mean;NumberOfMathOperations_count;MaxNumberOfNestedBlocks_25%;issues_priorityMinor_max;NumberOfMathOperations_max;Maximum Block Depth;NumberOfMathOperations_50%;NOPa;NMIR;blamemerge_priorityMinor_max;MaxNumberOfNestedBlocks_max;blamemerge_priorityMajor_mean;NumberOfMathOperations_75%;Average Complexity*;Ao;HMi;Ad;NumberOfModifiers_std;Maximum Complexity*;blamemerge_priorityMinor_std;Maximum Depth_min;Maximum Depth_max;Mo;issues_priorityMinor_mean;Average Block Depth;blamemerge_priorityMinor_mean;NMI;Bugged;Maximum Depth_std;NF;issues_priorityMajor_min;Ai;MaxNumberOfNestedBlocks_75%;blame_merge_priorityMinor_std;Mi;blame_merge_priorityMajor_std;Average Statements per Method;NumberOfModifiers_50%;blame_merge_priorityMajor_count;NM;Md;Maximum Depth_25%;blame_merge_priorityMinor_max;SIX;Maximum Depth_75%;PMR;Maximum Depth_mean;blame_merge_priorityMinor_mean;issues_priorityMinor_count;blamemerge_priorityMajor_count;NumberOfMathOperations_std;blame_merge_priorityMajor_mean;NumberOfMathOperations_min;Ma;MaxNumberOfNestedBlocks_min;Mit;NumberOfModifiers_count;MaxNumberOfNestedBlocks_std;NumberOfModifiers_25%;MaxNumberOfNestedBlocks_count;HMd;blame_merge_priorityMajor_min;NMA;issues_priorityMajor_max;blame_merge_priorityMinor_min
0.0;0.0;1.75;1.0;3.0;1.75;2.0;4.0;2205.0;0.0;2.0;0.0;0.0;2302.0;1.0;0.0;1.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.5;1.0;0.0;2.0;2.0;0.0;0.0;1.0;0.0;0.0;False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;4.0;4.0;2.0;0.0;0.0;2.0;0.75;2.0;0.0;2302.0;2205.0;0.0;0.0;0.0;4.0;0.0;0.0;4.0;0.0;1.0;4.0;1.0;0.0;4.0;1.0;0.0
0.0;0.0;2.5;1.0;3.0;2.0;1.0;4.0;2184.0;0.0;2.0;0.0;0.0;2302.0;1.0;0.0;1.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.7320508075688772;1.0;0.0;2.0;2.0;0.0;0.0;1.0;0.0;0.0;False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;3.0;4.0;2.0;0.0;0.0;2.0;0.75;2.0;0.0;2302.0;2184.0;0.0;0.0;0.0;4.0;0.0;0.0;3.0;0.0;1.0;3.0;1.0;0.0;4.0;1.0;0.0
0.0;0.0;1.75;1.0;3.0;1.75;1.0;4.0;1363.0;0.0;2.0;0.0;0.0;2302.0;1.0;0.0;1.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.5;1.0;0.0;2.0;2.0;0.0;0.0;0.7;0.0;0.0;False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;4.0;4.0;2.0;0.0;0.0;2.0;0.75;2.0;0.0;2302.0;1363.0;0.0;0.0;0.0;4.0;0.0;0.0;4.0;0.0;1.0;4.0;1.0;0.0;4.0;1.0;0.0
0.0;0.0;4.0;1.0;3.0;2.5;1.0;4.0;1867.0;0.0;2.0;0.0;0.0;2302.0;1.0;0.0;1.0;6.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.6431676725154984;1.0;0.0;2.0;2.0;0.0;0.0;0.83;0.0;0.0;False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.5;0.0;6.0;6.0;2.0;0.0;0.0;2.0;0.5;2.0;0.0;2302.0;1867.0;0.0;0.0;0.0;6.0;0.0;0.0;6.0;0.0;1.0;6.0;3.0;0.0;6.0;1.0;0.0
0.0;0.0;1.0;1.0;3.0;1.0;1.0;1.0;2098.0;0.0;2.0;0.0;0.0;2349.0;1.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;2.0;0.0;0.0;0.92;0.0;0.0;False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;2.0;3.0;2.0;0.0;0.0;2.0;1.0;2.0;0.0;2349.0;2098.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;0.0;1.0;2.0;0.0;0.0;3.0;1.0;0.0
0.0;0.0;1.0;1.0;3.0;1.0;1.0;1.0;1048.0;0.0;2.0;0.0;0.0;2302.0;1.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;2.0;0.0;0.0;0.85;0.0;0.0;False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;2.0;3.0;2.0;0.0;0.0;2.0;1.0;2.0;0.0;2302.0;1048.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;0.0;1.0;2.0;0.0;0.0;3.0;1.0;0.0
0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1605.0;0.0;0.0;0.0;0.0;11623.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.64;0.0;0.0;False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;11623.0;1605.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;2.0;1.0;0.0
0.0;0.0;4.0;1.0;1.0;3.25;0.0;4.0;2352.0;0.0;0.0;0.0;0.0;14782.0;1.0;0.0;1.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.5;1.0;0.0;0.0;0.0;0.0;0.0;0.76;0.0;0.0;False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;0.0;4.0;5.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;14782.0;2352.0;0.0;0.0;0.0;5.0;0.0;0.0;4.0;0.0;3.25;4.0;4.0;0.0;5.0;1.0;0.0
0.0;0.0;3.25;1.0;1.0;2.5;0.0;4.0;1895.0;0.0;0.0;0.0;0.0;14735.0;1.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;2.1213203435596424;1.0;0.0;0.0;0.0;0.0;0.0;0.69;0.0;0.0;False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.5;0.0;2.0;3.0;0.0;0.0;0.0;0.0;0.333333333;0.0;0.0;14735.0;1895.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;0.0;1.75;2.0;2.0;0.0;3.0;1.0;0.0
0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1890.0;0.0;2.0;0.0;0.0;2302.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;2.0;0.0;0.0;0.57;0.0;0.0;False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;2.0;0.0;0.0;2.0;1.0;2.0;0.0;2302.0;1890.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0
