;WMC_CK_25%;Bugged;WMC_CK_max;WMC;WMC_CK_75%;NOCh;NPM;NMI;WMC_CK_50%;WMC_CK_min;NORM;NMIR;WMC_CK_std;WMC_CK_count;WMC_CK_mean;DIT
count;1886.0;1886;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0
unique;;2;;;;;;;;;;;;;;
top;;False;;;;;;;;;;;;;;
freq;;1732;;;;;;;;;;;;;;
mean;1.1393160127253446;;2.379639448568399;44.770943796394484;1.5086161187698834;0.0010604453870625664;16.51325556733828;0.0;1.2449628844114529;1.0747613997879109;0.0;0.0;0.5156391624950165;3.7539766702014847;1.4111366471242253;0.7576882290562036
std;1.219608194174602;;4.065000915483045;71.69567666073647;1.6106282425954626;0.03255584151216876;37.62951581938697;0.0;1.3230916185141697;1.1786020228158554;0.0;0.0;1.3197814590231294;6.156312460937701;1.4365198503259127;0.4285955849356805
min;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;1.0;;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
50%;1.0;;1.0;7.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
75%;1.0;;3.0;53.75;2.0;0.0;7.0;0.0;1.0;1.0;0.0;0.0;0.5529557865452134;5.0;1.6666666666666667;1.0
max;18.0;;109.0;281.0;18.0;1.0;142.0;0.0;18.0;18.0;0.0;0.0;32.89866596417281;102.0;18.0;1.0
