;BuggedMethods;NCSSForThisFile;NestedIfElseDepth;BooleanExpressionComplexity;CyclomaticComplexity;NCSSForThisMethod;NPathComplexity;ThrowsCount;NCSSForThisClass;NumberOfProtectedMethod;NumberOfPackageMethod;NumberOfPrivateMethod;ExecutableStatementCount;MethodLength;FileLength;AnonymousInnerClassLength;NumberOfMethods_Checkstyle;NumberOfPublicMethods_Checkstyle;ClassFanOutComplexity;ClassDataAbstractionCoupling;NestedForDepth;IsConstructor;CBO;WMC_CK;RFC;LOCMethod_CK;Returns;NumberOfVariables;NumberOfParameters_CK;NumberOfLoops;NumberOfComparisons;NumberOfTryCatch;NumberOfParenthesizedExps;NumberOfStringLiterals;NumberOfNumbers;NumberOfAssignments;NumberOfMathOperations;MaxNumberOfNestedBlocks;NumberOfAnonymousClasses;NumberOfInnerClasses;NumberOfLambdas;NumberOfUniqueWords;NumberOfModifiers;NumberOfLogStatements;Ci;Di;Fin;Fout;IOVars;MCLC;NBD;NCOMP;NOP;NVAR;Si;VG;Complexity;Statements;Maximum Depth;Calls
count;360;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0
unique;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;False;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;356;;;;;;;;;;;;;;;;;;;;;354;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;;7.4527777777777775;0.019444444444444445;0.075;1.075;5.258333333333334;0.9444444444444444;0.2861111111111111;6.85;0.03888888888888889;0.027777777777777776;0.041666666666666664;4.305555555555555;8.830555555555556;21.805555555555557;0.0;0.8888888888888888;0.7805555555555556;0.5388888888888889;0.22777777777777777;0.0;;1.2527777777777778;1.163888888888889;2.888888888888889;6.216666666666667;0.3333333333333333;1.2944444444444445;0.23055555555555557;0.03611111111111111;0.225;0.002777777777777778;0.03333333333333333;4.383333333333334;0.6166666666666667;1.6416666666666666;0.19722222222222222;0.12777777777777777;0.0;0.0;0.0;12.841666666666667;1.5055555555555555;0.0;0.5449074074055555;0.46435185185;0.10555555555555556;0.05277777777777778;0.49166666666666664;0.425;0.5027777777777778;0.26944444444444443;0.20555555555555555;0.15555555555555556;0.08055555555555556;0.6611111111111111;0.6305555555555555;3.772222222222222;1.1611111111111112;3.6944444444444446
std;;29.624257790602503;0.1382731631845895;0.5559879159425092;1.2298232316306665;7.064165720444651;5.2732807569097515;0.4706735396585357;28.24721249836126;0.4644928811564301;0.24598289125812262;0.31831292744272704;6.697687808088763;14.164047220825877;88.92261962530988;0.0;3.9267511770624632;3.470393637971925;1.9229268803214616;0.9635736383940054;0.0;;1.55134699510659;1.268133710378007;3.6373011649819023;7.477189080527588;0.7756747444594291;2.9246759641902598;0.47752813182276677;0.18682626815386427;0.8189520445383124;0.052704627669473;0.26703781043245;9.844628641646265;1.5843067427594957;3.441826537818915;0.9247407559960046;0.466487563455402;0.0;0.0;0.0;12.475041936169681;2.4000864010033114;0.0;0.8501489978424831;0.6949952937529416;0.5970887796907254;0.2792609736909238;0.7197473248989289;1.7440507710276112;0.8176282403009734;1.3629231743123618;0.411495299251519;0.6273454906134301;0.4913283934597575;1.321195916801357;0.6999082488394907;6.847995909225111;1.0484841897973614;6.283104835647347
min;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;1.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;12.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;0.0
75%;;0.0;0.0;0.0;1.0;7.0;1.0;1.0;0.0;0.0;0.0;0.0;6.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;2.0;1.0;5.0;9.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;5.25;1.0;2.0;0.0;0.0;0.0;0.0;0.0;17.25;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;6.0;2.0;6.0
