Length;blame_merge_blame_getDifficulty_mean;blame_merge_blame_getVolume_min;blame_merge_blame_getLength_max;AnonymousInnerClassLength_min;blamemerge_blamegetVocabulary_count;blamemerge_blamegetLength_mean;MethodLength_count;AnonymousInnerClassLength_75%;blame_merge_blame_getDifficulty_std;MethodLength_25%;blamemerge_blamegetVolume_max;blame_merge_blame_getEffort_count;blame_merge_blame_getDifficulty_count;blamemerge_blamegetLength_max;AnonymousInnerClassLength_count;AnonymousInnerClassLength_std;AnonymousInnerClassLength_max;NumberOfDistinctOperands;blame_merge_blame_getEffort_std;MethodLength_75%;FileLength_std;FileLength_count;NumberOfDistinctOperators;blamemerge_blamegetDifficulty_std;blame_merge_blame_getLength_count;blame_merge_blame_getVocabulary_min;blamemerge_blamegetLength_count;blamemerge_blamegetVolume_mean;FileLength_75%;MethodLength_min;TotalNumberOfOperands;blamemerge_blamegetEffort_mean;Vocabulary;TotalNumberOfOperators;FileLength_max;blame_merge_blame_getVocabulary_mean;blamemerge_blamegetVocabulary_max;Volume;blame_merge_blame_getLength_mean;AnonymousInnerClassLength_25%;blame_merge_blame_getDifficulty_min;Effort;blame_merge_blame_getVolume_std;MethodLength_std;AnonymousInnerClassLength_50%;FileLength_25%;blamemerge_blamegetVocabulary_mean;blame_merge_blame_getVolume_mean;blamemerge_blamegetVolume_std;blame_merge_blame_getVocabulary_max;blamemerge_blamegetVolume_count;Difficulty;MethodLength_mean;blame_merge_blame_getVocabulary_count;blamemerge_blamegetDifficulty_max;blame_merge_blame_getLength_min;blamemerge_blamegetEffort_max;blamemerge_blamegetLength_std;blame_merge_blame_getDifficulty_max;blame_merge_blame_getEffort_min;MethodLength_50%;blame_merge_blame_getEffort_mean;blame_merge_blame_getVocabulary_std;blamemerge_blamegetDifficulty_count;blamemerge_blamegetEffort_count;AnonymousInnerClassLength_mean;MethodLength_max;blame_merge_blame_getLength_std;blame_merge_blame_getEffort_max;blame_merge_blame_getVolume_max;FileLength_mean;Bugged;FileLength_50%;blamemerge_blamegetEffort_std;blamemerge_blamegetVocabulary_std;blamemerge_blamegetDifficulty_mean;FileLength_min;blame_merge_blame_getVolume_count
348.0;0.0;0.0;0.0;0.0;383.0;0.9086161879895559;17.0;0.0;0.0;3.0;58.81033751683406;0.0;0.0;17.0;17.0;0.0;0.0;37.0;0.0;3.0;27.40652562910563;17.0;16.0;0.8354778997584469;0.0;0.0;383.0;2.1948912702566363;0.0;3.0;100.0;4.848983321095633;53.0;248.0;113.0;0.0;11.0;1993.316318187993;0.0;0.0;0.0;43098.73120406472;0.0;4.123105625617661;0.0;0.0;0.8381201044386423;0.0;6.245821137572112;0.0;383.0;21.621621621621625;4.0;0.0;4.0;0.0;60.0;2.2615622447453623;0.0;0.0;3.0;0.0;0.0;383.0;383.0;0.0;20.0;0.0;0.0;0.0;6.647058823529411;False;0.0;13.905667035200914;2.032435574009792;0.3080939947780679;0.0;0.0
782.0;0.0;0.0;0.0;0.0;479.0;2.0292275574112737;2.0;0.0;0.0;62.0;70.30835464468075;0.0;0.0;19.0;2.0;0.0;0.0;115.0;0.0;64.0;140.71424945612296;2.0;27.0;0.8901108985949958;0.0;0.0;479.0;6.3048650052162625;149.25;61.0;325.0;14.362677762978134;142.0;457.0;199.0;0.0;14.0;5591.1022474526635;0.0;0.0;0.0;213312.7053104222;0.0;2.8284271247461903;0.0;49.75;1.6680584551148223;0.0;15.139626642890418;0.0;479.0;38.15217391304348;63.0;0.0;4.375;0.0;258.90013469991703;4.451409163887724;0.0;0.0;63.0;0.0;0.0;479.0;479.0;0.0;65.0;0.0;0.0;0.0;99.5;False;99.5;39.46923124280283;3.4966275726066525;0.3963987473903967;0.0;0.0
353.0;0.0;0.0;0.0;0.0;480.0;0.7354166666666667;12.0;0.0;0.0;3.0;36.541209043760986;0.0;0.0;11.0;12.0;0.0;0.0;46.0;0.0;3.0;54.84827557301445;12.0;26.0;0.7702043621543302;0.0;0.0;480.0;1.9696513764182928;0.0;3.0;117.0;4.950733744185926;72.0;236.0;190.0;0.0;10.0;2177.983525509136;0.0;0.0;0.0;72015.49874563905;0.0;4.1660605619770585;0.0;0.0;0.7;0.0;6.335003079586134;0.0;480.0;33.06521739130435;4.583333333333333;0.0;4.0;0.0;109.62362713128296;2.1919371689307185;0.0;0.0;3.0;0.0;0.0;480.0;480.0;0.0;17.0;0.0;0.0;0.0;15.833333333333336;False;0.0;17.04403576733604;2.071176080130817;0.2411458333333333;0.0;0.0
783.0;0.0;0.0;0.0;0.0;526.0;1.488593155893536;0.0;0.0;0.0;0.0;118.02800258378572;0.0;0.0;31.0;0.0;0.0;0.0;83.0;0.0;0.0;0.0;0.0;40.0;1.0213463145546329;0.0;0.0;526.0;4.623592287119566;0.0;0.0;266.0;15.570625306045823;123.0;517.0;0.0;0.0;17.0;5435.988857680625;0.0;0.0;0.0;348427.23762483045;0.0;0.0;0.0;0.0;1.2300380228136882;0.0;14.706334676710535;0.0;526.0;64.09638554216869;0.0;0.0;7.5;0.0;849.8016186032573;4.139342381387782;0.0;0.0;0.0;0.0;0.0;526.0;526.0;0.0;0.0;0.0;0.0;0.0;0.0;True;0.0;67.69504542955194;3.1165198537072585;0.3532477820025349;0.0;0.0
783.0;0.0;0.0;0.0;0.0;526.0;1.488593155893536;4.0;0.0;0.0;3.75;118.02800258378572;0.0;0.0;31.0;4.0;0.0;0.0;83.0;0.0;20.25;128.0;4.0;40.0;1.0213463145546329;0.0;0.0;526.0;4.623592287119566;64.0;3.0;266.0;15.570625306045823;123.0;517.0;256.0;0.0;17.0;5435.988857680625;0.0;0.0;0.0;348427.23762483045;0.0;10.598742063723098;0.0;0.0;1.2300380228136882;0.0;14.706334676710535;0.0;526.0;64.09638554216869;12.5;0.0;7.5;0.0;849.8016186032573;4.139342381387782;0.0;0.0;11.5;0.0;0.0;526.0;526.0;0.0;24.0;0.0;0.0;0.0;64.0;True;0.0;67.69504542955194;3.1165198537072585;0.3532477820025349;0.0;0.0
783.0;0.0;0.0;0.0;0.0;526.0;1.488593155893536;0.0;0.0;0.0;0.0;118.02800258378572;0.0;0.0;31.0;0.0;0.0;0.0;83.0;0.0;0.0;0.0;0.0;40.0;1.0213463145546329;0.0;0.0;526.0;4.623592287119566;0.0;0.0;266.0;15.570625306045823;123.0;517.0;0.0;0.0;17.0;5435.988857680625;0.0;0.0;0.0;348427.23762483045;0.0;0.0;0.0;0.0;1.2300380228136882;0.0;14.706334676710535;0.0;526.0;64.09638554216869;0.0;0.0;7.5;0.0;849.8016186032573;4.139342381387782;0.0;0.0;0.0;0.0;0.0;526.0;526.0;0.0;0.0;0.0;0.0;0.0;0.0;True;0.0;67.69504542955194;3.1165198537072585;0.3532477820025349;0.0;0.0
783.0;0.0;0.0;0.0;0.0;526.0;1.488593155893536;0.0;0.0;0.0;0.0;118.02800258378572;0.0;0.0;31.0;0.0;0.0;0.0;83.0;0.0;0.0;0.0;0.0;40.0;1.0213463145546329;0.0;0.0;526.0;4.623592287119566;0.0;0.0;266.0;15.570625306045823;123.0;517.0;0.0;0.0;17.0;5435.988857680625;0.0;0.0;0.0;348427.23762483045;0.0;0.0;0.0;0.0;1.2300380228136882;0.0;14.706334676710535;0.0;526.0;64.09638554216869;0.0;0.0;7.5;0.0;849.8016186032573;4.139342381387782;0.0;0.0;0.0;0.0;0.0;526.0;526.0;0.0;0.0;0.0;0.0;0.0;0.0;True;0.0;67.69504542955194;3.1165198537072585;0.3532477820025349;0.0;0.0
783.0;0.0;0.0;0.0;0.0;526.0;1.488593155893536;0.0;0.0;0.0;0.0;118.02800258378572;0.0;0.0;31.0;0.0;0.0;0.0;83.0;0.0;0.0;0.0;0.0;40.0;1.0213463145546329;0.0;0.0;526.0;4.623592287119566;0.0;0.0;266.0;15.570625306045823;123.0;517.0;0.0;0.0;17.0;5435.988857680625;0.0;0.0;0.0;348427.23762483045;0.0;0.0;0.0;0.0;1.2300380228136882;0.0;14.706334676710535;0.0;526.0;64.09638554216869;0.0;0.0;7.5;0.0;849.8016186032573;4.139342381387782;0.0;0.0;0.0;0.0;0.0;526.0;526.0;0.0;0.0;0.0;0.0;0.0;0.0;True;0.0;67.69504542955194;3.1165198537072585;0.3532477820025349;0.0;0.0
279.0;0.0;0.0;0.0;0.0;402.0;0.6940298507462687;3.0;0.0;0.0;13.5;75.2842125151443;0.0;0.0;21.0;3.0;0.0;0.0;35.0;0.0;25.0;76.2102355330306;3.0;26.0;0.6488346440050471;0.0;0.0;402.0;1.8226906134515848;66.0;3.0;95.0;4.68197684037968;61.0;184.0;132.0;0.0;12.0;1654.6757171800455;0.0;0.0;0.0;58386.41459192446;0.0;12.741009902410926;0.0;0.0;0.6293532338308457;0.0;7.187992288628508;0.0;402.0;35.285714285714285;17.666666666666668;0.0;5.0;0.0;376.4210625757215;2.3043738481471308;0.0;0.0;24.0;0.0;0.0;402.0;402.0;0.0;26.0;0.0;0.0;0.0;44.0;False;0.0;26.347997099742077;1.969704227224262;0.16650082918739634;0.0;0.0
949.0;0.0;0.0;0.0;0.0;501.0;1.894211576846308;7.0;0.0;0.0;3.0;416.9212098075347;0.0;0.0;102.0;7.0;0.0;0.0;86.0;0.0;25.0;85.04200642707612;7.0;41.0;1.2606059408369004;0.0;0.0;501.0;6.2979851750857145;0.0;3.0;263.0;30.052336646185516;127.0;686.0;225.0;0.0;24.0;6632.261767746786;0.0;0.0;0.0;415788.8293117069;0.0;14.374249462808399;0.0;0.0;1.3972055888223551;0.0;26.712071115846395;0.0;501.0;62.69186046511628;15.428571428571427;0.0;8.5;0.0;2918.448468652743;6.66474203755447;0.0;0.0;10.0;0.0;0.0;501.0;501.0;0.0;39.0;0.0;0.0;0.0;32.142857142857146;False;0.0;184.0272759086492;3.5535773771860804;0.4108936888128505;0.0;0.0
