;Length;blame_merge_blame_getDifficulty_mean;blame_merge_blame_getVolume_min;blame_merge_blame_getLength_max;AnonymousInnerClassLength_min;blamemerge_blamegetVocabulary_count;blamemerge_blamegetLength_mean;MethodLength_count;AnonymousInnerClassLength_75%;blame_merge_blame_getDifficulty_std;MethodLength_25%;blamemerge_blamegetVolume_max;blame_merge_blame_getEffort_count;blame_merge_blame_getDifficulty_count;blamemerge_blamegetLength_max;AnonymousInnerClassLength_count;AnonymousInnerClassLength_std;AnonymousInnerClassLength_max;NumberOfDistinctOperands;blame_merge_blame_getEffort_std;MethodLength_75%;FileLength_std;FileLength_count;NumberOfDistinctOperators;blamemerge_blamegetDifficulty_std;blame_merge_blame_getLength_count;blame_merge_blame_getVocabulary_min;blamemerge_blamegetLength_count;blamemerge_blamegetVolume_mean;FileLength_75%;MethodLength_min;TotalNumberOfOperands;blamemerge_blamegetEffort_mean;Vocabulary;TotalNumberOfOperators;FileLength_max;blame_merge_blame_getVocabulary_mean;blamemerge_blamegetVocabulary_max;Volume;blame_merge_blame_getLength_mean;AnonymousInnerClassLength_25%;blame_merge_blame_getDifficulty_min;Effort;blame_merge_blame_getVolume_std;MethodLength_std;AnonymousInnerClassLength_50%;FileLength_25%;blamemerge_blamegetVocabulary_mean;blame_merge_blame_getVolume_mean;blamemerge_blamegetVolume_std;blame_merge_blame_getVocabulary_max;blamemerge_blamegetVolume_count;Difficulty;MethodLength_mean;blame_merge_blame_getVocabulary_count;blamemerge_blamegetDifficulty_max;blame_merge_blame_getLength_min;blamemerge_blamegetEffort_max;blamemerge_blamegetLength_std;blame_merge_blame_getDifficulty_max;blame_merge_blame_getEffort_min;MethodLength_50%;blame_merge_blame_getEffort_mean;blame_merge_blame_getVocabulary_std;blamemerge_blamegetDifficulty_count;blamemerge_blamegetEffort_count;AnonymousInnerClassLength_mean;MethodLength_max;blame_merge_blame_getLength_std;blame_merge_blame_getEffort_max;blame_merge_blame_getVolume_max;FileLength_mean;Bugged;FileLength_50%;blamemerge_blamegetEffort_std;blamemerge_blamegetVocabulary_std;blamemerge_blamegetDifficulty_mean;FileLength_min;blame_merge_blame_getVolume_count
count;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145;145.0;145.0;145.0;145.0;145.0;145.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123;;;;;;
mean;1032.441379310345;0.0;0.0;0.0;0.0;546.7655172413793;3.194807099462713;7.23448275862069;0.0;0.0;7.936206896551724;107.58577027508505;0.0;0.0;26.593103448275862;7.23448275862069;0.05063099354354586;0.19310344827586207;97.06206896551724;0.0;13.910344827586206;67.31719969431123;7.23448275862069;25.958620689655174;1.181102668737605;0.0;0.0;546.7655172413793;10.708722481678864;22.489655172413794;5.751724137931035;380.15862068965515;38.081352289120034;123.02068965517242;652.2827586206896;200.17241379310346;0.0;16.02758620689655;7774.695766852428;0.0;0.0;0.0;593452.3348256664;0.0;8.226611934783532;0.0;7.113793103448276;2.4615845043409226;0.0;18.93697197855862;0.0;546.7655172413793;47.62976676776455;12.270945332131621;0.0;6.208671319102354;0.0;706.3997462122488;5.139301681402432;0.0;0.0;10.227586206896552;0.0;0.0;546.7655172413793;546.7655172413793;0.014137931034482758;28.0;0.0;0.0;0.0;31.691021354617046;;9.310344827586206;85.18984227576696;3.7801053356795884;0.7013792414888158;4.917241379310345;0.0
std;1471.7789494532253;0.0;0.0;0.0;0.0;466.5520843526402;3.0724891162670427;7.256236583013195;0.0;0.0;8.808227850910944;65.02141319778303;0.0;0.0;13.504884173947001;7.256236583013195;0.44626764563194843;1.8344562914001172;136.80187522521064;0.0;12.494536162180891;46.68095805338941;7.256236583013195;9.09049859748946;0.45019066626895077;0.0;0.0;466.5520843526402;11.834284474098347;32.01240639306444;7.853282253019681;596.5185998294845;49.58953550092551;141.124131183504;889.9170740349933;178.20023634584908;0.0;5.1409910787736885;12815.088027044649;0.0;0.0;0.0;1513375.5302437001;0.0;16.558279775812007;0.0;17.751882219021386;2.029495721697934;0.0;11.367074627207755;0.0;466.5520843526402;31.255082988854618;11.290938315221037;0.0;2.6602922452019713;0.0;718.8344250400949;2.601345210184074;0.0;0.0;10.050217540201007;0.0;0.0;466.5520843526402;466.5520843526402;0.11999760534009137;44.98688080367925;0.0;0.0;0.0;19.62143715330409;;21.383410379628444;69.22748637560106;1.470504429751312;0.5703456364604162;16.80050571670879;0.0
min;34.0;0.0;0.0;0.0;0.0;51.0;0.14423076923076922;0.0;0.0;0.0;0.0;25.266194298518442;0.0;0.0;9.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;7.0;0.20597444809526888;0.0;0.0;51.0;0.3428596165982691;0.0;0.0;17.0;0.6343910359947599;21.0;15.0;0.0;0.0;8.0;153.80110650593844;0.0;0.0;0.0;639.2358489153066;0.0;0.0;0.0;0.0;0.1346153846153846;0.0;2.497270488121268;0.0;51.0;4.15625;0.0;0.0;1.5;0.0;42.0;0.9395038975884944;0.0;0.0;0.0;0.0;0.0;51.0;51.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;4.775457123578667;0.8643458464472372;0.0379746835443038;0.0;0.0
25%;266.0;0.0;0.0;0.0;0.0;254.0;1.488593155893536;2.0;0.0;0.0;3.0;65.72920075410866;0.0;0.0;18.0;2.0;0.0;0.0;43.0;0.0;3.0;40.00833246545857;2.0;20.0;0.8354778997584469;0.0;0.0;254.0;3.628011975058768;0.0;3.0;95.0;9.782479631057182;66.0;168.0;77.0;0.0;13.0;1654.6757171800455;0.0;0.0;0.0;43098.73120406472;0.0;0.40824829046386296;0.0;0.0;1.2300380228136882;0.0;11.478266746930835;0.0;254.0;23.447368421052627;4.5;0.0;4.0;0.0;258.30422752491825;3.4845270384350577;0.0;0.0;3.0;0.0;0.0;254.0;254.0;0.0;9.0;0.0;0.0;0.0;19.764705882352946;;0.0;33.70300260225859;2.7620260177970297;0.2972972972972973;0.0;0.0
50%;564.0;0.0;0.0;0.0;0.0;447.0;2.149394347240915;5.0;0.0;0.0;5.0;87.56916320732489;0.0;0.0;24.0;5.0;0.0;0.0;64.0;0.0;11.0;73.32348418708249;5.0;24.0;1.1284912436706924;0.0;0.0;447.0;6.601552362068998;0.0;3.0;215.0;19.42668517247136;88.0;377.0;159.0;0.0;15.0;3709.151017309166;0.0;0.0;0.0;146796.49891958403;0.0;5.5;0.0;0.0;1.8745387453874536;0.0;15.404723334990322;0.0;447.0;40.90243902439025;10.0;0.0;5.5;0.0;523.0349784870904;4.3821055565854845;0.0;0.0;7.0;0.0;0.0;447.0;447.0;0.0;20.0;0.0;0.0;0.0;28.33333333333333;;0.0;64.32212611181819;3.50489462066028;0.503808864265928;0.0;0.0
75%;1181.0;0.0;0.0;0.0;0.0;663.0;3.6017915309446256;10.0;0.0;0.0;9.0;138.24238017775622;0.0;0.0;32.0;10.0;0.0;0.0;102.0;0.0;20.5;88.85975216910948;10.0;33.0;1.4997625220739708;0.0;0.0;663.0;11.353848277295404;51.0;6.0;441.0;43.267451542292264;128.0;753.0;260.0;0.0;19.0;8293.416387186604;0.0;0.0;0.0;534598.539415851;0.0;10.982631619011519;0.0;0.0;2.835740072202165;0.0;26.712071115846395;0.0;663.0;64.09638554216869;16.0;0.0;7.5;0.0;849.8016186032573;6.617344478232621;0.0;0.0;13.0;0.0;0.0;663.0;663.0;0.0;37.0;0.0;0.0;0.0;44.0;;0.0;133.2994357818671;4.656312369380396;0.9189958592132504;0.0;0.0
