;MethodLength_75%;blame_merge_blame_getEffort_min;blamemerge_blamegetVolume_std;blame_merge_blame_getVolume_std;blame_merge_blame_getDifficulty_min;blame_merge_blame_getDifficulty_std;AnonymousInnerClassLength_50%;AnonymousInnerClassLength_25%;FileLength_max;blame_merge_blame_getVocabulary_min;blame_merge_blame_getEffort_std;blamemerge_blamegetLength_std;blame_merge_blame_getVolume_max;blamemerge_blamegetVocabulary_std;MethodLength_min;blamemerge_blamegetVolume_mean;blamemerge_blamegetVocabulary_max;FileLength_count;blame_merge_blame_getDifficulty_max;blame_merge_blame_getEffort_max;blame_merge_blame_getVolume_min;blame_merge_blame_getVocabulary_max;Volume;blame_merge_blame_getLength_std;Effort;MethodLength_25%;blamemerge_blamegetLength_max;AnonymousInnerClassLength_75%;AnonymousInnerClassLength_min;Difficulty;blamemerge_blamegetLength_mean;MethodLength_50%;MethodLength_max;FileLength_25%;blamemerge_blamegetDifficulty_count;FileLength_min;AnonymousInnerClassLength_max;blame_merge_blame_getLength_min;FileLength_75%;Bugged;blame_merge_blame_getLength_mean;Vocabulary;blame_merge_blame_getVocabulary_mean;MethodLength_mean;blamemerge_blamegetVocabulary_mean;TotalNumberOfOperands;blamemerge_blamegetDifficulty_mean;MethodLength_std;blame_merge_blame_getVocabulary_std;blame_merge_blame_getEffort_count;FileLength_50%;blamemerge_blamegetEffort_max;blamemerge_blamegetLength_count;blame_merge_blame_getVolume_mean;NumberOfDistinctOperands;blamemerge_blamegetVolume_max;blamemerge_blamegetDifficulty_max;blame_merge_blame_getLength_count;blame_merge_blame_getLength_max;NumberOfDistinctOperators;TotalNumberOfOperators;blamemerge_blamegetVocabulary_count;blamemerge_blamegetDifficulty_std;AnonymousInnerClassLength_mean;MethodLength_count;AnonymousInnerClassLength_count;blamemerge_blamegetVolume_count;blamemerge_blamegetEffort_mean;blame_merge_blame_getDifficulty_mean;blame_merge_blame_getVocabulary_count;FileLength_mean;AnonymousInnerClassLength_std;Length;FileLength_std;blamemerge_blamegetEffort_std;blamemerge_blamegetEffort_count;blame_merge_blame_getDifficulty_count;blame_merge_blame_getEffort_mean;blame_merge_blame_getVolume_count
count;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;742;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;6.645617070357555;0.0;24.35115942169736;0.0;0.0;0.0;0.15916955017301038;0.07929642445213379;73.47635524798154;0.0;0.0;6.462416427326679;0.0;4.6088300278714724;3.2618223760092273;18.991891064953677;16.904267589388695;4.499423298731257;0.0;0.0;0.0;0.0;8233.727453695137;0.0;773960.4064239216;3.956170703575548;28.8558246828143;0.4740484429065744;0.04498269896193772;49.6901857856516;5.844019548079182;4.884083044982699;11.668973471741637;5.649077277970012;1527.1695501730103;4.468281430219147;1.4994232987312572;0.0;11.767012687427913;;0.0;123.199538638985;0.0;5.816215740764946;4.610753855859564;438.25951557093424;1.2441081005188528;3.4081762443481063;0.0;0.0;6.8298731257208765;700.4721434077264;1527.1695501730103;0.0;98.41522491349481;116.39465317480762;6.309723577716657;0.0;0.0;24.784313725490197;654.3448673587081;1527.1695501730103;1.4978129310252035;0.39965776684782345;4.499423298731257;4.499423298731257;1527.1695501730103;62.319652926235044;0.0;0.0;15.072928317730556;0.6166704297802131;1092.6043829296425;24.97264340537806;112.75067210549697;1527.1695501730103;0.0;0.0;0.0
std;8.128873448338815;0.0;9.065151511144567;0.0;0.0;0.0;1.1115780566696287;0.7562181574377005;103.95758964548504;0.0;0.0;1.9945332869833368;0.0;0.9434001770587458;4.613661598933719;9.327197174984192;3.401034724007114;6.515813922742697;0.0;0.0;0.0;0.0;11128.268760071198;0.0;1658894.3518313055;4.924424150897219;11.828010072258957;2.0183671887208923;0.6990968065768272;36.50847858853494;2.537232731331443;6.189287133939733;15.775195960923307;15.442554252020123;3723.3102747334233;15.245560355510058;4.605793834886624;0.0;20.02033281000005;;0.0;81.32484458151288;0.0;6.449122882540479;1.825680213883771;510.84213472996663;0.5394070624405027;5.731573431367231;0.0;0.0;16.66545764119158;566.181195592927;3723.3102747334233;0.0;73.88429971813807;55.14215594742562;2.086321838980746;0.0;0.0;8.958762767872797;806.6872495419213;3723.3102747334233;0.4225035764940281;1.4071986451464982;6.515813922742697;6.515813922742697;3723.3102747334233;41.80607480017319;0.0;0.0;16.81018593380111;1.962025984894611;1316.345278777564;28.25058798002028;70.98934626552385;3723.3102747334233;0.0;0.0;0.0
min;0.0;0.0;3.481112238344364;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2399971984279563;0.0;0.9644422654439664;0.0;0.4858883518945854;6.0;0.0;0.0;0.0;0.0;0.0;18.094737505048094;0.0;18.094737505048094;0.0;7.0;0.0;0.0;1.0;0.17307692307692307;0.0;0.0;0.0;24.0;0.0;0.0;0.0;0.0;;0.0;6.0;0.0;0.0;0.1346153846153846;4.0;0.019230769230769232;0.0;0.0;0.0;0.0;18.094737505048094;24.0;0.0;4.0;18.094737505048094;1.0;0.0;0.0;2.0;3.0;24.0;0.13777746649199518;0.0;0.0;0.0;24.0;0.4858883518945854;0.0;0.0;0.0;0.0;7.0;0.0;3.481112238344364;24.0;0.0;0.0;0.0
25%;0.0;0.0;18.91652135010519;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.294866955985251;0.0;4.134159168204741;0.0;12.366585790282034;15.0;1.0;0.0;0.0;0.0;0.0;1789.3076377220227;0.0;44930.066952851215;0.0;21.0;0.0;0.0;24.42857142857143;3.964322400065219;0.0;0.0;0.0;150.0;0.0;0.0;0.0;0.0;;0.0;66.0;0.0;0.0;3.3776923076923078;124.5;0.9202285370988423;0.0;0.0;0.0;0.0;360.6821100363463;150.0;0.0;45.0;80.0;4.8;0.0;0.0;19.0;165.0;150.0;1.2860323908614542;0.0;1.0;1.0;150.0;34.724544000503535;0.0;0.0;0.0;0.0;293.5;0.0;67.76243606616353;150.0;0.0;0.0;0.0
50%;5.0;0.0;23.04161922155309;0.0;0.0;0.0;0.0;0.0;49.0;0.0;0.0;6.184245949118104;0.0;4.676715420996612;3.0;18.801002847567528;17.0;2.0;0.0;0.0;0.0;0.0;4291.347603117207;0.0;167036.98929108726;3.0;27.0;0.0;0.0;39.4;5.90188679245283;3.0;7.0;0.0;430.0;0.0;0.0;0.0;0.0;;0.0;106.0;0.0;4.666666666666667;4.709409594095941;265.0;1.2398316651501364;0.6666666666666667;0.0;0.0;0.0;586.149651353549;430.0;0.0;82.0;109.39293667703852;6.222222222222222;0.0;0.0;24.0;377.0;430.0;1.5052377051475796;0.0;2.0;2.0;430.0;54.99882294587597;0.0;0.0;13.666666666666664;0.0;642.0;24.494897427831784;98.64663823381521;430.0;0.0;0.0;0.0
75%;9.375;0.0;28.837826419194826;0.0;0.0;0.0;0.0;0.0;104.0;0.0;0.0;7.468039646494664;0.0;5.170652181197465;3.0;23.753973429517142;19.0;6.0;0.0;0.0;0.0;0.0;8650.062301421218;0.0;561880.844644121;5.0;36.0;0.0;0.0;64.3186123608809;7.209887099452101;6.5;16.0;0.0;1155.0;0.0;0.0;0.0;24.5;;0.0;155.0;0.0;8.186813186813186;5.618353716714372;494.5;1.5350845622659175;4.820303980079723;0.0;0.0;0.0;884.6198038774048;1155.0;0.0;126.0;148.0;7.5;0.0;0.0;30.0;702.0;1155.0;1.7264486923972062;0.0;6.0;6.0;1155.0;78.61901764969589;0.0;0.0;24.25;0.0;1205.0;44.477985363800585;143.2329917751826;1155.0;0.0;0.0;0.0
