;MethodLength;Fout;MaxNumberOfNestedBlocks;VG;NumberOfMethods_Checkstyle;NCSSForThisClass;BuggedMethods;ClassDataAbstractionCoupling;NBD;NCOMP;MCLC;CyclomaticComplexity;ExecutableStatementCount;NumberOfPublicMethods_Checkstyle;NOP;NCSSForThisFile;NestedTryDepth;NumberOfModifiers;FileLength;NPathComplexity;IOVars;ThrowsCount;NestedForDepth;NumberOfPackageMethod;NVAR;NumberOfPrivateMethod;BooleanExpressionComplexity;WMC_CK;NumberOfMathOperations;Di;NestedIfElseDepth;Ci;NCSSForThisMethod;AnonymousInnerClassLength;Fin;Si;ClassFanOutComplexity;Maximum Depth;NumberOfProtectedMethod
count;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0
unique;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;2446;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;3.2974264705882352;0.01948529411764706;0.10625;0.3356617647058823;0.3801470588235294;3.228676470588235;;0.08125;0.2595588235294118;0.15183823529411763;0.24595588235294116;0.6209558823529412;1.9378676470588236;0.31176470588235294;0.08713235294117647;3.3316176470588235;0.0;2.9091911764705882;6.968014705882353;1.0794117647058823;0.2400735294117647;0.13713235294117648;0.0058823529411764705;0.013970588235294118;0.09411764705882353;0.008455882352941176;0.03161764705882353;0.6275735294117647;0.07058823529411765;0.22929621848749995;0.01948529411764706;0.2767226890757353;2.4683823529411764;0.03419117647058824;0.026470588235294117;0.04742647058823529;0.3003676470588235;0.6345588235294117;0.046691176470588236
std;7.350230285271496;0.2169426119465181;0.46277134620374955;1.1545743184688428;2.788546950268075;27.485779955379346;;0.6739637953919191;0.7687227769680274;0.8551363124346054;1.3405788733215707;1.2666261717773;5.112435697535873;2.12393006008076;0.3312517258883147;29.945131145549286;0.0;48.12035362846626;58.502189260907315;13.092659944142541;0.6046990154910362;0.344050271496778;0.12707401467334256;0.20428394452712784;0.5630219395661754;0.13120304334322377;0.2246986313636997;1.2992390317134914;0.5631986679185668;0.5871269561769115;0.16041422957549506;1.1133585532418684;5.683101192335201;0.6027460210893429;0.3452478402828255;0.935366571724222;2.268125037365508;1.1017975667574456;1.4749433785939707
min;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;3.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0
max;105.0;6.0;7.0;15.0;85.0;650.0;;16.0;10.0;16.0;26.0;13.0;71.0;44.0;5.0;666.0;0.0;1028.0;1178.0;512.0;6.0;1.0;4.0;7.0;10.0;4.0;4.0;15.0;12.0;6.0;3.0;36.285714286;76.0;16.0;9.0;36.0;77.0;7.0;76.0
