;Bugged;NumberOfCoupledClasses;NumberOfInheritedMethods;NumberPublicMethods;NumberOfAncestors;NumberUserDefinedAttributes;NumberOfPrivateAttributes;NumberOfSubclasses;NumberOfMethods_Mood;NumberOfPolymorphicMethods;NumberOfAttributes;NumberOfProtectedAttributes;Cohesion;NumberOfPublicAttributes
count;1886;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0
unique;2;;;;;;;;;;;;;
top;False;;;;;;;;;;;;;
freq;1732;;;;;;;;;;;;;
mean;;0.39766702014846234;0.0;18.308589607635206;0.009544008483563097;0.07953340402969247;1.5593849416755037;0.02014846235418876;19.812831389183458;16.191410392364794;2.824496288441145;0.28525980911983034;0.2173158899095188;0.9798515376458112
std;;1.1240674849920096;0.0;37.26100073154731;0.09725191616366455;0.32902878494730087;2.7856061335581694;0.19710687083607942;37.82290808996799;37.07782267254996;4.232807840309263;1.0485635551936694;0.28748064858905925;2.523022308553607
min;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
50%;;0.0;0.0;3.0;0.0;0.0;0.0;0.0;4.0;3.0;1.0;0.0;0.1129032258064516;0.0
75%;;0.0;0.0;12.0;0.0;0.0;2.0;0.0;14.0;7.75;4.75;0.0;0.25;0.0
max;;5.0;0.0;142.0;1.0;5.0;25.0;2.0;142.0;142.0;53.0;13.0;1.0;51.0
