;Ci;NumberOfParenthesizedExps;Di;NVAR;MethodLength;WMC_CK;Fin;NumberOfLogStatements;LOCMethod_CK;IsConstructor;IOVars;NBD;NumberOfStringLiterals;MaxNumberOfNestedBlocks;AnonymousInnerClassLength;VG;RFC;NumberOfAnonymousClasses;NumberOfNumbers;NumberOfMathOperations;NCOMP;NumberOfInnerClasses;NumberOfLambdas;NumberOfModifiers;NumberOfParameters_CK;CBO;NOP;FileLength;NumberOfVariables;NumberOfTryCatch;NumberOfUniqueWords;BuggedMethods;NumberOfComparisons;Si;Maximum Depth;Returns;NumberOfAssignments;Fout;NumberOfLoops;MCLC
count;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0
unique;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;
top;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;
freq;;;;;;;;;;7193;;;;;;;;;;;;;;;;;;;;;;7333;;;;;;;;
mean;0.44608868910348565;0.036213210362132105;0.39753314861793027;0.1326461413264614;6.467516614675167;0.8167638681676387;0.0450291604502916;0.009765360097653601;4.953343279533433;;0.40770378407703783;0.4565305845653058;1.9319137393191375;0.1571951715719517;0.11162349111623492;0.5166146751661468;2.277905872779059;0.004475790044757901;0.3115421131154211;0.1687237216872372;0.2190424521904245;0.00040689000406890003;0.0008137800081378001;1.565577105655771;0.1943577919435779;1.0987386409873865;0.15244812152448123;12.98643699986437;0.8369727383697274;0.0085446900854469;6.905465889054659;;0.10145124101451242;0.0485555404855554;0.9184863691848637;0.32266377322663775;1.2545775125457752;0.024955920249559203;0.0400108504001085;0.3516885935168859
std;1.3137320519725084;0.321783526929375;0.6492271718802752;0.6099055807153931;15.172553674357193;1.221831168125951;0.447918305377504;0.1394202076912287;9.75572476929842;;0.6574464347590434;0.8051750392187728;8.29665502661453;0.5545171378093454;1.4679213134482942;1.0961144999749635;5.359480659959117;0.06675598673216748;2.456551025664799;1.1891230057563094;2.273226606026862;0.020168778250389246;0.02851715393162806;17.171470709599436;0.43865163660267065;2.1185086697738185;0.37463100156196216;82.16223929118432;2.2573218791593197;0.09494957147767974;10.819569833855375;;0.561965302834574;1.1471151574931282;1.2414662748739889;0.5404654857909339;3.54111495406064;0.21895032434288297;0.24794237312789202;2.5218274331159125
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;3.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;1.0;0.0;1.0;0.0;5.0;1.0;0.0;0.0;4.0;;1.0;1.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;9.0;;0.0;0.0;2.0;1.0;1.0;0.0;0.0;0.0
max;81.0;11.0;6.0;11.0;399.0;31.0;29.0;4.0;189.0;;6.0;9.0;210.0;9.0;50.0;18.0;53.0;1.0;107.0;50.0;146.0;1.0;1.0;1025.0;6.0;21.0;5.0;4510.0;28.0;2.0;85.0;;22.0;81.0;8.0;9.0;59.0;9.0;6.0;146.0
