accuracy_score;precision_score;recall_score;f1_score;roc_auc_score;pr_auc_score;type;data_type
0.980546792849632;0.07142857142857142;0.04;0.05128205128205128;0.6812466702184337;0.03533583196209085;one;checkstyle
0.980546792849632;0.0;0.0;0.0;0.6960042621204049;0.03098500118718829;one;ck
0.9784437434279706;0.0;0.0;0.0;0.6730527437400107;0.028293160456942683;one;mood
0.9810725552050473;0.07692307692307693;0.04;0.052631578947368425;0.8432818327117741;0.057400117100891976;one;halstead
0.9800210304942166;0.0;0.0;0.0;0.5090143846563665;0.015410467267026669;one;jasome_mood
0.9794952681388013;0.0625;0.04;0.048780487804878044;0.7716995205114544;0.03834197076755584;one;jasome_ck
0.980546792849632;0.07142857142857142;0.04;0.05128205128205128;0.7093979754928077;0.03230637098300757;one;jasome_lk
0.9789695057833859;0.0;0.0;0.0;0.6606606286627599;0.018478376375074924;one;jasome_files
0.980546792849632;0.07142857142857142;0.04;0.05128205128205128;0.7934576451784763;0.08876975116205144;one;jasome_methods
0.9868559411146162;0.0;0.0;0.0;0.5959509856153437;0.021651752612558115;one;process_files
0.9837013669821241;0.125;0.04;0.06060606060606061;0.7004794885455514;0.03199550910384921;one;issues_files
0.9800210304942166;0.06666666666666667;0.04;0.05;0.7417048481619606;0.03980799794809435;all;bugged
0.9800210304942166;0.06666666666666667;0.04;0.05;0.7417048481619606;0.03980799794809435;all;bugged_methods
0.9810725552050473;0.07692307692307693;0.04;0.052631578947368425;0.7200639318060735;0.03629385457338237;all;checkstyle
0.9800210304942166;0.06666666666666667;0.04;0.05;0.7417048481619606;0.03980799794809435;all;source_monitor
0.9800210304942166;0.06666666666666667;0.04;0.05;0.7417048481619606;0.03980799794809435;all;source_monitor_files
0.980546792849632;0.07142857142857142;0.04;0.05128205128205128;0.7325519445924348;0.0365775757794891;all;ck
0.980546792849632;0.07142857142857142;0.04;0.05128205128205128;0.7275013319126264;0.036334082484800016;all;mood
0.980546792849632;0.07142857142857142;0.04;0.05128205128205128;0.7075759190197124;0.036453354003453065;all;halstead
0.980546792849632;0.07142857142857142;0.04;0.05128205128205128;0.7326904635055941;0.03884401135605542;all;jasome_mood
0.9800210304942166;0.06666666666666667;0.04;0.05;0.7269898774640384;0.03870721983098018;all;jasome_ck
0.9800210304942166;0.06666666666666667;0.04;0.05;0.737655833777304;0.03733789220451459;all;jasome_lk
0.9800210304942166;0.06666666666666667;0.04;0.05;0.710047948854555;0.03581085298399209;all;jasome_files
0.9810725552050473;0.07692307692307693;0.04;0.052631578947368425;0.7152583910495471;0.03495988758623422;all;jasome_methods
0.9800210304942166;0.06666666666666667;0.04;0.05;0.7440490143846563;0.04059646224806758;all;process_files
0.9784437434279706;0.05555555555555555;0.04;0.046511627906976744;0.7919126265316996;0.04744893838958048;all;issues_files
