;FileLength;IOVars;NumberOfMethods_Checkstyle;Maximum Depth;NVAR;NCSSForThisFile;BooleanExpressionComplexity;NestedTryDepth;NestedForDepth;NCOMP;ClassFanOutComplexity;NBD;NumberOfProtectedMethod;Di;ThrowsCount;NumberOfMathOperations;NOP;NPathComplexity;NumberOfPrivateMethod;NCSSForThisClass;WMC_CK;Ci;AnonymousInnerClassLength;Si;MaxNumberOfNestedBlocks;BuggedMethods;NumberOfModifiers;NestedIfElseDepth;VG;CyclomaticComplexity;MethodLength;ExecutableStatementCount;NumberOfPublicMethods_Checkstyle;NCSSForThisMethod;MCLC;ClassDataAbstractionCoupling;Fin;NumberOfPackageMethod;Fout
count;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;2150;;;;;;;;;;;;;
mean;16.122207022343822;0.5699954400364797;0.6073871409028728;0.8394892840857273;0.2421340629274966;4.92704058367533;0.07432740538075695;0.0013679890560875513;0.002279981760145919;0.4240766073871409;0.29913360693114455;0.6315549475604195;0.047879616963064295;0.5321770568677611;0.2188782489740082;0.1326949384404925;0.22891016871865025;7.875512995896033;0.052895576835385316;4.127222982216142;1.039671682626539;0.8969741384911081;0.009575923392612859;0.364797081623347;0.20109439124487005;;1.68718650250798;0.047879616963064295;0.7861377108983129;1.046967624259006;5.14546283629731;2.3638850889192886;0.47697218422252624;3.253077975376197;0.6662106703146374;0.11171910624715002;0.12448700410396717;0.03739170086639307;0.10852713178294573
std;113.537774769045;0.7279313066529524;4.283570736193067;1.2036100329064379;0.8956573078141159;30.661460319882245;0.35153770195457024;0.03696945889366507;0.05646441329379777;2.037245433822906;1.4966154568435215;0.8812463173885934;0.4870459893277956;0.7038630584455827;0.444419185717076;0.7848897398371052;0.4277589151182659;218.51441121428303;0.5274681784980535;22.500785720141092;1.7968886029141078;4.024490224816357;0.2605431104687922;3.9901888306842106;0.596644117729543;;4.962055379184628;0.30504624531156804;1.6889370856258203;1.8159072975447152;11.123653805109276;5.679776668266805;3.3529515741815037;6.650165388278216;2.66736034826485;0.703104695641771;0.6245491249166328;0.9385629935928872;0.5942894850813966
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;;1.0;0.0;0.0;1.0;3.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0
75%;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;;1.0;0.0;1.0;1.0;5.0;2.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0
max;3919.0;4.0;136.0;7.0;11.0;814.0;7.0;1.0;2.0;48.0;18.0;7.0;13.0;4.0;4.0;14.0;3.0;10000.0;13.0;372.0;32.0;121.166666667;8.0;121.0;6.0;;48.0;4.0;32.0;32.0;178.0;126.0;107.0;127.0;55.0;11.0;12.0;42.0;11.0
