;VG_min;blame_merge_blame_getDistinctOperatorsCnt_min;Fin_std;NBD_75%;blame_merge_blame_getDistinctOperandsCnt_std;Ci_max;Di_std;NOP_75%;Si_75%;Ci_75%;Bugged;NBD_std;NOP_min;blame_merge_blame_getDistinctOperatorsCnt_count;Fin_count;MCLC_std;Fout_75%;IOVars_75%;blame_merge_blame_getDifficulty_std;blamemerge_blamegetDifficulty_max;IOVars_mean;VG_75%;Fin_75%;Si_50%;NOP_max;NVAR_max;blamemerge_blamegetDifficulty_mean;Ci_std;NBD_count;NOP_count;Fin_min;NOP_mean;MCLC_25%;VG_std;blame_merge_blame_getDifficulty_max;IOVars_std;Si_std;NCOMP_min;Fin_50%;NOPa;Di_75%;blame_merge_blame_getDistinctOperandsCnt_min;Di_count;blamemerge_blamegetDistinctOperandsCnt_count;Di_mean;Ci_50%;Ci_min;Fout_max;blamemerge_blamegetDistinctOperandsCnt_std;MCLC_count;VG_25%;MCLC_75%;Fout_count;Si_count;IOVars_25%;VG_max;Fout_mean;blamemerge_blamegetDistinctOperandsCnt_mean;blamemerge_blamegetDistinctOperatorsCnt_max;Fout_25%;NumberOfDistinctOperands;NVAR_50%;blame_merge_blame_getDistinctOperatorsCnt_mean;blamemerge_blamegetDifficulty_count;blame_merge_blame_getDistinctOperatorsCnt_max;blamemerge_blamegetDistinctOperatorsCnt_count;blame_merge_blame_getDifficulty_mean;NBD_mean;VG_mean;blamemerge_blamegetDistinctOperatorsCnt_std;blame_merge_blame_getDistinctOperandsCnt_mean;blamemerge_blamegetDistinctOperatorsCnt_mean;Si_min;MCLC_50%;NVAR_75%;Ci_count;NBD_min;Di_min;NCOMP_mean;VG_count;Difficulty;blame_merge_blame_getDistinctOperatorsCnt_std;NOP_std;Fin_mean;IOVars_min;MCLC_mean;Di_max;blame_merge_blame_getDistinctOperandsCnt_max;MCLC_min;NOP_25%;Fin_max;Fout_std;blamemerge_blamegetDistinctOperandsCnt_max;NVAR_25%;Fin_25%;NCOMP_50%;Fout_50%;IOVars_max;NOP_50%;Si_mean;Si_max;blamemerge_blamegetDifficulty_std;NBD_25%;blame_merge_blame_getDifficulty_min;Di_25%;NVAR_std;Ci_mean;IOVars_count;NCOMP_75%;Si_25%;NBD_50%;IOVars_50%;NumberOfDistinctOperators;NBD_max;NVAR_mean;NCOMP_count;VG_50%;Fout_min;NVAR_count;MCLC_max;NVAR_min;ClTCi;blame_merge_blame_getDifficulty_count;Di_50%;blame_merge_blame_getDistinctOperandsCnt_count;ClRCi;NCOMP_max;NCOMP_std;Ci_25%;NCOMP_25%
count;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0
unique;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.7093425605536332;0.0;0.11734634044524973;0.879757785467128;0.0;2.963563464602076;0.28619736220317504;0.653114186851211;0.11764705882352941;1.0495963091107265;;0.24648906164910248;0.2179930795847751;0.0;4.923875432525952;1.0029147218907706;0.08823529411764706;1.0069204152249136;0.0;5.428443543192677;0.8941269645784595;1.1358131487889274;0.07958477508650519;0.03633217993079585;0.9930795847750865;1.231833910034602;0.6653412890881071;0.6168709501659895;4.923875432525952;4.923875432525952;0.010380622837370242;0.5124418355189551;0.5363321799307958;0.5557873505231664;0.0;0.30482552876375024;0.42713988510534195;0.28719723183391005;0.02768166089965398;0.0;0.9597750865043253;0.0;4.923875432525952;458.49134948096884;0.8394019445885931;0.884083044982699;0.5847750865051903;0.39792387543252594;1.7711263438202138;4.923875432525952;0.7491349480968859;1.310553633217993;4.923875432525952;4.923875432525952;0.7396193771626297;2.4048442906574397;0.07240600566910495;1.1001920001558565;7.9342560553633215;0.014705882352941176;81.34256055363322;0.2647058823529412;0.0;458.49134948096884;0.0;458.49134948096884;0.0;0.8027911965265985;1.0606475154952797;1.8511506247416822;0.0;1.3869225140308403;0.006920415224913495;0.7785467128027682;0.4602076124567474;4.923875432525952;0.6262975778546713;0.5243917174740486;0.7225387827604902;4.923875432525952;38.91175693801551;0.0;0.3139206585372067;0.0733016653964603;0.5743944636678201;1.1163310224449279;1.2762399077266435;0.0;0.4463667820069204;0.3304498269896194;0.4117647058823529;0.11370492393727435;8.228373702422145;0.18079584775086505;0.015570934256055362;0.486159169550173;0.03633217993079585;1.3667820069204153;0.4602076124567474;0.16453262824511536;1.9204152249134947;1.0485358369838709;0.6617647058823529;0.0;0.6967704728935986;0.36449172727482343;1.0039345728337083;4.923875432525952;0.8235294117647058;0.014705882352941176;0.7249134948096886;0.856401384083045;24.311418685121108;1.2941176470588236;0.39379223968443755;4.923875432525952;0.8615916955017301;0.006920415224913495;4.923875432525952;3.480968858131488;0.15570934256055363;15.526820728290655;0.0;0.8183391003460208;0.0;1.0558436236262976;2.3460207612456747;0.6764602766810467;0.7461072664359861;0.35121107266435986
std;1.17198901310044;0.0;0.34784602834179684;1.118436227017969;0.0;10.090903787423276;0.46097784899817557;0.9254544627427836;0.5137011669140813;1.2396089440408886;;0.5198070674826769;0.5504620407305801;0.0;12.73478466580527;2.3409203187384;0.32409060804383427;1.1964010835301218;0.0;3.7318039562121776;1.0296936147984577;1.8702317461774203;0.32831932168183364;0.18035951857338464;1.3359169748839785;2.6269616532933813;0.46094178085258275;1.9974684902288578;12.73478466580527;12.73478466580527;0.1764705882352941;0.7401204904533357;2.35028700383261;1.4019299833745718;0.0;0.48635488564837825;2.0302295257765612;1.5424126908454816;0.21472322877371602;0.0;1.1477983308341007;0.0;12.73478466580527;800.1153567619469;0.9758233938159125;1.026331760186965;0.7953270867591008;1.3297331007329738;0.63453695431239;12.73478466580527;1.2089614513099896;3.2998002419647214;12.73478466580527;12.73478466580527;0.9087610960110594;4.676193110524887;0.2154755836833811;0.7806547564946201;2.7435219565140465;0.11023963796102462;77.50114440250917;0.9519716382329886;0.0;800.1153567619469;0.0;800.1153567619469;0.0;0.9735537076827668;1.6219589127909984;0.6454343736070556;0.0;0.8794267193877587;0.0830444820887128;2.5905993177385196;1.1853670721073257;12.73478466580527;0.794163034287567;0.7662086397197844;1.9181198875534742;12.73478466580527;30.261802005441044;0.0;0.4844927037022325;0.26123645014751357;0.8221130443844207;2.81550830243684;1.5352433286117133;0.0;2.3194667469062464;0.6560139562859801;1.35400640077266;0.3343513368482471;2.8570863020985855;0.8528769062443425;0.18214511533702474;1.6878288122843161;0.18035951857338464;1.6213860532162023;0.7541376319071446;0.6498050630676707;10.12717218643271;0.4399436394857194;0.8351542605344768;0.0;0.8603848016643256;0.8382572855993412;1.214918197168684;12.73478466580527;2.2734121442839563;0.11023963796102462;0.9239871009000926;1.0304237556021254;11.679750448951747;1.848422751068236;1.0098955197640893;12.73478466580527;1.390023565722585;0.0830444820887128;12.73478466580527;7.970463122766953;0.8416111359254951;42.72080618189241;0.0;0.9896825437429244;0.0;1.1916622824209266;5.93465514416154;1.727424300949286;0.8881306360262574;1.5646952091876387
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.047619047619047616;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.0;0.0;0.0;0.0;0.0;0.7414535543665464;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15162454873646208;2.0;0.0;5.0;0.0;0.0;21.0;0.0;21.0;0.0;0.0;0.0;0.4364357804719847;0.0;0.09523809523809523;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2182178902359924;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.5;0.0;0.0;0.0;0.0;0.0;0.0;0.32857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;99.0;0.0;0.0;0.0;0.0;1.3145453975501062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5508474576271186;6.0;0.0;31.0;0.0;0.0;99.0;0.0;99.0;0.0;0.0;0.0;1.5620655684217741;0.0;0.7580645161290323;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.555555555555555;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8090904241647111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;5.0;0.75;1.0;0.0;0.0;0.0;0.0;0.5783898305084746;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;183.0;0.75;1.0;0.0;0.0;1.6610828166018357;1.0;1.0;0.0;1.0;1.0;0.25;1.0;0.0;0.8892215568862275;8.0;0.0;61.0;0.0;0.0;183.0;0.0;183.0;0.0;1.0;1.0;1.9419323976842608;0.0;1.2711864406779658;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;33.375;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0799182396159994;1.0;0.0;0.08333333325;0.0;0.8636363636363636;1.0;0.0;0.0;1.0;1.0;24.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;2.0;0.0;0.5;0.0;1.0;0.0;0.0;0.5;0.0
75%;1.0;0.0;0.0;1.0;0.0;2.5;0.5773502691896257;1.0;0.0;2.0;;0.25776963111323353;0.0;0.0;4.0;0.8345229603962802;0.0;2.0;0.0;6.416666666666668;1.6;1.25;0.0;0.0;2.0;1.0;0.9040798611111112;0.6900655593423541;4.0;4.0;0.0;1.0;0.0;0.40824829046386296;0.0;0.5773502691896257;0.0;0.0;0.0;0.0;2.0;0.0;4.0;477.0;1.5;1.5;1.0;0.0;2.019886053265125;4.0;1.0;1.0;4.0;4.0;1.0;2.0;0.0;1.4041297935103243;10.0;0.0;108.0;0.0;0.0;477.0;0.0;477.0;0.0;1.25;1.4166666666666667;2.271342814206992;0.0;1.9132947976878607;0.0;0.0;0.0;4.0;1.0;1.0;0.5;4.0;54.3;0.0;0.6741998624632421;0.0;1.0;1.0;2.0;0.0;0.0;0.5;0.0;0.0;9.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;1.3262386716168388;1.0;0.0;1.0;0.0;1.8125;4.0;0.75;0.0;1.0;1.5;33.0;2.0;0.2272727272727273;4.0;1.0;0.0;4.0;3.0;0.0;11.0;0.0;1.5;0.0;1.857142857;2.0;0.4472135954999579;1.0;0.0
