;Returns_min;RFC_max;NumberOfMathOperations_std;WMC_CK_min;NumberOfAnonymousClasses_std;NumberOfUniqueWords_min;NumberOfModifiers_min;MaxNumberOfNestedBlocks_50%;NumberOfLogStatements_count;LOCMethod_CK_50%;NumberOfParenthesizedExps_50%;CBO_std;NumberOfUniqueWords_50%;NumberOfTryCatch_50%;NumberOfVariables_std;NumberOfComparisons_75%;RFC_mean;RFC_50%;NumberOfAnonymousClasses_75%;NumberOfInnerClasses_75%;NumberOfParameters_CK_max;Returns_std;MaxNumberOfNestedBlocks_25%;Returns_count;NumberOfLogStatements_75%;NumberOfParenthesizedExps_min;NumberOfNumbers_std;NumberOfLambdas_max;NumberOfLogStatements_max;LOCMethod_CK_max;NumberOfComparisons_std;NumberOfModifiers_mean;NumberOfNumbers_25%;LOCMethod_CK_min;NumberOfMathOperations_max;IsConstructor_top;NumberOfAnonymousClasses_25%;NumberOfAssignments_max;NumberOfAssignments_25%;NumberOfVariables_50%;NumberOfNumbers_mean;NumberOfAnonymousClasses_max;CBO_50%;NumberOfAssignments_std;NumberOfLambdas_mean;NumberOfLambdas_50%;NumberOfStringLiterals_50%;Returns_max;NumberOfInnerClasses_min;NumberOfLoops_25%;NumberOfModifiers_50%;NumberOfNumbers_75%;NumberOfLoops_count;NumberOfMathOperations_25%;NumberOfComparisons_min;NumberOfTryCatch_count;WMC_CK_max;Returns_mean;NumberOfParameters_CK_mean;NumberOfComparisons_50%;NumberOfParameters_CK_75%;NumberOfLogStatements_min;IsConstructor_unique;NumberOfInnerClasses_count;NumberOfParameters_CK_min;NumberOfLambdas_std;NumberOfInnerClasses_50%;NumberOfStringLiterals_mean;NumberOfTryCatch_min;NumberOfComparisons_mean;NumberOfLambdas_count;NumberOfLogStatements_std;WMC_CK_mean;NumberOfParenthesizedExps_25%;NumberOfInnerClasses_max;CBO_count;NumberOfAssignments_75%;NumberOfLambdas_min;NumberOfUniqueWords_count;WMC_CK_25%;NumberOfLambdas_25%;LOCMethod_CK_count;NumberOfAnonymousClasses_count;NumberOfUniqueWords_mean;NumberOfTryCatch_75%;NumberOfTryCatch_25%;RFC_std;WMC_CK_50%;NumberOfLogStatements_mean;NumberOfMathOperations_min;CBO_25%;NumberOfTryCatch_std;NumberOfLoops_std;NumberOfAnonymousClasses_mean;NumberOfParenthesizedExps_std;RFC_min;NumberOfParameters_CK_std;NumberOfUniqueWords_75%;LOCMethod_CK_mean;IsConstructor_freq;MaxNumberOfNestedBlocks_mean;MaxNumberOfNestedBlocks_std;NumberOfParenthesizedExps_75%;NumberOfLoops_min;NumberOfVariables_max;NumberOfStringLiterals_min;LOCMethod_CK_75%;NumberOfVariables_25%;RFC_count;NumberOfMathOperations_count;NumberOfModifiers_max;CBO_max;NumberOfStringLiterals_25%;RFC_25%;NumberOfUniqueWords_std;NumberOfNumbers_min;NumberOfInnerClasses_25%;NumberOfVariables_min;NumberOfAssignments_min;NumberOfAssignments_count;CBO_75%;NumberOfAssignments_mean;NumberOfModifiers_25%;NumberOfParameters_CK_50%;NumberOfParenthesizedExps_max;NumberOfLogStatements_50%;NumberOfStringLiterals_max;NumberOfUniqueWords_25%;WMC_CK_std;MaxNumberOfNestedBlocks_max;NumberOfMathOperations_mean;NumberOfLoops_mean;WMC_CK_75%;LOCMethod_CK_25%;NumberOfVariables_count;NumberOfComparisons_25%;NumberOfMathOperations_75%;NumberOfParenthesizedExps_mean;NumberOfModifiers_75%;NumberOfInnerClasses_std;NumberOfInnerClasses_mean;WMC_CK_count;NumberOfStringLiterals_std;Returns_50%;NumberOfComparisons_max;NumberOfAnonymousClasses_50%;NumberOfVariables_mean;NumberOfLambdas_75%;MaxNumberOfNestedBlocks_min;NumberOfStringLiterals_count;NumberOfTryCatch_max;MaxNumberOfNestedBlocks_count;NumberOfParameters_CK_25%;NumberOfLoops_max;NumberOfNumbers_count;Returns_25%;NumberOfModifiers_count;IsConstructor_count;NumberOfLoops_75%;NumberOfLoops_50%;NumberOfStringLiterals_75%;NumberOfMathOperations_50%;NumberOfUniqueWords_max;CBO_mean;NumberOfParameters_CK_count;NumberOfParenthesizedExps_count;NumberOfComparisons_count;Returns_75%;NumberOfAnonymousClasses_min;NumberOfNumbers_50%;Bugged;MaxNumberOfNestedBlocks_75%;NumberOfAssignments_50%;NumberOfModifiers_std;RFC_75%;NumberOfNumbers_max;NumberOfLogStatements_25%;CBO_min;NumberOfVariables_75%;NumberOfTryCatch_mean;LOCMethod_CK_std
count;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1228;;;;;;;;;;
mean;0.13343923749007147;9.865766481334392;0.7740413247966217;1.3383637807783955;0.04547555674710467;8.906274821286736;1.943606036536934;0.5150913423351866;5.254964257347101;10.054011119936458;0.09571088165210484;1.3554148499968453;14.355440826052423;0.06354249404289118;1.7177337590327117;0.37370929308975376;5.155048212029108;4.656076250992851;0.029189833200953138;0.00019857029388403494;1.8474980142970612;0.29980014805033833;0.35643367752184274;5.254964257347101;0.21346306592533756;0.05798252581413821;1.1335256276237606;0.0;0.5401111993645751;21.83796664019063;0.3873271208033463;7.067945184754714;0.9874900714853058;6.326449563145354;2.192216044479746;;0.012112787926926131;6.469420174741859;1.9984114376489277;2.2065131056393965;1.5781009931392587;0.11834789515488484;2.6862589356632247;2.1088625853466385;0.0;0.0;2.3054011119936457;0.8792692613185068;0.0;0.26330420969023033;5.198967434471803;1.8826449563145353;5.254964257347101;0.5599682287529786;0.08419380460683082;5.254964257347101;4.1612390786338365;0.39463695729946735;0.9605934443781855;0.18665607625099284;1.1910246227164416;0.057188244638602066;1.016679904686259;5.254964257347101;0.4344718030182685;0.0;0.0;2.767074778641992;0.03177124702144559;0.3212433248513581;5.254964257347101;0.183577732458345;2.154817269225597;0.0744638602065131;0.0023828435266084196;5.254964257347101;3.8637807783955522;0.0;5.254964257347101;1.534352660841938;0.0;5.254964257347101;5.254964257347101;15.285260809528152;0.12390786338363781;0.043884034948371724;3.032332197524826;1.8399523431294678;0.17692559042785605;0.40587768069896746;2.096108022239873;0.11903566286977517;0.37282706380329145;0.031080384793836693;0.14994161218255667;2.444797458300238;0.592269188809374;18.126290706910247;11.40991867266148;5.057982525814138;0.6187698033560742;0.45082158360961977;0.15428911834789516;0.1953931691818904;5.166004765687053;1.1922160444797458;13.391183478951548;1.6090150913423351;5.254964257347101;5.254964257347101;20.745830023828436;4.71405877680699;1.7182287529785545;3.4763701350278;6.543221954377793;0.7585385226370135;0.0;1.131056393963463;1.437648927720413;5.254964257347101;3.3987291501191423;3.153200422949457;2.7688641779189833;0.8482922954725973;0.420174741858618;0.1199364575059571;6.008737092930898;11.422557585385226;1.1141977982760705;1.3153296266878476;0.9571482027521798;0.46238516626602516;2.460285941223193;7.94241461477363;5.254964257347101;0.12112787926926132;1.1449563145353454;0.14331425608788947;8.78296266878475;0.0007176277917603333;0.0002644436928120721;5.254964257347101;2.0762406958953536;0.35901509134233517;1.079428117553614;0.015488482922954726;2.533173214180561;0.0;0.24861000794281177;5.254964257347101;0.30659253375694995;5.254964257347101;0.6366163621922161;1.0635424940428913;5.254964257347101;0.2402700555996823;5.254964257347101;5.254964257347101;0.5691024622716442;0.35941223193010324;3.3252581413820494;0.7609213661636219;25.035742652899128;2.8342143208558763;5.254964257347101;5.254964257347101;5.254964257347101;0.48907863383637806;0.008737092930897538;1.3133439237490072;;0.7948768864177919;2.7192216044479744;8.491999395720095;6.284352660841938;3.3836378077839555;0.08280381254964257;1.5099285146942016;3.103653693407466;0.10317246319930945;6.3175126510745825
std;0.44362845575783655;11.639057462404429;1.589531052489495;1.596363372481939;0.18121100133568496;11.545546097139365;28.955327085640082;0.8261972882178509;8.67626353138095;13.270777489280254;0.40683434006374686;1.8930553679134354;13.42864289880441;0.2969326502576053;2.814575962342062;0.9278073788639861;6.4926312924242815;6.638136016592708;0.16407173396723485;0.00704574860969427;2.04611377321235;0.4692802338611522;0.7096948935852505;8.67626353138095;0.7032003273206376;0.3224105298744155;2.5256014480012703;0.0;1.5237192971045912;27.547313615597584;0.9105859402505354;50.96430299583285;3.037375219865451;11.051866060793229;3.740115081720327;;0.10550348657246472;9.298767063456282;4.49077147893917;4.212301859731685;3.3940850262132827;0.44343485461530474;3.303605521734229;3.418492947117628;0.0;0.0;5.5031659678465905;1.5307263484995577;0.0;0.8655501088029041;51.95271107576726;3.9892764934774005;8.67626353138095;1.7394863372819975;0.3958001462008974;8.67626353138095;5.509225422795038;0.5665435563418508;1.1028345274305462;0.6047873544499396;1.3384994381082622;0.4597317652874607;0.5877997303960992;8.67626353138095;0.9124400469226158;0.0;0.0;5.764778766881533;0.24044399530884783;0.7150060315470118;8.67626353138095;0.5294250192931618;2.182968238703015;0.34940502814481234;0.04877555968017801;8.67626353138095;5.778701671443817;0.0;8.67626353138095;1.739110280774402;0.0;8.67626353138095;8.67626353138095;13.158522415794678;0.38546770603307073;0.25707463217832366;4.256660175962066;2.0612636771778163;0.5792990297285252;1.6067218958260605;2.8982473637777457;0.3110428494074895;0.7300404175138578;0.13872404041084344;0.43505017736964813;5.513310488842855;0.7876386197934501;15.755558228305768;13.421109064804531;8.560398304869299;0.8073345913623379;0.6003926916417334;0.529789710479381;0.8073259952610277;7.853300471906322;4.1656368993008845;15.909620709186877;3.7968431137114065;8.67626353138095;8.67626353138095;134.1633577786249;4.920598568263059;4.661492725271344;5.867067727020679;8.168858860744109;2.8634248161888824;0.0;3.5740381314669367;4.238878222562224;8.67626353138095;3.736085788148761;4.939242088300969;31.51374853869459;1.1291849658716016;1.0468848336725496;0.5567118966429155;11.793025069747364;11.912195303602628;1.9274518303696038;1.5338818183273866;1.997797780622678;0.9940321570704621;2.703706208737309;11.75721795890526;8.67626353138095;0.45475145503851705;2.3728677103003633;0.4361555107637223;76.75679403728215;0.016252338398075356;0.007248721957990131;8.67626353138095;5.099901249392829;0.5803658039424298;2.330085458056825;0.11776932595515668;4.163463871646064;0.0;0.6679019826569781;8.67626353138095;0.7729813866719878;8.67626353138095;0.9994044274570621;1.8537369554232561;8.67626353138095;0.5069613238973357;8.67626353138095;8.67626353138095;1.2033796095678464;0.9746859447124773;7.0502853616944305;1.987248165488218;22.243188907321453;3.1614387338559187;8.67626353138095;8.67626353138095;8.67626353138095;0.665727742428652;0.10127914790854621;3.385491796997384;;1.0145853883573326;4.972699301620213;63.24015425880822;7.714793963817071;6.908423404934332;0.4866502439021923;2.7339102794695815;4.8589278450770195;0.3107365729672066;9.776457120845569
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;1.0;3.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.9772727272727273;0.0;2.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;5.303030303030303;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.75;0.0;1.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;1.0;2.75;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;7.0;0.5;1.0;1.0;1.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;6.0;0.0;1.0;0.0;5.0;1.0;0.0;2.0;5.0;0.0;0.5773502691896257;11.0;0.0;0.0;0.0;3.0;2.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;1.0;0.0;3.0;1.0;;0.0;3.0;0.0;0.0;0.0;0.0;1.5;0.5345224838248488;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;2.0;2.0;0.0;0.6666666666666666;0.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;0.5;0.0;0.0;2.0;0.0;1.5;0.0;0.0;2.0;1.0;0.0;2.0;1.0;0.0;2.0;2.0;13.0;0.0;0.0;0.9759000729485332;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.3535533905932738;15.0;7.2;2.0;0.3333333333333333;0.0;0.0;0.0;2.0;0.0;8.0;0.0;2.0;2.0;1.0;3.0;0.0;1.0;3.0472470011002204;0.0;0.0;0.0;0.0;2.0;2.0;1.2;1.0;0.5;0.0;0.0;2.0;8.0;0.0;1.0;0.037037037037037035;0.0;1.75;3.5;2.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;2.0;0.0;2.0;2.0;0.0;0.0;0.5;0.0;20.0;2.0;2.0;2.0;2.0;0.0;0.0;0.0;;0.25;1.0;0.0;3.25;0.0;0.0;0.0;1.0;0.0;1.5024489812224808
75%;0.0;16.0;1.0;1.0;0.0;11.0;1.0;1.0;6.0;13.0;0.0;2.138089935299395;20.0;0.0;2.7653101072913233;0.0;8.0;6.0;0.0;0.0;3.0;0.5477225575051662;0.5;6.0;0.0;0.0;1.1547005383792517;0.0;0.0;32.5;0.5;1.4248120300751879;0.0;5.0;3.0;;0.0;10.0;2.0;2.5;1.5277777777777777;0.0;4.0;3.1691730396895395;0.0;0.0;2.0;1.0;0.0;0.0;1.0;2.0;6.0;0.0;0.0;6.0;5.0;0.7142857142857143;1.5;0.0;2.0;0.0;1.0;6.0;1.0;0.0;0.0;2.95;0.0;0.3636363636363637;6.0;0.0;3.0;0.0;0.0;6.0;5.5;0.0;6.0;1.75;0.0;6.0;6.0;22.0;0.0;0.0;4.946939896518137;2.0;0.0;0.0;3.0;0.0;0.5773502691896257;0.0;0.0;2.0;1.0;27.0;16.225;6.0;1.0;0.8105791932892126;0.0;0.0;8.0;0.0;20.0;1.25;6.0;6.0;2.0;8.0;1.0;4.5;10.83011935973369;0.0;0.0;0.0;1.0;6.0;5.0;4.3;1.0;1.5;0.0;0.0;7.0;15.0;1.4684834952727703;2.0;1.0;0.5;3.25;9.0;6.0;0.0;1.0;0.0;1.25;0.0;0.0;6.0;2.1213203435596424;1.0;1.0;0.0;3.5;0.0;0.0;6.0;0.0;6.0;1.0;2.0;6.0;0.25;6.0;6.0;1.0;0.0;3.5;0.5;39.0;4.0;6.0;6.0;6.0;1.0;0.0;1.0;;1.25;3.0;0.5163977794943222;10.0;4.0;0.0;2.0;4.5;0.0;9.848011607288457
