;NMIR;NORM;WMC_CK_std;WMC_CK_75%;WMC_CK_count;WMC_CK_mean;WMC_CK_25%;WMC_CK_max;NPM;WMC_CK_min;Bugged;NOCh;WMC_CK_50%;NMI;WMC;DIT
count;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867;867.0;867.0;867.0;867.0;867.0
unique;;;;;;;;;;;2;;;;;
top;;;;;;;;;;;False;;;;;
freq;;;;;;;;;;;742;;;;;
mean;0.0;0.0;0.5274991532667268;1.349769319492503;4.440599769319492;1.2568585480510959;0.9838523644752019;2.2191464821222606;5.906574394463668;0.9215686274509803;;0.02883506343713956;1.0893886966551327;0.0;12.005767012687429;0.8281430219146482
std;0.0;0.0;1.1110103151887314;1.4924734007803404;6.458223438863176;1.2244614349840972;0.9119896358849112;3.2402566987662063;9.535119994494714;0.8533771158898961;;0.19895548091991166;1.1093880176397752;0.0;16.68028981522168;0.3774738420885152
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;;0.0;1.0;0.0;2.0;1.0
50%;0.0;0.0;0.0;1.0;2.0;1.0;1.0;1.0;2.0;1.0;;0.0;1.0;0.0;6.0;1.0
75%;0.0;0.0;0.7071067811865476;2.0;6.0;1.6638418079096047;1.0;3.0;6.0;1.0;;0.0;1.0;0.0;14.0;1.0
max;0.0;0.0;15.155856953666461;26.0;59.0;17.8;12.0;39.0;42.0;12.0;;2.0;16.0;0.0;82.0;1.0
