MHF;MIF;AHF;Bugged;Aa;AIF
1.0;0.0;1.0;False;30.0;0.0
1.0;0.0;1.0;False;1.0;0.0
1.0;0.0;0.0;False;8.0;0.0
0.666666667;0.0;0.0;False;3.0;0.0
1.0;0.0;0.0;False;1.0;0.0
0.28571428600000004;0.0;0.0;False;12.0;0.0
0.0;0.0;0.0;False;0.0;0.0
0.666666667;0.0;0.0;False;2.0;0.0
0.0;0.0;0.0;False;0.0;0.0
1.0;0.0;0.0;False;5.0;0.0
0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0
1.0;0.0;0.0;False;0.0;0.0
0.692307692;0.0;0.0;False;7.0;0.0
1.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0
1.0;0.0;0.0;False;3.0;0.0
1.0;0.0;0.0;False;4.0;0.0
0.0;0.0;0.0;False;0.0;0.0
1.0;0.0;0.0;False;1.0;0.0
1.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0
1.0;0.0;0.0;False;0.0;0.0
0.875;0.0;0.0;True;1.0;0.0
0.5555555560000001;0.0;0.0;False;3.0;0.0
0.0;0.0;0.0;False;0.0;0.0
1.0;0.0;0.0;False;0.0;0.0
1.0;0.0;0.0;False;0.0;0.0
1.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0
0.444444444;0.0;0.0;False;4.0;0.0
1.0;0.0;0.0;False;4.0;0.0
0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;1.0;False;1.0;0.0
0.0;0.0;0.0;False;0.0;0.0
1.0;0.0;0.0;False;6.0;0.0
0.95;0.0;0.0;False;17.0;0.0
