;WMC_CK_max;NumberOfParameters_CK_25%;MaxNumberOfNestedBlocks_max;IsConstructor_freq;NumberOfModifiers_max;NumberOfParenthesizedExps_count;NumberOfParenthesizedExps_25%;WMC_CK_std;NumberOfParameters_CK_std;NumberOfAnonymousClasses_min;NumberOfParameters_CK_min;CBO_50%;NumberOfAnonymousClasses_max;NumberOfLogStatements_max;Returns_std;NumberOfInnerClasses_max;CBO_min;NumberOfNumbers_count;NumberOfLogStatements_count;NumberOfTryCatch_std;MaxNumberOfNestedBlocks_min;LOCMethod_CK_50%;NumberOfMathOperations_max;NumberOfParenthesizedExps_std;NumberOfNumbers_max;NumberOfTryCatch_25%;CBO_count;NumberOfParenthesizedExps_min;NumberOfLoops_mean;NumberOfAssignments_std;NumberOfAssignments_25%;NumberOfStringLiterals_max;MaxNumberOfNestedBlocks_count;NumberOfAnonymousClasses_50%;NumberOfTryCatch_min;WMC_CK_count;NumberOfLoops_50%;NumberOfAnonymousClasses_75%;NumberOfStringLiterals_50%;WMC_CK_75%;NumberOfAnonymousClasses_mean;NumberOfAssignments_50%;NumberOfVariables_mean;NumberOfStringLiterals_mean;NumberOfVariables_max;NumberOfMathOperations_50%;NumberOfUniqueWords_mean;NumberOfTryCatch_75%;NumberOfLambdas_75%;NumberOfMathOperations_count;NumberOfParameters_CK_75%;NumberOfParenthesizedExps_50%;LOCMethod_CK_mean;RFC_50%;NumberOfAssignments_75%;NumberOfLogStatements_75%;NumberOfLoops_75%;NumberOfAssignments_min;NumberOfMathOperations_min;NumberOfMathOperations_std;NumberOfModifiers_25%;NumberOfModifiers_75%;NumberOfLogStatements_mean;NumberOfVariables_50%;LOCMethod_CK_25%;IsConstructor_unique;NumberOfStringLiterals_std;NumberOfParameters_CK_50%;RFC_25%;NumberOfVariables_75%;NumberOfUniqueWords_min;Returns_max;NumberOfUniqueWords_75%;NumberOfParenthesizedExps_75%;NumberOfVariables_count;RFC_count;NumberOfStringLiterals_count;NumberOfParameters_CK_max;NumberOfComparisons_max;NumberOfLogStatements_25%;NumberOfModifiers_std;NumberOfVariables_25%;NumberOfComparisons_mean;MaxNumberOfNestedBlocks_50%;NumberOfNumbers_75%;NumberOfModifiers_min;CBO_75%;NumberOfComparisons_75%;CBO_std;RFC_mean;NumberOfParameters_CK_mean;NumberOfInnerClasses_75%;NumberOfLambdas_50%;Returns_mean;IsConstructor_top;WMC_CK_50%;LOCMethod_CK_max;NumberOfInnerClasses_min;NumberOfLambdas_min;NumberOfStringLiterals_75%;NumberOfParameters_CK_count;NumberOfLoops_max;NumberOfNumbers_25%;NumberOfStringLiterals_min;MaxNumberOfNestedBlocks_mean;CBO_25%;NumberOfLambdas_count;NumberOfAssignments_mean;NumberOfMathOperations_mean;NumberOfParenthesizedExps_mean;RFC_75%;CBO_max;NumberOfInnerClasses_std;Returns_75%;NumberOfNumbers_50%;RFC_std;NumberOfUniqueWords_50%;NumberOfAnonymousClasses_std;NumberOfLogStatements_50%;NumberOfUniqueWords_count;NumberOfTryCatch_50%;NumberOfLoops_min;WMC_CK_25%;RFC_min;NumberOfStringLiterals_25%;WMC_CK_min;NumberOfUniqueWords_25%;IsConstructor_count;NumberOfNumbers_min;NumberOfInnerClasses_25%;NumberOfMathOperations_25%;Returns_25%;LOCMethod_CK_75%;NumberOfModifiers_50%;LOCMethod_CK_std;NumberOfLoops_std;NumberOfInnerClasses_mean;NumberOfParenthesizedExps_max;NumberOfLambdas_25%;NumberOfUniqueWords_max;RFC_max;NumberOfComparisons_count;NumberOfModifiers_mean;NumberOfVariables_std;NumberOfModifiers_count;Returns_min;Bugged;NumberOfComparisons_min;NumberOfLogStatements_min;NumberOfMathOperations_75%;MaxNumberOfNestedBlocks_75%;MaxNumberOfNestedBlocks_std;Returns_count;NumberOfTryCatch_max;NumberOfAnonymousClasses_25%;NumberOfUniqueWords_std;WMC_CK_mean;CBO_mean;NumberOfLambdas_std;NumberOfVariables_min;MaxNumberOfNestedBlocks_25%;NumberOfNumbers_std;LOCMethod_CK_min;NumberOfAssignments_count;NumberOfInnerClasses_50%;NumberOfInnerClasses_count;NumberOfNumbers_mean;NumberOfLoops_count;NumberOfLambdas_mean;NumberOfTryCatch_mean;NumberOfAssignments_max;NumberOfAnonymousClasses_count;Returns_50%;NumberOfComparisons_50%;NumberOfTryCatch_count;NumberOfLambdas_max;NumberOfLogStatements_std;NumberOfComparisons_25%;LOCMethod_CK_count;NumberOfComparisons_std;NumberOfLoops_25%
count;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1808;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1732;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;2.379639448568399;0.5986214209968187;0.6691410392364793;3.6208907741251326;359.36903499469776;3.7539766702014847;0.03260869565217391;0.5156391624950165;0.3119469578256751;0.003711558854718982;0.49628844114528103;1.4342523860021208;0.08589607635206786;0.16861081654294804;0.25424072050636337;0.0;0.9331919406150583;3.7539766702014847;3.7539766702014847;0.06966229154356596;0.12725344644750794;4.5874867444326615;0.6362672322375398;0.08198230316916093;1.7486744432661718;0.036717921527041356;3.7539766702014847;0.024920466595970307;0.07672120229146542;0.7874070256666051;0.5506362672322376;3.0259809119830328;3.7539766702014847;0.008748674443266172;0.02916224814422057;3.7539766702014847;0.04798515376458112;0.017629904559915165;0.7439024390243902;1.5086161187698834;0.01934264185374946;0.7775715800636267;0.7671558555781316;1.0835071445835194;1.886002120890774;0.09437963944856839;9.783166525545989;0.07794273594909862;0.04970837751855779;3.7539766702014847;0.8936903499469777;0.04480381760339343;5.315820021879595;1.817338282078473;1.169406150583245;0.05156415694591728;0.08324496288441145;0.3679745493107105;0.048250265111346766;0.21253994065072912;38.26033934252386;216.98502120890774;0.05081898561488087;0.5975609756097561;3.890774125132556;0.9581124072110286;1.085921732015393;0.7242841993637328;1.3421261930010604;0.9135737009544008;6.638388123011665;0.7942735949098622;11.072110286320255;0.06879639448568399;3.7539766702014847;3.7539766702014847;3.7539766702014847;1.2290562036055144;0.6967126193001061;0.02399257688229056;205.93261022277275;0.4314687168610817;0.20528969262674765;0.2346235418875928;0.5662778366914104;2.0196182396606575;1.7506627783669142;0.2188494167550371;0.6094171960925002;2.0966627255703676;0.7723061286316689;0.0;0.032873806998939555;0.39161232492051573;;1.2449628844114529;10.028101802757158;0.0;0.021739130434782608;1.2769088016967127;3.7539766702014847;0.2518557794273595;0.23502120890774125;0.32237539766702017;0.29825232076979247;1.1941940615058324;3.7539766702014847;0.976198396685814;0.16667848135238963;0.06787413092369254;2.54559915164369;2.4390243902439024;0.0;0.4693796394485684;0.34411452810180276;1.3375663010981664;9.213944856839873;0.03132750102794586;0.030222693531283137;3.7539766702014847;0.04904559915164369;0.02545068928950159;1.1393160127253446;0.940084835630965;0.5169671261930011;1.0747613997879109;7.924708377518558;3.7539766702014847;0.1511134676564157;0.0;0.06800106044538706;0.2624602332979852;5.955991516436904;75.02518557794274;2.6288577075731094;0.08868034375145133;0.0;0.24655355249204666;0.025583244962884413;14.910392364793212;4.2645811240721105;3.7539766702014847;136.82380318400482;0.6297356378152441;3.7539766702014847;0.16914103923647933;;0.07794273594909862;0.018027571580063628;0.17696182396606575;0.37645811240721105;0.2327387076657358;3.7539766702014847;0.1919406150583245;0.005567338282078473;3.268158466712859;1.4111366471242253;1.5232318141021106;0.06161409006562057;0.2985153764581124;0.16556203605514316;0.6022171335810259;3.3048780487804876;3.7539766702014847;0.0;3.7539766702014847;0.5195605444576002;3.7539766702014847;0.053253865649662696;0.07048706645685505;2.3637327677624604;3.7539766702014847;0.37089077412513255;0.11823966065747614;3.7539766702014847;0.19830328738069988;0.057083323944544295;0.09544008483563096;3.7539766702014847;0.23102135097630727;0.03525980911983033
std;4.065000915483045;0.758560837464644;1.1078557223676702;5.984238223083186;4760.863230864568;6.156312460937701;0.21529027375172077;1.3197814590231294;0.5140035374461096;0.06899820890312473;0.7588466814767908;1.5898129439481132;0.42224914743525027;0.8777780485790759;0.5076420087988767;0.0;1.3570881185640613;6.156312460937701;6.156312460937701;0.2171757137587797;0.4717253015622591;6.883438960979636;2.4042931673674577;0.3703134970028565;8.670535235257386;0.3106379027041297;6.156312460937701;0.2083517965477207;0.24802140523586716;1.767155553075281;2.0085578494872984;10.991912313387774;6.156312460937701;0.09385820015130536;0.30503822115784895;6.156312460937701;0.23421786269737851;0.14922666375084712;2.729862840682357;1.6106282425954626;0.11574257994220935;2.1690420428077783;1.6507116404140119;3.5520520024364397;4.3311523730423165;0.5583703191942704;8.270794766565134;0.3737347658884275;0.31719287625474196;6.156312460937701;0.8909908397283169;0.2695551669273813;7.434531356471177;3.06012456518849;2.521551639572044;0.362205069439021;0.3086339722402054;1.9111047345746706;0.3689609943045905;0.7819338284574229;755.1525871415101;3283.654445590271;0.32005766062150925;1.5749276907299627;6.360568367484272;0.526078974701677;4.620975514361074;0.7919112909049058;2.5337044281890826;1.9105892980748302;7.167099184197475;1.5669291386775022;9.853729800537202;0.3929154901444857;6.156312460937701;6.156312460937701;6.156312460937701;1.3452042176897927;2.224355134784997;0.27005926837072586;2809.163553228145;1.3941103533329715;0.5929387044959472;0.5575282142304478;1.6519966651454727;33.384316860885065;1.8503260407407998;0.6639574317769635;1.0159483995700833;3.1151920445766783;0.7779862214100731;0.0;0.22444960558260899;0.7051848138781306;;1.3230916185141697;18.76366360652158;0.0;0.1662644591381635;4.387486539208013;6.156312460937701;0.710425771680178;1.032403224834215;2.05133013174372;0.5528248131195221;1.4408890427120633;6.156312460937701;2.2524944695650526;0.642905956016363;0.3034999787770633;3.8722780958289844;2.840264474262024;0.0;0.805870099706611;1.2306151383379753;2.5752057390252654;8.30500865941944;0.1611470697323762;0.2929564895303396;6.156312460937701;0.3287410936784903;0.18821846175216772;1.219608194174602;2.2352646976725525;2.327919239390756;1.1786020228158554;7.460254850526564;6.156312460937701;0.8961848585231241;0.0;0.4191796738128733;0.6325424192976103;8.259817638717072;1508.9013836910854;6.61355361620389;0.26056097304241077;0.0;1.15125409605453;0.17647161978388007;15.167742126805773;6.989456782248676;6.156312460937701;1889.1243001972016;1.5775026876432794;6.156312460937701;0.5894942347270464;;0.4795789586928785;0.24089473202718603;0.8450594414298764;0.6797427896257615;0.4216276125223673;6.156312460937701;0.5737482036974876;0.07397950446703033;5.499604874376895;1.4365198503259127;1.5872178607069187;0.36035845726640736;1.2928975217008511;0.49271389099314317;3.0229260254624277;6.0664619241281965;6.156312460937701;0.0;6.156312460937701;1.694213859175966;6.156312460937701;0.2581750818093436;0.3342872665717366;5.004426651685828;6.156312460937701;0.7017643182402169;0.537768528037066;6.156312460937701;1.2104396839133995;0.29828953656583224;0.49977224772019163;6.156312460937701;0.6789944650925687;0.20215053703914698
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;4.402272727272727;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;5.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;3.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;1.0;0.0;0.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.4368131868131868;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
50%;1.0;0.5;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;3.0;1.0;0.0;1.0;0.0;0.0;5.0;0.0;9.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.8;1.0;0.0;0.0;0.0;;1.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;7.0;1.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;10.0;1.0;1.0;1.0;0.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
75%;3.0;1.0;1.0;4.0;1.0;5.0;0.0;0.5529557865452134;0.5773502691896257;0.0;1.0;2.0;0.0;0.0;0.5;0.0;1.0;5.0;5.0;0.0;0.0;6.0;0.0;0.0;1.0;0.0;5.0;0.0;0.0;0.9748813836632875;0.25;2.0;5.0;0.0;0.0;5.0;0.0;0.0;0.0;2.0;0.0;1.0;1.0;0.8;2.0;0.0;14.0;0.0;0.0;5.0;1.0;0.0;7.475;3.0;1.5;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.5;4.0;1.0;0.7071067811865476;1.0;2.0;1.0;9.0;1.0;15.0;0.0;5.0;5.0;5.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.5;0.0;0.894427190999916;3.363235294117647;1.0;0.0;0.0;0.6666666666666666;;1.0;12.0;0.0;0.0;1.0;5.0;0.0;0.0;0.0;0.5;1.5;5.0;1.25;0.0;0.0;4.0;3.0;0.0;1.0;0.0;1.7489301323521014;14.0;0.0;0.0;5.0;0.0;0.0;1.0;1.0;0.0;1.0;10.75;5.0;0.0;0.0;0.0;0.25;8.25;1.0;2.851988044788829;0.0;0.0;0.0;0.0;20.0;6.0;5.0;1.0;0.7006650521436116;5.0;0.0;;0.0;0.0;0.0;0.75;0.4472135954999581;5.0;0.0;0.0;4.902389186580431;1.6666666666666667;2.0;0.0;0.0;0.0;0.4409585518440984;3.0;5.0;0.0;5.0;0.37215909090909094;5.0;0.0;0.0;3.0;5.0;1.0;0.0;5.0;0.0;0.0;0.0;5.0;0.0;0.0
