blame_merge_blame_getDistinctOperandsCnt_min;NVAR_50%;blame_merge_blame_getDistinctOperandsCnt_mean;Si_min;NOP_min;blame_merge_blame_getDistinctOperandsCnt_count;ClTCi;Di_50%;Fin_50%;blamemerge_blamegetDistinctOperatorsCnt_mean;Si_75%;MCLC_min;Di_count;Di_min;NOP_max;Difficulty;VG_50%;blamemerge_blamegetDistinctOperandsCnt_count;Fin_25%;Si_max;Fout_mean;blame_merge_blame_getDistinctOperatorsCnt_count;blame_merge_blame_getDistinctOperatorsCnt_mean;VG_min;Di_max;Bugged;Ci_75%;blame_merge_blame_getDifficulty_mean;blamemerge_blamegetDifficulty_mean;blamemerge_blamegetDistinctOperatorsCnt_count;blame_merge_blame_getDistinctOperatorsCnt_min;Fout_75%;VG_mean;blamemerge_blamegetDistinctOperandsCnt_std;Fin_std;IOVars_75%;blame_merge_blame_getDistinctOperandsCnt_std;MCLC_25%;Di_25%;NBD_50%;blame_merge_blame_getDistinctOperatorsCnt_std;NOP_std;Fin_min;NVAR_max;MCLC_std;NCOMP_min;NOP_50%;NVAR_std;blamemerge_blamegetDifficulty_count;NCOMP_75%;IOVars_mean;NVAR_25%;blame_merge_blame_getDifficulty_count;IOVars_min;NCOMP_25%;NVAR_min;NBD_max;Ci_50%;NOPa;blamemerge_blamegetDistinctOperandsCnt_mean;Ci_25%;NOP_25%;IOVars_max;Ci_min;MCLC_50%;blame_merge_blame_getDifficulty_min;VG_std;VG_25%;NumberOfDistinctOperands;IOVars_25%;MCLC_max;Fin_count;NBD_count;VG_75%;blamemerge_blamegetDistinctOperatorsCnt_max;Fin_max;Fout_std;Fin_mean;NBD_std;NBD_25%;Fin_75%;Si_50%;MCLC_mean;blamemerge_blamegetDistinctOperatorsCnt_std;Di_std;Ci_max;Si_std;Fout_50%;NOP_count;NBD_min;Fout_count;NCOMP_count;blamemerge_blamegetDistinctOperandsCnt_max;VG_max;NOP_mean;Fout_min;NCOMP_max;NCOMP_std;NVAR_mean;IOVars_50%;NumberOfDistinctOperators;blame_merge_blame_getDistinctOperatorsCnt_max;IOVars_std;blamemerge_blamegetDifficulty_std;NOP_75%;blame_merge_blame_getDifficulty_std;Fout_max;NCOMP_mean;blamemerge_blamegetDifficulty_max;blame_merge_blame_getDifficulty_max;Ci_std;NVAR_count;Si_mean;Si_25%;MCLC_count;blame_merge_blame_getDistinctOperandsCnt_max;Fout_25%;ClRCi;VG_count;Si_count;NVAR_75%;Ci_count;NCOMP_50%;NBD_75%;Ci_mean;MCLC_75%;Di_mean;IOVars_count;NBD_mean;Di_75%
0.0;1.0;0.0;0.0;0.0;0.0;170.31666666700002;2.0;0.0;2.1437414030261346;0.25;0.0;56.0;0.0;3.0;259.10550458715596;4.0;1454.0;0.0;16.0;0.3928571428571429;0.0;0.0;1.0;4.0;False;3.0;0.0;1.0677683074605355;1454.0;0.0;0.25;5.214285714285714;1.8435338362680358;1.7259478856257806;3.0;0.0;0.0;1.0;2.0;0.0;0.7350236324498284;0.0;14.0;7.274131357968937;0.0;1.0;2.4621814844437573;1454.0;6.0;2.392857142857143;0.0;0.0;0.0;0.0;0.0;10.0;2.5;0.0;1.2785419532324622;2.0;1.0;4.0;1.0;3.5;0.0;5.362205400135914;1.0;218.0;2.0;42.0;56.0;56.0;7.5;15.0;9.0;0.8017837257372732;0.44642857142857145;2.449423467813462;1.0;0.0;0.0;5.321428571428571;2.52597763357989;1.0019560594900332;16.4;2.3719135789429644;0.0;56.0;1.0;56.0;56.0;9.0;26.0;1.4285714285714286;0.0;28.0;5.007915811914251;1.7142857142857142;2.0;55.0;0.0;0.8017837257372732;1.5370566782371249;2.0;0.0;4.0;3.6071428571428568;13.125;0.0;2.1088604905408936;56.0;0.7857142857142857;0.0;56.0;0.0;0.0;3.041369048;56.0;56.0;2.25;56.0;1.5;3.25;2.867261904767857;8.0;2.081547619053571;56.0;2.7678571428571432;3.0
0.0;3.0;0.0;9.0;2.0;0.0;170.31666666700002;0.75;0.0;2.1437414030261346;9.0;14.0;1.0;0.75;2.0;259.10550458715596;13.0;1454.0;0.0;9.0;3.0;0.0;0.0;13.0;0.75;False;9.75;0.0;1.0677683074605355;1454.0;0.0;3.0;13.0;1.8435338362680358;0.0;3.0;0.0;14.0;0.75;4.0;0.0;0.0;0.0;3.0;0.0;11.0;2.0;0.0;1454.0;11.0;3.0;3.0;0.0;3.0;11.0;3.0;4.0;9.75;0.0;1.2785419532324622;9.75;2.0;3.0;9.75;14.0;0.0;0.0;13.0;218.0;3.0;14.0;1.0;1.0;13.0;15.0;0.0;0.0;0.0;0.0;4.0;0.0;9.0;14.0;2.52597763357989;0.0;9.75;0.0;3.0;1.0;4.0;1.0;1.0;9.0;13.0;2.0;3.0;11.0;0.0;3.0;3.0;55.0;0.0;0.0;1.5370566782371249;2.0;0.0;3.0;11.0;13.125;0.0;0.0;1.0;9.0;9.0;1.0;0.0;3.0;3.041369048;1.0;1.0;3.0;1.0;11.0;4.0;9.75;14.0;0.75;1.0;4.0;0.75
0.0;0.0;0.0;0.0;0.0;0.0;170.31666666700002;1.5;0.0;2.1437414030261346;0.0;0.0;2.0;1.0;2.0;259.10550458715596;1.0;1454.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;False;1.75;0.0;1.0677683074605355;1454.0;0.0;0.0;1.0;1.8435338362680358;0.0;1.75;0.0;0.0;1.25;1.0;0.0;1.4142135623730951;0.0;0.0;0.0;0.0;1.0;0.0;1454.0;0.0;1.5;0.0;0.0;1.0;0.0;0.0;1.0;1.5;0.0;1.2785419532324622;1.25;0.5;2.0;1.0;0.0;0.0;0.0;1.0;218.0;1.25;0.0;2.0;2.0;1.0;15.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.52597763357989;0.7071067811865476;2.0;0.0;0.0;2.0;1.0;2.0;2.0;9.0;1.0;1.0;0.0;0.0;0.0;0.0;1.5;55.0;0.0;0.7071067811865476;1.5370566782371249;1.5;0.0;0.0;0.0;13.125;0.0;0.7071067811865476;2.0;0.0;0.0;2.0;0.0;0.0;3.041369048;2.0;2.0;0.0;2.0;0.0;1.0;1.5;0.0;1.5;2.0;1.0;1.75
0.0;4.0;0.0;0.0;1.0;0.0;170.31666666700002;2.0;0.0;2.1437414030261346;0.0;12.0;1.0;2.0;1.0;259.10550458715596;7.0;1454.0;0.0;0.0;0.0;0.0;0.0;7.0;2.0;False;2.0;0.0;1.0677683074605355;1454.0;0.0;0.0;7.0;1.8435338362680358;0.0;2.0;0.0;12.0;2.0;2.0;0.0;0.0;0.0;4.0;0.0;8.0;1.0;0.0;1454.0;8.0;2.0;4.0;0.0;2.0;8.0;4.0;2.0;2.0;0.0;1.2785419532324622;2.0;1.0;2.0;2.0;12.0;0.0;0.0;7.0;218.0;2.0;12.0;1.0;1.0;7.0;15.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;12.0;2.52597763357989;0.0;2.0;0.0;0.0;1.0;2.0;1.0;1.0;9.0;7.0;1.0;0.0;8.0;0.0;4.0;2.0;55.0;0.0;0.0;1.5370566782371249;1.0;0.0;0.0;8.0;13.125;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;3.041369048;1.0;1.0;4.0;1.0;8.0;2.0;2.0;12.0;2.0;1.0;2.0;2.0
0.0;0.0;0.0;0.0;0.0;0.0;170.31666666700002;1.0;0.0;2.1437414030261346;0.0;0.0;1.0;1.0;0.0;259.10550458715596;1.0;1454.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;False;1.0;0.0;1.0677683074605355;1454.0;0.0;0.0;1.0;1.8435338362680358;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1454.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.2785419532324622;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;218.0;1.0;0.0;1.0;1.0;1.0;15.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.52597763357989;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;9.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;55.0;0.0;0.0;1.5370566782371249;0.0;0.0;0.0;0.0;13.125;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;3.041369048;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;40.0;1.0;0.0;1.0226628895184136;0.0;0.0;26.0;1.0;1.0;35.932203389830505;1.0;353.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;True;2.0;0.0;0.4206798866855524;353.0;0.0;0.0;1.0384615384615383;1.3495272967970715;0.0;2.0;0.0;0.0;1.0;1.0;0.0;0.5083911274417939;0.0;0.0;0.196116135138184;0.0;0.0;0.0;353.0;0.0;1.4615384615384617;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.5949008498583569;1.0;0.0;2.0;1.0;0.0;0.0;0.196116135138184;1.0;59.0;1.0;1.0;26.0;26.0;1.0;7.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.038461538461538464;1.6887147958142177;0.5083911274417939;2.0;0.0;0.0;26.0;1.0;26.0;26.0;7.0;2.0;0.4615384615384616;0.0;1.0;0.196116135138184;0.0;1.0;20.0;0.0;0.5083911274417939;0.849931542743289;1.0;0.0;0.0;0.038461538461538464;4.0;0.0;0.5083911274417939;26.0;0.0;0.0;26.0;0.0;0.0;1.481481481;26.0;26.0;0.0;26.0;0.0;1.0;1.4615384615384617;0.0;1.4615384615384617;26.0;1.0;2.0
0.0;0.0;0.0;0.0;1.0;0.0;40.0;2.0;0.0;1.0226628895184136;0.0;0.0;1.0;2.0;1.0;35.932203389830505;1.0;353.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;True;2.0;0.0;0.4206798866855524;353.0;0.0;0.0;1.0;1.3495272967970715;0.0;2.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;353.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;1.0;2.0;0.0;0.5949008498583569;2.0;1.0;2.0;2.0;0.0;0.0;0.0;1.0;59.0;2.0;0.0;1.0;1.0;1.0;7.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.6887147958142177;0.0;2.0;0.0;0.0;1.0;1.0;1.0;1.0;7.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;20.0;0.0;0.0;0.849931542743289;1.0;0.0;0.0;0.0;4.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.481481481;1.0;1.0;0.0;1.0;0.0;1.0;2.0;0.0;2.0;1.0;1.0;2.0
0.0;0.0;0.0;0.0;1.0;0.0;6.0;2.0;0.0;0.2333333333333333;0.0;0.0;5.0;2.0;2.0;7.363636363636362;1.0;120.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;False;2.0;0.0;0.1;120.0;0.0;0.0;1.0;1.0500100039539442;0.0;2.0;0.0;0.0;2.0;1.0;0.0;0.4472135954999581;0.0;0.0;0.0;0.0;1.0;0.0;120.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;1.0;2.0;0.0;0.3;2.0;1.0;2.0;2.0;0.0;0.0;0.0;1.0;22.0;2.0;0.0;5.0;5.0;1.0;5.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.7640376308798933;0.0;2.0;0.0;0.0;5.0;1.0;5.0;5.0;5.0;1.0;1.2;0.0;0.0;0.0;0.0;2.0;9.0;0.0;0.0;0.3757345746510897;1.0;0.0;0.0;0.0;2.5;0.0;0.0;5.0;0.0;0.0;5.0;0.0;0.0;2.0;5.0;5.0;0.0;5.0;0.0;1.0;2.0;0.0;2.0;5.0;1.0;2.0
0.0;0.0;0.0;0.0;0.0;0.0;84.5;0.0;0.0;1.0960264900662249;0.0;0.0;0.0;0.0;0.0;71.81612903225806;0.0;604.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;0.0;0.0;0.5294025281194155;604.0;0.0;0.0;0.0;1.8902689639770776;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;604.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8509933774834437;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;155.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0718561324232034;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41.0;0.0;0.0;1.1520151330949688;0.0;0.0;0.0;0.0;7.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.347222222;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;84.5;0.0;0.0;1.0960264900662249;0.0;0.0;0.0;0.0;0.0;71.81612903225806;0.0;604.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;0.0;0.0;0.5294025281194155;604.0;0.0;0.0;0.0;1.8902689639770776;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;604.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8509933774834437;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;155.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0718561324232034;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41.0;0.0;0.0;1.1520151330949688;0.0;0.0;0.0;0.0;7.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.347222222;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
