;MIF;Bugged;AIF;Aa;MHF;AHF
count;684.0;684;684.0;684.0;684.0;684.0
unique;;2;;;;
top;;False;;;;
freq;;409;;;;
mean;0.0;;0.0;5.720760233918129;0.5806307631695906;0.05109791778508771
std;0.0;;0.0;9.205293626688691;0.3858107272735023;0.16730222513186405
min;0.0;;0.0;0.0;0.0;0.0
25%;0.0;;0.0;1.0;0.25;0.0
50%;0.0;;0.0;2.0;0.666666667;0.0
75%;0.0;;0.0;7.0;1.0;0.0
max;0.0;;0.0;117.0;1.0;1.0
