;NBD;Di;NCOMP;Ci;Fout;Fin;MCLC;IOVars;Si;VG;NVAR;NOP;BuggedMethods
count;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720
unique;;;;;;;;;;;;;2
top;;;;;;;;;;;;;False
freq;;;;;;;;;;;;;2446
mean;0.2595588235294118;0.22929621848749995;0.15183823529411763;0.2767226890757353;0.01948529411764706;0.026470588235294117;0.24595588235294116;0.2400735294117647;0.04742647058823529;0.3356617647058823;0.09411764705882353;0.08713235294117647;
std;0.7687227769680274;0.5871269561769115;0.8551363124346054;1.1133585532418684;0.2169426119465181;0.3452478402828255;1.3405788733215707;0.6046990154910362;0.935366571724222;1.1545743184688428;0.5630219395661754;0.3312517258883147;
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
50%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
75%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
max;10.0;6.0;16.0;36.285714286;6.0;9.0;26.0;6.0;36.0;15.0;10.0;5.0;
