NSF;Bugged;NSM;NOA;NOD;ClTCi;RTLOC;ClRCi;PMd;NPF;NOL;TLOC
3.0;False;1.0;0.0;0.0;1.0;58.0;1.0;1.0;3.0;0.0;43.0
0.0;False;1.0;0.0;0.0;7.0;102.0;3.5;1.0;0.0;0.0;68.0
0.0;False;0.0;0.0;0.0;13.0;52.0;4.333333333;2.0;0.0;0.0;18.0
2.0;False;3.0;0.0;0.0;2.5;124.0;0.833333333;2.0;0.0;0.0;91.0
0.0;False;0.0;0.0;0.0;7.0;31.0;1.0;0.0;0.0;0.0;9.0
0.0;False;0.0;0.0;0.0;3.0;34.0;1.0;3.0;0.0;0.0;23.0
0.0;False;0.0;0.0;0.0;4.0;21.0;1.0;0.0;0.0;0.0;6.0
0.0;False;0.0;0.0;0.0;9.0;88.0;1.8;3.0;0.0;0.0;64.0
0.0;False;0.0;0.0;0.0;13.0;57.0;2.6;3.0;0.0;0.0;41.0
4.0;False;0.0;0.0;0.0;15.5;128.0;1.55;8.0;0.0;0.0;79.0
4.0;False;0.0;0.0;0.0;15.5;128.0;1.55;8.0;0.0;0.0;79.0
0.0;False;0.0;0.0;0.0;7.0;57.0;2.333333333;3.0;0.0;0.0;28.0
0.0;False;2.0;0.0;0.0;4.0;13.0;2.0;2.0;0.0;0.0;9.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;False;2.0;0.0;0.0;74.285714286;199.0;6.19047619;11.0;0.0;0.0;109.0
0.0;False;0.0;0.0;0.0;7.0;51.0;1.4;5.0;0.0;0.0;31.0
0.0;False;0.0;0.0;0.0;3.0;37.0;1.5;2.0;0.0;0.0;24.0
0.0;False;0.0;0.0;0.0;13.0;41.0;3.25;0.0;0.0;0.0;6.0
0.0;False;0.0;0.0;0.0;5.0;14.0;5.0;0.0;0.0;0.0;3.0
0.0;False;0.0;0.0;0.0;8.0;53.0;2.666666667;3.0;0.0;0.0;26.0
