;NOP;MCLC;Ci;Fin;NBD;BuggedMethods;VG;Fout;IOVars;Di;Si;NCOMP;NVAR
count;8138.0;8138.0;8138.0;8138.0;8138.0;8138;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0
unique;;;;;;2;;;;;;;
top;;;;;;False;;;;;;;
freq;;;;;;7671;;;;;;;
mean;0.13996067829933645;0.3607766035881052;1.7583008108022853;0.0879823052347014;0.32956500368640945;;0.4510936347997051;0.06869009584664537;0.3514376996805112;0.336944212129393;1.4213565986728927;0.26529859916441384;0.09547800442369132
std;0.3915641089861496;2.3544455868350944;80.86059886128524;0.7786165044404662;0.625352957739941;;1.3320080536227443;1.190299276549773;0.6604105458641432;0.6467865405342147;80.86289743095705;2.0516921956582483;0.5361244903573865
min;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;0.0;0.0;1.0;0.0;1.0;;1.0;0.0;1.0;0.5;0.0;0.0;0.0
max;7.0;78.0;7056.023529411999;44.0;9.0;;45.0;84.0;8.0;8.0;7056.0;64.0;14.0
