;BuggedMethods;NCSSForThisFile;NestedIfElseDepth;BooleanExpressionComplexity;CyclomaticComplexity;NCSSForThisMethod;NPathComplexity;ThrowsCount;NCSSForThisClass;NumberOfProtectedMethod;NumberOfPackageMethod;NumberOfPrivateMethod;ExecutableStatementCount;MethodLength;FileLength;AnonymousInnerClassLength;NumberOfMethods_Checkstyle;NumberOfPublicMethods_Checkstyle;ClassFanOutComplexity;NestedTryDepth;ClassDataAbstractionCoupling;NestedForDepth;IsConstructor;CBO;WMC_CK;RFC;LOCMethod_CK;Returns;NumberOfVariables;NumberOfParameters_CK;NumberOfLoops;NumberOfComparisons;NumberOfTryCatch;NumberOfParenthesizedExps;NumberOfStringLiterals;NumberOfNumbers;NumberOfAssignments;NumberOfMathOperations;MaxNumberOfNestedBlocks;NumberOfAnonymousClasses;NumberOfInnerClasses;NumberOfLambdas;NumberOfUniqueWords;NumberOfModifiers;NumberOfLogStatements;Ci;Di;Fin;Fout;IOVars;MCLC;NBD;NCOMP;NOP;NVAR;Si;VG;Complexity;Statements;Maximum Depth;Calls
count;1228;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0
unique;2;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;False;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;1186;;;;;;;;;;;;;;;;;;;;;;1155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;;6.964983713355049;0.023615635179153095;0.04478827361563518;0.8892508143322475;4.568403908794788;10.042345276872965;0.14006514657980457;6.631921824104235;0.11237785016286644;0.008957654723127036;0.05537459283387622;3.8526058631921822;6.977198697068404;20.350162866449512;0.0;0.757328990228013;0.5806188925081434;0.4210097719869707;0.0008143322475570033;0.12947882736156352;0.0024429967426710096;;0.5716612377850163;0.8851791530944625;1.525244299674267;5.162866449511401;0.2711726384364821;0.7141693811074918;0.21986970684039087;0.05618892508143322;0.13355048859934854;0.0016286644951140066;0.06270358306188925;3.4185667752442996;0.5154723127035831;0.9543973941368078;0.24674267100977199;0.1490228013029316;0.0;0.0;0.0;10.004071661237784;1.0;0.008143322475570033;0.48476035365228015;0.33980921358713356;0.061074918566775244;0.03257328990228013;0.3493485342019544;0.4552117263843648;0.36563517915309446;0.27931596091205213;0.16042345276872963;0.1758957654723127;0.1449511400651466;0.504885993485342;0.4780130293159609;3.019543973941368;0.8298045602605864;3.553745928338762
std;;32.14090684260124;0.16228589827516382;0.21841961244252686;1.440178527020049;15.215358508189393;285.8025686201333;0.3829163546099459;30.93568832719748;0.543534162721399;0.11736535158332892;0.623000160047451;15.01203868058506;18.01306601668718;84.85121658985608;0.0;3.278400334357126;2.5849887531329245;1.6882879422490555;0.02853650727676748;0.624423363299027;0.04938638150230062;;0.9974269305185467;1.3982205073860539;2.832201810594233;15.458265361252204;0.7192200743888855;1.8241058706104145;0.44651615214502755;0.2602784606410224;0.5920539578909728;0.040340266982101934;0.35903954113438624;27.90852528822087;2.767653719615629;2.208645355528332;1.1094309248090244;0.5040413911684776;0.0;0.0;0.0;12.072214780897989;2.1098596499438744;0.1396192481506466;2.8095446044080488;0.6837123718152434;0.6112363925299017;0.37948305721366815;0.6940951782023252;2.0539854603559933;0.7801687300836758;1.3092345279710562;0.40914224366818785;0.8909609084519657;2.7364839660389517;1.4058240379882996;0.8266182675342328;14.765969238442558;1.1076635884504198;27.99338396583709
min;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;;0.0;0.0;0.0;1.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;1.0;2.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;17.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;2.0;1.0
