NOCh;WMC_CK_min;NMI;WMC_CK_75%;WMC_CK_count;Bugged;NMIR;WMC;NPM;DIT;NORM;WMC_CK_max;WMC_CK_25%;WMC_CK_std;WMC_CK_mean;WMC_CK_50%
0.0;2.0;0.0;3.5;2.0;False;0.0;6.0;2.0;1.0;0.0;4.0;2.5;1.4142135623730951;3.0;3.0
0.0;1.0;0.0;1.0;6.0;False;0.0;9.0;4.0;1.0;0.0;4.0;1.0;1.224744871391589;1.5;1.0
0.0;1.0;0.0;1.0;18.0;False;0.0;21.0;18.0;1.0;0.0;2.0;1.0;0.4277926319464986;1.2222222222222223;1.0
0.0;1.0;0.0;3.25;4.0;False;0.0;11.0;3.0;1.0;0.0;7.0;1.75;2.7080128015453195;3.0;2.0
0.0;1.0;0.0;2.5;4.0;False;0.0;7.0;3.0;1.0;0.0;4.0;1.0;1.4142135623730951;2.0;1.5
0.0;1.0;0.0;6.0;7.0;False;0.0;25.0;2.0;1.0;0.0;10.0;1.0;4.0296519996266715;3.7142857142857135;1.0
0.0;2.0;0.0;3.5;3.0;False;0.0;6.0;3.0;1.0;0.0;5.0;2.0;1.7320508075688772;3.0;2.0
0.0;1.0;0.0;3.0;3.0;False;0.0;8.0;2.0;1.0;0.0;4.0;1.5;1.5275252316519463;2.333333333333333;2.0
0.0;1.0;0.0;1.0;2.0;False;0.0;3.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0
0.0;1.0;0.0;1.75;2.0;False;0.0;3.0;1.0;1.0;0.0;2.0;1.25;0.7071067811865476;1.5;1.5
0.0;1.0;0.0;1.0;2.0;False;0.0;3.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0
0.0;1.0;0.0;1.0;2.0;False;0.0;3.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0
0.0;1.0;0.0;1.0;2.0;False;0.0;3.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0
0.0;1.0;0.0;1.0;2.0;False;0.0;3.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0
0.0;1.0;0.0;4.5;3.0;False;0.0;8.0;2.0;1.0;0.0;7.0;1.5;3.2145502536643185;3.333333333333333;2.0
0.0;1.0;0.0;3.5;4.0;False;0.0;11.0;3.0;1.0;0.0;8.0;1.0;3.366501646120693;3.0;1.5
0.0;2.0;0.0;7.5;3.0;False;0.0;13.0;2.0;1.0;0.0;9.0;4.0;3.511884584284246;5.666666666666668;6.0
