LCOM;FANOUT;NumberOfChildren;NumberOfFields;DepthOfInheritance;WMC_Designite;NumberOfPublicFields;NumberOfMethods_Designite;NumberOfPublicMethods_Designite;Bugged;FANIN
-1.0;0.0;1.0;1.0;0.0;7.0;0.0;7.0;0.0;False;1.0
-1.0;0.0;1.0;0.0;0.0;3.0;0.0;3.0;0.0;False;1.0
-1.0;0.0;1.0;1.0;0.0;5.0;0.0;5.0;1.0;False;1.0
-1.0;1.0;1.0;1.0;0.0;22.0;0.0;22.0;0.0;False;8.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0
-1.0;1.0;1.0;0.0;0.0;38.0;0.0;38.0;0.0;True;16.0
-1.0;0.0;1.0;0.0;0.0;6.0;0.0;6.0;0.0;False;4.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0
0.25;0.0;0.0;3.0;0.0;8.0;0.0;8.0;8.0;False;12.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0
0.25;1.0;0.0;2.0;0.0;10.0;0.0;8.0;8.0;False;11.0
-1.0;1.0;1.0;0.0;0.0;6.0;0.0;6.0;0.0;False;2.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0
0.55;1.0;0.0;9.0;0.0;20.0;0.0;20.0;20.0;True;4.0
0.2727272727272727;0.0;0.0;4.0;0.0;11.0;0.0;11.0;11.0;False;2.0
-1.0;0.0;1.0;0.0;0.0;13.0;0.0;13.0;0.0;False;20.0
-1.0;0.0;1.0;0.0;0.0;9.0;0.0;9.0;2.0;False;4.0
-1.0;0.0;1.0;0.0;0.0;6.0;0.0;6.0;0.0;False;3.0
-1.0;0.0;1.0;0.0;0.0;21.0;0.0;21.0;0.0;False;18.0
-1.0;0.0;1.0;0.0;0.0;7.0;0.0;7.0;0.0;False;3.0
-1.0;0.0;1.0;0.0;0.0;5.0;0.0;5.0;0.0;False;8.0
-1.0;0.0;1.0;0.0;0.0;9.0;0.0;9.0;0.0;False;6.0
-1.0;0.0;1.0;0.0;0.0;5.0;0.0;5.0;0.0;False;3.0
-1.0;0.0;1.0;0.0;0.0;8.0;0.0;8.0;0.0;False;8.0
-1.0;0.0;1.0;0.0;0.0;2.0;0.0;2.0;0.0;False;1.0
-1.0;0.0;1.0;0.0;0.0;6.0;0.0;6.0;0.0;False;3.0
-1.0;0.0;1.0;0.0;0.0;18.0;0.0;18.0;0.0;False;34.0
-1.0;0.0;1.0;0.0;0.0;16.0;0.0;16.0;0.0;False;16.0
-1.0;0.0;1.0;0.0;0.0;7.0;0.0;7.0;0.0;False;9.0
-1.0;0.0;1.0;0.0;0.0;8.0;0.0;8.0;0.0;False;9.0
-1.0;0.0;1.0;0.0;0.0;7.0;0.0;7.0;0.0;False;9.0
-1.0;0.0;1.0;0.0;0.0;3.0;0.0;3.0;0.0;False;5.0
-1.0;0.0;1.0;0.0;0.0;3.0;0.0;3.0;0.0;False;5.0
-1.0;0.0;1.0;1.0;0.0;3.0;0.0;3.0;0.0;False;5.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0
-1.0;0.0;1.0;1.0;0.0;24.0;0.0;24.0;0.0;False;8.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0
-1.0;0.0;2.0;1.0;0.0;2.0;0.0;2.0;0.0;False;4.0
-1.0;0.0;5.0;1.0;0.0;1.0;0.0;1.0;0.0;False;2.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0
-1.0;0.0;2.0;0.0;0.0;13.0;0.0;13.0;13.0;False;7.0
-1.0;1.0;1.0;1.0;0.0;2.0;1.0;2.0;2.0;False;1.0
-1.0;0.0;1.0;0.0;0.0;13.0;0.0;13.0;0.0;True;9.0
-1.0;0.0;1.0;1.0;0.0;7.0;0.0;7.0;0.0;False;5.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0
0.13333333333333333;2.0;0.0;10.0;0.0;18.0;0.0;15.0;15.0;False;19.0
0.375;0.0;0.0;5.0;0.0;8.0;0.0;8.0;8.0;True;8.0
-1.0;3.0;1.0;0.0;0.0;28.0;0.0;28.0;0.0;False;2.0
-1.0;0.0;0.0;0.0;0.0;10.0;0.0;10.0;0.0;False;2.0
0.2;1.0;0.0;6.0;0.0;10.0;0.0;10.0;10.0;False;6.0
-1.0;0.0;1.0;1.0;0.0;9.0;0.0;9.0;0.0;False;7.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0
-1.0;1.0;0.0;0.0;0.0;15.0;0.0;4.0;1.0;False;7.0
0.0;0.0;0.0;2.0;0.0;7.0;0.0;7.0;7.0;True;26.0
0.7142857142857143;0.0;0.0;1.0;1.0;16.0;0.0;7.0;6.0;False;0.0
0.0;0.0;0.0;1.0;0.0;2.0;0.0;2.0;2.0;False;3.0
-1.0;0.0;1.0;1.0;0.0;6.0;0.0;6.0;0.0;False;4.0
-1.0;1.0;1.0;1.0;0.0;126.0;0.0;126.0;19.0;True;18.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0
-1.0;1.0;1.0;1.0;0.0;7.0;0.0;7.0;0.0;False;2.0
