blamemerge_blamegetLength_max;blamemerge_blamegetVocabulary_count;MethodLength_min;MethodLength_mean;MethodLength_count;AnonymousInnerClassLength_std;blame_merge_blame_getVocabulary_count;Effort;blame_merge_blame_getEffort_max;NumberOfDistinctOperators;blamemerge_blamegetVolume_mean;blamemerge_blamegetVolume_std;AnonymousInnerClassLength_25%;blamemerge_blamegetDifficulty_max;TotalNumberOfOperators;blame_merge_blame_getEffort_min;blamemerge_blamegetEffort_std;blame_merge_blame_getLength_mean;blamemerge_blamegetEffort_max;MethodLength_50%;FileLength_max;MethodLength_25%;FileLength_count;FileLength_mean;AnonymousInnerClassLength_50%;blamemerge_blamegetEffort_count;TotalNumberOfOperands;FileLength_std;Bugged;blame_merge_blame_getDifficulty_min;blamemerge_blamegetDifficulty_count;Volume;blame_merge_blame_getVolume_std;blame_merge_blame_getVolume_min;Difficulty;AnonymousInnerClassLength_75%;blame_merge_blame_getVolume_max;blamemerge_blamegetVolume_count;MethodLength_max;Length;blamemerge_blamegetLength_mean;FileLength_25%;blamemerge_blamegetVocabulary_std;FileLength_75%;blamemerge_blamegetVocabulary_max;blame_merge_blame_getDifficulty_std;blame_merge_blame_getVocabulary_std;blame_merge_blame_getDifficulty_count;blamemerge_blamegetLength_std;FileLength_min;blame_merge_blame_getLength_std;MethodLength_75%;blame_merge_blame_getDifficulty_max;blamemerge_blamegetVocabulary_mean;blame_merge_blame_getVocabulary_max;blame_merge_blame_getVolume_mean;blame_merge_blame_getVolume_count;blame_merge_blame_getDifficulty_mean;blamemerge_blamegetLength_count;blamemerge_blamegetVolume_max;AnonymousInnerClassLength_min;blamemerge_blamegetDifficulty_std;blame_merge_blame_getLength_max;AnonymousInnerClassLength_mean;blamemerge_blamegetEffort_mean;blame_merge_blame_getVocabulary_min;blamemerge_blamegetDifficulty_mean;blame_merge_blame_getLength_min;blame_merge_blame_getEffort_mean;blame_merge_blame_getEffort_count;NumberOfDistinctOperands;MethodLength_std;AnonymousInnerClassLength_count;Vocabulary;blame_merge_blame_getLength_count;FileLength_50%;AnonymousInnerClassLength_max;blame_merge_blame_getVocabulary_mean;blame_merge_blame_getEffort_std
19.0;378.0;6.0;6.0;1.0;0.0;0.0;17024.279300150043;0.0;17.0;12.021357756686886;19.209096313841325;0.0;4.666666666666667;84.0;0.0;72.91934545511683;0.0;349.478072926904;6.0;42.0;6.0;1.0;42.0;0.0;378.0;79.0;0.0;False;0.0;378.0;938.0466628526456;0.0;0.0;18.14864864864865;0.0;0.0;378.0;6.0;163.0;3.880952380952381;42.0;4.391485612932616;42.0;17.0;0.0;0.0;0.0;5.4940630742683885;42.0;0.0;6.0;0.0;3.1666666666666665;0.0;0.0;0.0;0.0;378.0;77.66179398375645;0.0;1.1029273689159924;0.0;0.0;26.85847589021319;0.0;0.6468253968253969;0.0;0.0;0.0;37.0;0.0;1.0;54.0;0.0;42.0;0.0;0.0;0.0
30.0;2449.0;3.0;9.0;4.0;0.0;0.0;119974.72337317535;0.0;24.0;25.4598296204564;19.23904535262995;0.0;5.625;289.0;0.0;60.93881286416355;0.0;375.2932501298082;5.5;87.0;3.0;4.0;21.75;0.0;2449.0;230.0;43.5;False;0.0;2449.0;3477.528213715227;0.0;0.0;34.5;0.0;0.0;2449.0;22.0;519.0;7.535320538995508;0.0;5.0326596764244815;21.75;18.0;0.0;0.0;0.0;5.424059614490132;0.0;0.0;11.5;0.0;7.112290730910575;0.0;0.0;0.0;0.0;2449.0;125.09775004326937;0.0;1.4228722143526251;0.0;0.0;69.9836862016369;0.0;1.8487137607186608;0.0;0.0;0.0;80.0;8.981462390204989;4.0;104.0;0.0;0.0;0.0;0.0;0.0
20.0;2542.0;3.0;6.2;5.0;0.0;0.0;72125.27398564602;0.0;24.0;22.370150944469813;21.41945262298136;0.0;7.2;209.0;0.0;64.54157634520557;0.0;588.594649140049;3.0;76.0;3.0;5.0;15.2;0.0;2542.0;144.0;33.988233257996804;False;0.0;2542.0;2212.1756488653004;0.0;0.0;32.60377358490566;0.0;0.0;2542.0;13.0;353.0;7.4413847364280095;0.0;4.032364851195164;0.0;17.0;0.0;0.0;0.0;6.341792016784455;0.0;0.0;9.0;0.0;5.162863886703383;0.0;0.0;0.0;0.0;2542.0;81.7492568250068;0.0;1.2707866580038272;0.0;0.0;44.96848829234617;0.0;1.0300255704169945;0.0;0.0;0.0;53.0;4.604345773288535;5.0;77.0;0.0;0.0;0.0;0.0;0.0
24.0;1109.0;3.0;13.0;2.0;0.0;0.0;66989.69320072055;0.0;24.0;19.28466394037596;19.862524678402213;0.0;5.625;191.0;0.0;91.08371475754856;0.0;487.3414300233733;13.0;66.0;8.0;2.0;33.0;0.0;1109.0;154.0;46.66904755831214;False;0.0;1109.0;2211.239872967508;0.0;0.0;30.29508196721311;0.0;0.0;1109.0;23.0;345.0;6.886384129846709;16.5;3.4695193229784147;49.5;14.0;0.0;0.0;0.0;4.969553910091677;0.0;0.0;18.0;0.0;5.538322813345356;0.0;0.0;0.0;0.0;1109.0;91.37651812938248;0.0;1.1118811978094931;0.0;0.0;46.232111205145856;0.0;1.5674406372107;0.0;0.0;0.0;61.0;14.142135623730953;2.0;85.0;0.0;33.0;0.0;0.0;0.0
22.0;2429.0;30.0;30.0;1.0;0.0;0.0;108426.16666747512;0.0;22.0;18.79674470228964;21.154927349174333;0.0;5.0;262.0;0.0;65.73402881195004;0.0;380.73549220576035;30.0;82.0;30.0;1.0;82.0;0.0;2429.0;216.0;0.0;False;0.0;2429.0;3103.1057800455847;0.0;0.0;34.94117647058823;0.0;0.0;2429.0;30.0;478.0;6.007410456978179;82.0;4.595535454006999;82.0;15.0;0.0;0.0;0.0;6.096960467363965;82.0;0.0;30.0;0.0;4.752161383285302;0.0;0.0;0.0;0.0;2429.0;78.86917501586544;0.0;1.2991744009643964;0.0;0.0;39.87471451227178;0.0;1.00625085769178;0.0;0.0;0.0;68.0;0.0;1.0;90.0;0.0;82.0;0.0;0.0;0.0
20.0;1978.0;3.0;4.4;5.0;0.0;0.0;47218.80686042825;0.0;21.0;12.729793148045356;19.607904659216725;0.0;7.2;159.0;0.0;88.3649803351111;0.0;588.594649140049;3.0;68.0;3.0;5.0;13.6;0.0;1978.0;120.0;30.41052449399714;False;0.0;1978.0;1686.3859593010086;0.0;0.0;28.0;0.0;0.0;1978.0;10.0;279.0;4.150151668351872;0.0;4.43673621943444;0.0;17.0;0.0;0.0;0.0;5.5779936925422575;0.0;0.0;3.0;0.0;3.4221435793731043;0.0;0.0;0.0;0.0;1978.0;81.7492568250068;0.0;1.3996040671512442;0.0;0.0;32.99287875121388;0.0;0.8024814627569936;0.0;0.0;0.0;45.0;3.130495168499705;5.0;66.0;0.0;0.0;0.0;0.0;0.0
17.0;1189.0;3.0;3.5;2.0;0.0;0.0;12131.25819606031;0.0;17.0;10.381707185957056;18.680771595786727;0.0;5.625;73.0;0.0;56.57986350033286;0.0;353.8545480472419;3.5;41.0;3.25;2.0;20.5;0.0;1189.0;65.0;28.991378028648448;False;0.0;1189.0;790.4530227297215;0.0;0.0;15.347222222222221;0.0;0.0;1189.0;4.0;138.0;3.365853658536585;10.25;4.019201265489873;30.75;13.0;0.0;0.0;0.0;5.518400019010215;0.0;0.0;3.75;0.0;2.609756097560976;0.0;0.0;0.0;0.0;1189.0;62.90747520839857;0.0;1.033390999273104;0.0;0.0;19.10845591390961;0.0;0.4786585365853658;0.0;0.0;0.0;36.0;0.7071067811865476;2.0;53.0;0.0;20.5;0.0;0.0;0.0
15.0;3346.0;3.0;3.333333333333333;3.0;0.0;0.0;16964.511371113862;0.0;14.0;18.702926383248748;18.05116095344579;0.0;4.0;91.0;0.0;39.56547114927383;0.0;129.05865002596164;3.0;50.0;3.0;3.0;16.666666666666668;0.0;3346.0;80.0;28.867513459481287;False;0.0;3346.0;939.1068794723744;0.0;0.0;18.06451612903226;0.0;0.0;3346.0;4.0;171.0;5.9575612671846985;0.0;4.57309147793243;25.0;12.0;0.0;0.0;0.0;5.460552206834907;0.0;0.0;3.5;0.0;5.047220561864913;0.0;0.0;0.0;0.0;3346.0;49.82892142331044;0.0;1.0913180161811271;0.0;0.0;33.499944686110986;0.0;1.0143454871488344;0.0;0.0;0.0;31.0;0.5773502691896258;3.0;45.0;0.0;0.0;0.0;0.0;0.0
30.0;3612.0;3.0;4.8;5.0;0.0;0.0;64482.28828868597;0.0;25.0;27.517279421019875;31.150268293895998;0.0;7.2;192.0;0.0;132.42795473613356;0.0;689.7593544609947;3.0;67.0;3.0;5.0;13.4;0.0;3612.0;129.0;29.963310898497184;False;0.0;3612.0;1999.4507996491773;0.0;0.0;32.25;0.0;0.0;3612.0;8.0;321.0;8.075027685492802;0.0;5.409963131234933;0.0;17.0;0.0;0.0;0.0;8.509376578384822;0.0;0.0;7.0;0.0;5.680232558139535;0.0;0.0;0.0;0.0;3612.0;122.62388523751021;0.0;1.531230822189159;0.0;0.0;80.44615850805667;0.0;1.3473975636766335;0.0;0.0;0.0;50.0;2.4899799195977463;5.0;75.0;0.0;0.0;0.0;0.0;0.0
24.0;2489.0;3.0;14.5;2.0;0.0;0.0;75131.16410509202;0.0;23.0;21.92054522878753;21.85807712655335;0.0;5.625;215.0;0.0;84.94981083688286;0.0;487.3414300233733;14.5;69.0;8.75;2.0;34.5;0.0;2489.0;169.0;48.790367901871775;False;0.0;2489.0;2474.0903024059116;0.0;0.0;30.3671875;0.0;0.0;2489.0;26.0;384.0;6.824427480916032;17.25;4.707308588275124;51.75;14.0;0.0;0.0;0.0;6.1234708311348225;0.0;0.0;20.25;0.0;5.628766572920852;0.0;0.0;0.0;0.0;2489.0;91.37651812938248;0.0;1.5707192626232132;0.0;0.0;62.061004943773185;0.0;1.5418340699075932;0.0;0.0;0.0;64.0;16.263455967290593;2.0;87.0;0.0;34.5;0.0;0.0;0.0
