;blamemerge_blamegetLength_max;blamemerge_blamegetVocabulary_count;MethodLength_min;MethodLength_mean;MethodLength_count;AnonymousInnerClassLength_std;blame_merge_blame_getVocabulary_count;Effort;blame_merge_blame_getEffort_max;NumberOfDistinctOperators;blamemerge_blamegetVolume_mean;blamemerge_blamegetVolume_std;AnonymousInnerClassLength_25%;blamemerge_blamegetDifficulty_max;TotalNumberOfOperators;blame_merge_blame_getEffort_min;blamemerge_blamegetEffort_std;blame_merge_blame_getLength_mean;blamemerge_blamegetEffort_max;MethodLength_50%;FileLength_max;MethodLength_25%;FileLength_count;FileLength_mean;AnonymousInnerClassLength_50%;blamemerge_blamegetEffort_count;TotalNumberOfOperands;FileLength_std;Bugged;blame_merge_blame_getDifficulty_min;blamemerge_blamegetDifficulty_count;Volume;blame_merge_blame_getVolume_std;blame_merge_blame_getVolume_min;Difficulty;AnonymousInnerClassLength_75%;blame_merge_blame_getVolume_max;blamemerge_blamegetVolume_count;MethodLength_max;Length;blamemerge_blamegetLength_mean;FileLength_25%;blamemerge_blamegetVocabulary_std;FileLength_75%;blamemerge_blamegetVocabulary_max;blame_merge_blame_getDifficulty_std;blame_merge_blame_getVocabulary_std;blame_merge_blame_getDifficulty_count;blamemerge_blamegetLength_std;FileLength_min;blame_merge_blame_getLength_std;MethodLength_75%;blame_merge_blame_getDifficulty_max;blamemerge_blamegetVocabulary_mean;blame_merge_blame_getVocabulary_max;blame_merge_blame_getVolume_mean;blame_merge_blame_getVolume_count;blame_merge_blame_getDifficulty_mean;blamemerge_blamegetLength_count;blamemerge_blamegetVolume_max;AnonymousInnerClassLength_min;blamemerge_blamegetDifficulty_std;blame_merge_blame_getLength_max;AnonymousInnerClassLength_mean;blamemerge_blamegetEffort_mean;blame_merge_blame_getVocabulary_min;blamemerge_blamegetDifficulty_mean;blame_merge_blame_getLength_min;blame_merge_blame_getEffort_mean;blame_merge_blame_getEffort_count;NumberOfDistinctOperands;MethodLength_std;AnonymousInnerClassLength_count;Vocabulary;blame_merge_blame_getLength_count;FileLength_50%;AnonymousInnerClassLength_max;blame_merge_blame_getVocabulary_mean;blame_merge_blame_getEffort_std
count;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0;1280.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;22.41875;18166.14921875;7.5703125;12.286980486617477;4.83359375;0.33233136672659735;0.0;513235.7725787715;0.0;21.54140625;14.041394589532903;18.942805367682695;0.0162109375;5.202664786385489;451.46796875;0.0;69.09593861462606;0.0;455.36829266305404;10.284375;111.67421875;8.6884765625;4.83359375;28.90025914815164;0.02890625;18166.14921875;301.73671875;35.97954391376726;;0.0;18166.14921875;5675.96090298745;0.0;0.0;35.88975104231544;0.123046875;0.0;18166.14921875;25.69375;753.2046875;4.498327701259291;15.4919921875;4.015154283395285;26.4193359375;14.78203125;0.0;0.0;0.0;5.363504852240409;12.94140625;0.0;13.535546875;0.0;3.63291937530724;0.0;0.0;0.0;0.0;18166.14921875;86.79778549051036;0.0;1.1888909871833042;0.0;0.1514599998521382;37.34413509463472;0.0;0.9201168937445263;0.0;0.0;0.0;78.06484375;6.861734034954724;4.83359375;99.60625;0.0;18.042578125;0.9609375;0.0;0.0
std;9.672007682151445;30880.63900706011;14.549359837363687;16.887132411989995;7.015204946734154;1.9382748886459937;0.0;1992307.6251754975;0.0;9.010540499050396;9.19157356785729;7.337609268854624;0.33273468622995017;2.5104354069915735;796.4514342802694;0.0;59.566544309934635;0.0;664.4928315418067;16.430308372915135;162.44057588929346;15.187091436778378;7.015204946734154;26.260818520195226;0.5854840814710347;30880.63900706011;492.0390329125071;40.75731396267064;;0.0;30880.63900706011;11172.232117523567;0.0;0.0;32.39469715700799;1.2207868997348033;0.0;30880.63900706011;40.010396909163155;1285.9739382266587;2.553414692899788;27.892509179889366;0.8647350645556816;33.12915687326413;4.099828055544204;0.0;0.0;0.0;1.6306421898564496;28.009082150813168;0.0;18.980214434155545;0.0;1.8359829256353282;0.0;0.0;0.0;0.0;30880.63900706011;49.871249549028775;0.0;0.3661248266365265;0.0;1.0254178961557305;33.90720692729937;0.0;0.5086666225092715;0.0;0.0;0.0;81.29403777023785;12.925382317500791;7.015204946734154;88.60578306638276;0.0;29.842555704154776;5.00523938740737;0.0;0.0
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;148.0175887256437;0.0;5.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;;0.0;0.0;50.18947501009619;0.0;0.0;2.5;0.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0
25%;15.0;2128.5;3.0;3.185714285714286;1.0;0.0;0.0;12315.985349905332;0.0;14.0;7.941953707141477;14.699491215247512;0.0;3.75;83.0;0.0;34.86801201814917;0.0;186.56039118082256;3.0;41.0;3.0;1.0;14.0;0.0;2128.5;66.0;0.0;;0.0;2128.5;836.591766773166;0.0;0.0;14.996527777777777;0.0;0.0;2128.5;4.0;151.0;2.771845802359681;0.0;3.550151312706883;0.0;12.0;0.0;0.0;0.0;4.48088524255078;0.0;0.0;3.0;0.0;2.334541570357918;0.0;0.0;0.0;0.0;2128.5;55.506595772116384;0.0;0.9700492733662529;0.0;0.0;15.938498722795323;0.0;0.5272361647361646;0.0;0.0;0.0;31.0;0.0;1.0;46.0;0.0;0.0;0.0;0.0;0.0
50%;20.0;8928.0;3.0;7.666666666666668;3.0;0.0;0.0;54734.794380387015;0.0;20.0;12.35685571828461;18.0958543439541;0.0;4.8;189.5;0.0;58.32008082912617;0.0;342.0;4.0;67.0;3.0;3.0;23.8125;0.0;8928.0;132.0;31.819805153394643;;0.0;8928.0;1976.2669371997945;0.0;0.0;26.72727272727273;0.0;0.0;8928.0;13.0;321.0;4.123525604137715;0.0;4.051729542805482;24.375;14.0;0.0;0.0;0.0;5.233809053531115;0.0;0.0;8.0;0.0;3.4238923025070642;0.0;0.0;0.0;0.0;8928.0;78.13781191217038;0.0;1.2205193490279345;0.0;0.0;30.09518796666821;0.0;0.866012777643952;0.0;0.0;0.0;51.0;1.6179500423458366;3.0;71.5;0.0;0.0;0.0;0.0;0.0
75%;26.25;21052.0;7.0;15.0;6.0;0.0;0.0;227788.333555825;0.0;27.0;17.733548864468233;21.31538176893466;0.0;6.666666666666668;451.25;0.0;85.99203312297952;0.0;581.184511931066;12.0;113.25;9.5625;6.0;38.0;0.0;21052.0;299.0;50.80682368868707;;0.0;21052.0;5068.882646773735;0.0;0.0;45.42692079794588;0.0;0.0;21052.0;31.0;745.75;5.678257324169522;28.25;4.494196470669879;42.0;17.0;0.0;0.0;0.0;5.942868051668126;0.0;0.0;17.5;0.0;4.6713968187846895;0.0;0.0;0.0;0.0;21052.0;104.0;0.0;1.4283820119245176;0.0;0.0;46.860757496610184;0.0;1.2239816582384506;0.0;0.0;0.0;90.0;8.64858552240342;6.0;116.0;0.0;34.0;0.0;0.0;0.0
