;ThrowsCount;NumberOfPackageMethod;NestedForDepth;MethodLength;BooleanExpressionComplexity;NPathComplexity;NCSSForThisFile;ExecutableStatementCount;FileLength;NumberOfPrivateMethod;ClassDataAbstractionCoupling;NestedIfElseDepth;NCSSForThisMethod;CyclomaticComplexity;NumberOfProtectedMethod;NumberOfMethods_Checkstyle;NumberOfPublicMethods_Checkstyle;BuggedMethods;AnonymousInnerClassLength;NestedTryDepth;ClassFanOutComplexity;NCSSForThisClass
count;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851;4851.0;4851.0;4851.0;4851.0
unique;;;;;;;;;;;;;;;;;;2;;;;
top;;;;;;;;;;;;;;;;;;False;;;;
freq;;;;;;;;;;;;;;;;;;4752;;;;
mean;0.0292723149866007;0.013605442176870748;0.0024737167594310453;4.865388579674294;0.03360131931560503;3.2104720676149245;5.229231086373944;2.0822510822510822;14.436611008039579;0.05029890744176459;0.11626468769325912;0.02391259534116677;2.836322407750979;0.8631210059781488;0.04596990311276026;0.6456400742115028;0.5357658214801072;;0.0707070707070707;0.001443001443001443;0.935271078128221;3.8573490002061432
std;0.1734093133397674;0.2346754902739633;0.053670079204640044;9.782090712613508;0.23042899702603403;144.0586379093339;18.59761150295477;5.962428444199766;45.06009562928837;0.48899793741985037;0.6489367538863371;0.18119087101808895;6.277993638258261;1.1188278428111178;0.40632847197215666;2.330871050295818;2.0065123165042205;;1.1550648194198172;0.04305330905514383;2.7198269774612944;15.52467464345659
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0
75%;0.0;0.0;0.0;5.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0
max;3.0;9.0;2.0;186.0;5.0;10000.0;325.0;130.0;977.0;11.0;21.0;3.0;131.0;18.0;16.0;43.0;42.0;;44.0;2.0;42.0;308.0
