NumberOfLambdas_max;LOCMethod_CK_50%;NumberOfModifiers_50%;MaxNumberOfNestedBlocks_std;NumberOfNumbers_50%;NumberOfAssignments_max;IsConstructor_freq;LOCMethod_CK_75%;NumberOfInnerClasses_75%;NumberOfModifiers_min;NumberOfVariables_count;NumberOfTryCatch_50%;RFC_count;NumberOfComparisons_std;Returns_25%;WMC_CK_max;NumberOfAnonymousClasses_mean;WMC_CK_50%;Returns_min;NumberOfAssignments_75%;NumberOfTryCatch_max;CBO_75%;NumberOfLambdas_count;NumberOfLogStatements_25%;NumberOfParenthesizedExps_min;NumberOfAnonymousClasses_50%;RFC_std;NumberOfParameters_CK_25%;NumberOfNumbers_min;NumberOfInnerClasses_max;CBO_max;NumberOfLogStatements_50%;CBO_count;RFC_max;CBO_50%;IsConstructor_top;NumberOfInnerClasses_25%;RFC_25%;NumberOfAssignments_min;MaxNumberOfNestedBlocks_max;NumberOfAnonymousClasses_min;Returns_mean;LOCMethod_CK_std;NumberOfComparisons_max;NumberOfModifiers_mean;NumberOfUniqueWords_min;NumberOfParenthesizedExps_count;MaxNumberOfNestedBlocks_count;NumberOfComparisons_min;NumberOfUniqueWords_max;NumberOfModifiers_count;Returns_max;NumberOfParenthesizedExps_max;NumberOfMathOperations_count;NumberOfLoops_min;MaxNumberOfNestedBlocks_50%;NumberOfUniqueWords_75%;NumberOfUniqueWords_25%;NumberOfParenthesizedExps_25%;NumberOfAssignments_mean;WMC_CK_count;NumberOfParenthesizedExps_mean;LOCMethod_CK_max;NumberOfStringLiterals_max;NumberOfLogStatements_mean;NumberOfTryCatch_75%;NumberOfUniqueWords_std;LOCMethod_CK_count;NumberOfStringLiterals_std;NumberOfLoops_max;NumberOfStringLiterals_min;NumberOfMathOperations_75%;NumberOfInnerClasses_mean;NumberOfAssignments_50%;Returns_50%;NumberOfLogStatements_max;NumberOfVariables_std;NumberOfTryCatch_min;NumberOfParameters_CK_std;NumberOfMathOperations_std;NumberOfMathOperations_max;NumberOfParameters_CK_max;WMC_CK_75%;NumberOfLambdas_75%;IsConstructor_count;NumberOfVariables_max;NumberOfMathOperations_min;NumberOfInnerClasses_count;NumberOfParenthesizedExps_std;NumberOfVariables_50%;NumberOfNumbers_25%;NumberOfParameters_CK_count;NumberOfUniqueWords_count;NumberOfStringLiterals_75%;NumberOfMathOperations_25%;NumberOfLambdas_mean;NumberOfLoops_50%;NumberOfModifiers_std;NumberOfTryCatch_std;WMC_CK_min;NumberOfComparisons_50%;LOCMethod_CK_mean;LOCMethod_CK_25%;NumberOfLogStatements_75%;NumberOfUniqueWords_mean;RFC_50%;Bugged;NumberOfModifiers_max;IsConstructor_unique;NumberOfNumbers_mean;NumberOfParenthesizedExps_50%;MaxNumberOfNestedBlocks_min;NumberOfStringLiterals_mean;NumberOfNumbers_count;NumberOfNumbers_max;NumberOfLambdas_std;NumberOfAnonymousClasses_75%;NumberOfComparisons_mean;NumberOfAssignments_count;NumberOfParenthesizedExps_75%;NumberOfModifiers_75%;NumberOfNumbers_75%;NumberOfLoops_75%;NumberOfStringLiterals_50%;NumberOfLambdas_50%;RFC_mean;NumberOfAnonymousClasses_count;NumberOfParameters_CK_mean;NumberOfStringLiterals_count;NumberOfMathOperations_50%;NumberOfComparisons_75%;NumberOfComparisons_count;NumberOfComparisons_25%;NumberOfNumbers_std;NumberOfLogStatements_count;NumberOfLogStatements_std;WMC_CK_std;CBO_std;NumberOfParameters_CK_50%;NumberOfVariables_25%;WMC_CK_25%;NumberOfAssignments_std;NumberOfParameters_CK_min;NumberOfModifiers_25%;Returns_std;NumberOfTryCatch_count;NumberOfAnonymousClasses_std;CBO_25%;NumberOfVariables_mean;NumberOfLoops_mean;CBO_min;NumberOfTryCatch_25%;NumberOfStringLiterals_25%;NumberOfLambdas_25%;NumberOfUniqueWords_50%;WMC_CK_mean;MaxNumberOfNestedBlocks_25%;NumberOfLambdas_min;Returns_count;RFC_75%;NumberOfLogStatements_min;MaxNumberOfNestedBlocks_75%;NumberOfTryCatch_mean;NumberOfLoops_count;NumberOfLoops_std;CBO_mean;RFC_min;LOCMethod_CK_min;NumberOfVariables_75%;NumberOfInnerClasses_std;NumberOfLoops_25%;NumberOfVariables_min;NumberOfInnerClasses_min;NumberOfParameters_CK_75%;NumberOfAnonymousClasses_max;NumberOfAnonymousClasses_25%;NumberOfMathOperations_mean;NumberOfAssignments_25%;Returns_75%;MaxNumberOfNestedBlocks_mean;NumberOfInnerClasses_50%
0.0;3.0;1.0;1.5811388300841898;0.0;24.0;13.0;25.0;0.0;1.0;13.0;0.0;13.0;2.5943726083138547;0.0;25.0;0.0;1.0;0.0;8.0;4.0;2.0;13.0;0.0;0.0;0.0;6.572085490337727;0.0;0.0;0.0;6.0;0.0;13.0;21.0;1.0;False;0.0;0.0;0.0;5.0;0.0;0.9230769230769232;27.913097743550892;9.0;1.0;3.0;13.0;13.0;0.0;117.0;13.0;5.0;10.0;13.0;0.0;0.0;42.0;5.0;0.0;4.615384615384615;13.0;1.3846153846153846;87.0;18.0;0.0;1.0;34.240476871829;13.0;4.992301766027063;1.0;0.0;0.0;0.0;0.0;1.0;0.0;3.33012666271774;0.0;2.4019223070763074;1.8912755158683456;5.0;8.0;4.0;0.0;13.0;9.0;0.0;13.0;3.0967311135685627;0.0;0.0;13.0;13.0;3.0;0.0;0.0;0.0;0.0;1.4806443503784736;1.0;0.0;19.846153846153847;3.0;0.0;28.923076923076927;0.0;False;1.0;1.0;1.0769230769230769;0.0;0.0;2.6153846153846154;13.0;8.0;0.0;0.0;1.3076923076923077;13.0;0.0;1.0;1.0;0.0;1.0;0.0;3.7692307692307687;13.0;1.4615384615384617;13.0;0.0;1.0;13.0;0.0;2.289888587593236;13.0;0.0;7.245688373094718;1.9806758753205744;0.0;0.0;1.0;7.697818538807617;0.0;1.0;1.3204505835470497;13.0;0.0;0.0;1.6153846153846154;0.07692307692307693;0.0;0.0;0.0;0.0;11.0;5.0;0.0;0.0;13.0;6.0;0.0;2.0;0.7692307692307693;13.0;0.2773500981126146;1.6153846153846154;0.0;2.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.9230769230769232;0.0;1.0;1.0;0.0
0.0;3.0;1.0;0.7071067811865476;0.0;1.0;8.0;4.25;0.0;1.0;8.0;0.0;8.0;0.0;0.75;3.0;0.0;1.0;0.0;0.25;1.0;2.0;8.0;0.0;0.0;0.0;2.070196678027062;0.0;0.0;0.0;2.0;0.0;8.0;6.0;0.5;False;0.0;0.0;0.0;2.0;0.0;0.75;3.461523198989552;0.0;1.0;3.0;8.0;8.0;0.0;10.0;8.0;1.0;0.0;8.0;0.0;0.0;7.75;4.0;0.0;0.25;8.0;0.0;13.0;3.0;0.0;0.0;2.659215781283755;8.0;0.9910312089651148;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.3535533905932738;0.0;1.6420805617960927;0.0;0.0;4.0;1.0;0.0;8.0;1.0;0.0;8.0;0.0;0.0;0.0;8.0;8.0;1.25;0.0;0.0;0.0;0.0;0.3535533905932738;1.0;0.0;4.625;3.0;0.0;6.25;0.0;False;1.0;1.0;0.125;0.0;0.0;1.125;8.0;1.0;0.0;0.0;0.0;8.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;8.0;0.875;8.0;0.0;0.0;8.0;0.0;0.3535533905932738;8.0;0.0;0.7071067811865476;0.9910312089651148;0.0;0.0;1.0;0.4629100498862757;0.0;1.0;0.4629100498862757;8.0;0.0;0.0;0.125;0.125;0.0;0.0;0.75;0.0;6.0;1.25;0.0;0.0;8.0;1.0;0.0;0.0;0.125;8.0;0.3535533905932738;0.875;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.75;0.0;0.0;0.0;0.0;1.0;0.25;0.0
0.0;3.0;1.0;0.5773502691896257;0.0;4.0;15.0;3.75;0.0;1.0;16.0;0.0;16.0;1.02469507659596;0.0;6.0;0.0;1.0;0.0;0.25;0.0;1.0;16.0;0.0;0.0;0.0;0.6324555320336759;0.0;0.0;0.0;1.0;0.0;16.0;2.0;0.5;False;0.0;0.0;0.0;2.0;0.0;1.0;3.7947331922020555;4.0;1.0;2.0;16.0;16.0;0.0;13.0;16.0;5.0;0.0;16.0;0.0;0.0;5.0;3.0;0.0;0.4375;16.0;0.0;18.0;8.0;0.0;0.0;2.804757862395017;16.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.25;0.0;0.8139410298049853;0.25;1.0;3.0;1.0;0.0;16.0;1.0;0.0;16.0;0.0;0.0;0.0;16.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;4.5;3.0;0.0;5.0;0.0;False;1.0;2.0;0.0;0.0;0.0;0.5;16.0;0.0;0.0;0.0;0.375;16.0;0.0;1.0;0.0;0.0;0.0;0.0;0.5;16.0;0.4375;16.0;0.0;0.0;16.0;0.0;0.0;16.0;0.0;1.2632629707758134;0.5163977794943222;0.0;0.0;1.0;1.0307764064044151;0.0;1.0;1.2110601416389966;16.0;0.0;0.0;0.0625;0.0;0.0;0.0;0.0;0.0;4.5;1.4375;0.0;0.0;16.0;1.0;0.0;0.0;0.0;16.0;0.0;0.5;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0625;0.0;1.0;0.25;0.0
0.0;4.0;1.0;1.4142135623730951;0.0;20.0;4.0;24.0;0.0;1.0;5.0;0.0;5.0;2.16794833886788;1.0;18.0;0.0;2.0;0.0;4.0;2.0;2.0;5.0;0.0;0.0;0.0;6.655824516917495;0.0;0.0;0.0;4.0;0.0;5.0;15.0;1.0;False;0.0;0.0;0.0;3.0;0.0;1.2;34.0690475358499;5.0;1.2;4.0;5.0;5.0;0.0;58.0;5.0;2.0;3.0;5.0;0.0;0.0;21.0;6.0;0.0;5.0;5.0;0.8;82.0;7.0;2.8;0.0;21.709444949145986;5.0;3.0331501776206204;2.0;0.0;0.0;0.0;1.0;1.0;11.0;4.47213595499958;0.0;0.4472135954999581;0.8944271909999159;2.0;1.0;4.0;0.0;5.0;10.0;0.0;5.0;1.3038404810405295;0.0;0.0;5.0;5.0;2.0;0.0;0.0;0.0;0.4472135954999579;0.8944271909999159;1.0;0.0;23.2;3.0;3.0;21.6;0.0;False;2.0;2.0;1.0;0.0;0.0;1.8;5.0;5.0;0.0;0.0;1.2;5.0;1.0;1.0;0.0;0.0;0.0;0.0;4.4;5.0;0.2;5.0;0.0;1.0;5.0;0.0;2.23606797749979;5.0;4.764451699828638;7.259476565152616;1.6733200530681511;0.0;0.0;1.0;8.54400374531753;0.0;1.0;0.8366600265340756;5.0;0.0;0.0;2.0;0.4;0.0;0.0;0.0;0.0;19.0;5.2;0.0;0.0;5.0;7.0;0.0;2.0;0.4;5.0;0.8944271909999159;1.4;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;2.0;1.0;0.0
0.0;3.0;1.0;0.0;0.0;0.0;1.0;3.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;1.0;2.0;1.0;False;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;3.0;1.0;1.0;0.0;3.0;1.0;1.0;0.0;1.0;0.0;0.0;3.0;3.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;3.0;0.0;3.0;2.0;False;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;2.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;2.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
0.0;16.5;1.0;1.4039282363260677;0.0;36.0;23.0;46.5;0.0;0.0;24.0;0.0;24.0;2.153106956288376;0.0;19.0;0.25;1.5;0.0;10.0;7.0;3.5;24.0;0.0;0.0;0.0;10.645727863285368;0.0;0.0;0.0;13.0;0.0;24.0;37.0;1.5;False;0.0;0.0;0.0;5.0;0.0;1.2083333333333333;32.85516635967225;9.0;2.5;2.0;24.0;24.0;0.0;77.0;24.0;7.0;8.0;24.0;0.0;0.5;33.5;6.0;0.0;6.666666666666668;24.0;0.5416666666666666;118.0;34.0;0.4583333333333333;0.0;19.89756375736137;24.0;7.116906794306117;3.0;0.0;2.0;0.0;2.5;1.0;10.0;7.6820890878473405;0.0;1.034723235417589;3.002414487312368;14.0;3.0;5.25;0.0;24.0;30.0;0.0;24.0;1.718927033043444;2.0;0.0;24.0;24.0;1.25;0.0;0.0;0.0;3.283688276260732;1.4389760852470908;1.0;0.0;28.625;3.0;0.0;21.0;2.5;False;10.0;2.0;1.7083333333333333;0.0;0.0;2.708333333333333;24.0;16.0;0.0;0.0;1.125;24.0;0.0;2.0;1.0;1.0;0.0;0.0;8.125;24.0;0.875;24.0;1.0;1.25;24.0;0.0;3.8275791721191834;24.0;2.0425722629261767;5.3885278030328445;3.488074922742725;0.5;0.0;1.0;9.880444747368262;0.0;1.0;1.5316704909195136;24.0;0.7372097807744856;0.0;5.166666666666667;0.6666666666666666;0.0;0.0;0.0;0.0;10.0;4.416666666666667;0.0;0.0;24.0;12.5;0.0;2.0;0.375;24.0;0.9168313422570846;2.9166666666666665;0.0;3.0;7.25;0.0;0.0;0.0;0.0;2.0;3.0;0.0;1.6666666666666667;0.0;1.25;1.1666666666666667;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;15.5;1.0;1.4142135623730951;0.0;3.0;1.0;21.25;0.0;1.0;2.0;1.0;2.0;0.0;0.5;5.0;0.0;3.0;0.0;2.75;2.0;1.75;2.0;0.5;0.0;0.0;7.071067811865476;1.0;0.0;0.0;2.0;1.0;2.0;10.0;1.5;True;0.0;2.5;2.0;2.0;0.0;1.0;16.263455967290593;0.0;1.0;10.0;2.0;2.0;0.0;30.0;2.0;2.0;0.0;2.0;0.0;1.0;25.0;15.0;0.0;2.5;2.0;0.0;27.0;1.0;1.0;1.5;14.142135623730953;2.0;0.7071067811865476;0.0;0.0;0.0;0.0;2.5;1.0;2.0;0.7071067811865476;0.0;0.0;0.0;0.0;1.0;4.0;0.0;2.0;1.0;0.0;2.0;0.0;0.5;0.0;2.0;2.0;0.75;0.0;0.0;0.0;0.0;1.4142135623730951;1.0;0.0;15.5;9.75;1.5;20.0;5.0;False;1.0;2.0;0.0;0.0;0.0;0.5;2.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.5;0.0;5.0;2.0;1.0;2.0;0.0;0.0;2.0;0.0;0.0;2.0;1.4142135623730951;2.8284271247461903;0.7071067811865476;1.0;0.25;2.0;0.7071067811865476;1.0;1.0;1.4142135623730951;2.0;0.0;1.25;0.5;0.0;1.0;0.5;0.25;0.0;20.0;3.0;0.5;0.0;2.0;7.5;0.0;1.5;1.0;2.0;0.0;1.5;0.0;4.0;0.75;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.25;1.5;1.0;0.0
0.0;7.0;1.0;0.0;0.0;5.0;2.0;9.0;0.0;1.0;2.0;0.0;2.0;0.0;0.0;1.0;0.0;1.0;0.0;4.0;0.0;3.25;2.0;0.0;0.0;0.0;7.7781745930520225;0.0;0.0;0.0;4.0;0.0;2.0;12.0;2.5;False;0.0;3.75;1.0;0.0;0.0;0.0;5.656854249492381;0.0;1.0;4.0;2.0;2.0;0.0;21.0;2.0;0.0;0.0;2.0;0.0;0.0;16.75;8.25;0.0;3.0;2.0;0.0;11.0;2.0;0.0;0.0;12.020815280171306;2.0;0.7071067811865476;0.0;1.0;0.0;0.0;3.0;0.0;0.0;3.5355339059327378;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;5.0;0.0;2.0;0.0;2.5;0.0;2.0;2.0;1.75;0.0;0.0;0.0;0.0;0.0;1.0;0.0;7.0;5.0;0.0;12.5;6.5;False;1.0;1.0;0.0;0.0;0.0;1.5;2.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;1.5;0.0;6.5;2.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;2.1213203435596424;0.0;1.25;1.0;2.8284271247461903;0.0;1.0;0.0;2.0;0.0;1.75;2.5;0.0;1.0;0.0;1.25;0.0;12.5;1.0;0.0;0.0;2.0;9.25;0.0;0.0;0.0;2.0;0.0;2.5;1.0;3.0;3.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
0.0;3.0;1.0;0.0;0.0;0.0;1.0;3.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;False;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;4.0;1.0;1.0;0.0;4.0;1.0;1.0;0.0;1.0;0.0;0.0;4.0;4.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;3.0;0.0;4.0;0.0;False;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
