;NumberOfMethods_Checkstyle_std;CyclomaticComplexity_count;NCSSForThisMethod_50%;NestedIfElseDepth_25%;FileLength_75%;NumberOfPublicMethods_Checkstyle_75%;NestedTryDepth_mean;AnonymousInnerClassLength_min;NCSSForThisClass_std;NumberOfProtectedMethod_count;NumberOfPackageMethod_count;NestedIfElseDepth_75%;NCSSForThisFile_min;NCSSForThisFile_50%;ThrowsCount_25%;BooleanExpressionComplexity_std;ClassDataAbstractionCoupling_std;NumberOfPublicMethods_Checkstyle_count;ClassDataAbstractionCoupling_min;AnonymousInnerClassLength_25%;ClassFanOutComplexity_mean;NumberOfProtectedMethod_25%;CyclomaticComplexity_max;ThrowsCount_std;NumberOfProtectedMethod_75%;NCSSForThisMethod_25%;NumberOfPackageMethod_min;MethodLength_max;ThrowsCount_mean;MethodLength_min;NumberOfPrivateMethod_mean;MethodLength_75%;NumberOfPrivateMethod_min;NCSSForThisClass_min;ThrowsCount_50%;NumberOfPrivateMethod_std;ExecutableStatementCount_count;ClassDataAbstractionCoupling_mean;NCSSForThisFile_std;NumberOfProtectedMethod_50%;BooleanExpressionComplexity_75%;BooleanExpressionComplexity_min;ClassFanOutComplexity_25%;NCSSForThisClass_75%;NestedTryDepth_75%;NumberOfProtectedMethod_mean;NCSSForThisMethod_count;FileLength_count;NestedForDepth_min;NestedTryDepth_min;NestedIfElseDepth_count;NumberOfPublicMethods_Checkstyle_25%;ClassDataAbstractionCoupling_max;BooleanExpressionComplexity_50%;NumberOfPackageMethod_mean;MethodLength_std;NumberOfMethods_Checkstyle_mean;NCSSForThisFile_25%;NPathComplexity_50%;ThrowsCount_max;MethodLength_25%;ExecutableStatementCount_25%;FileLength_min;NCSSForThisFile_max;NestedForDepth_mean;ClassFanOutComplexity_max;CyclomaticComplexity_std;ThrowsCount_min;Bugged;ClassFanOutComplexity_min;MethodLength_mean;FileLength_50%;NumberOfPackageMethod_25%;NestedIfElseDepth_max;NCSSForThisFile_count;NumberOfProtectedMethod_std;NPathComplexity_max;NestedTryDepth_count;NumberOfPackageMethod_std;NPathComplexity_count;AnonymousInnerClassLength_count;NestedForDepth_50%;AnonymousInnerClassLength_max;ExecutableStatementCount_std;CyclomaticComplexity_25%;NumberOfMethods_Checkstyle_count;NPathComplexity_mean;NestedTryDepth_std;ThrowsCount_count;ClassFanOutComplexity_std;ClassDataAbstractionCoupling_count;NPathComplexity_25%;AnonymousInnerClassLength_75%;NumberOfPrivateMethod_25%;AnonymousInnerClassLength_std;ClassDataAbstractionCoupling_50%;NestedTryDepth_25%;NPathComplexity_min;NestedIfElseDepth_50%;ClassFanOutComplexity_75%;ExecutableStatementCount_min;NumberOfPrivateMethod_count;NumberOfProtectedMethod_max;CyclomaticComplexity_min;NumberOfPublicMethods_Checkstyle_50%;NestedForDepth_std;NCSSForThisMethod_std;NCSSForThisMethod_mean;FileLength_25%;NCSSForThisClass_mean;NCSSForThisClass_25%;NCSSForThisClass_count;NestedIfElseDepth_mean;BooleanExpressionComplexity_count;NumberOfPackageMethod_50%;ClassFanOutComplexity_50%;NestedForDepth_75%;NestedTryDepth_50%;NumberOfPackageMethod_75%;ClassDataAbstractionCoupling_25%;NCSSForThisMethod_min;NestedTryDepth_max;NumberOfMethods_Checkstyle_50%;NumberOfPackageMethod_max;AnonymousInnerClassLength_mean;ClassFanOutComplexity_count;NumberOfMethods_Checkstyle_25%;ExecutableStatementCount_mean;MethodLength_count;BooleanExpressionComplexity_max;BooleanExpressionComplexity_25%;FileLength_std;NestedForDepth_max;NestedForDepth_25%;ExecutableStatementCount_50%;MethodLength_50%;ExecutableStatementCount_max;NCSSForThisFile_75%;NumberOfPublicMethods_Checkstyle_max;NumberOfPrivateMethod_50%;NCSSForThisMethod_max;NestedIfElseDepth_min;FileLength_mean;NPathComplexity_75%;NumberOfMethods_Checkstyle_75%;NumberOfPublicMethods_Checkstyle_min;NumberOfMethods_Checkstyle_min;AnonymousInnerClassLength_50%;BooleanExpressionComplexity_mean;NumberOfPublicMethods_Checkstyle_std;ClassDataAbstractionCoupling_75%;NumberOfPrivateMethod_max;NumberOfMethods_Checkstyle_max;NCSSForThisClass_max;NPathComplexity_std;NCSSForThisFile_mean;CyclomaticComplexity_75%;CyclomaticComplexity_mean;CyclomaticComplexity_50%;NCSSForThisMethod_75%;NestedForDepth_count;NCSSForThisClass_50%;NumberOfPrivateMethod_75%;NumberOfProtectedMethod_min;NumberOfPublicMethods_Checkstyle_mean;FileLength_max;NestedIfElseDepth_std;ExecutableStatementCount_75%;ThrowsCount_75%
count;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1863;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;1.8074218998892229;6.831835007932311;4.933368588048651;0.05274986779481756;20.28556319407721;0.39820200951877316;0.0030311769468831257;0.08302485457429931;17.08025127677642;6.831835007932311;6.831835007932311;0.19420941300898995;2.0312004230565837;3.105499735589635;0.019830777366472766;0.22270285195746156;0.8590806250615867;6.831835007932311;0.04706504494976203;0.11250661025912216;1.3995949850623113;0.009254362771020624;5.1861448968799575;0.029131019105636372;0.03053939714436806;3.6835007932310946;0.0;33.69328397673189;0.0349831175592846;5.05076679005817;0.08807338010638657;14.509783183500794;0.0026441036488630354;1.5193019566367;0.025647805393971445;0.2884126567241959;6.831835007932311;0.35565359417429876;20.6114103190146;0.01269169751454257;0.1902432575356954;0.04918032786885246;0.4547858276044421;4.448175568482284;0.0013220518244315177;0.06445931263330108;6.831835007932311;6.831835007932311;0.0005288207297726071;0.0;6.831835007932311;0.1850872554204125;2.7567424643046006;0.0896351136964569;0.0039876152812429915;10.47809605750415;0.8228560016559154;2.5683500793231095;14.23109465891063;0.0904283447911158;6.617662612374405;2.2974616604970914;8.920148069804336;68.09783183500794;0.010494458559306223;7.871496562665256;1.4964134072473654;0.01639344262295082;;0.3833950290851401;12.464300021773894;12.303014278159704;0.00026441036488630354;0.5409836065573771;6.831835007932311;0.15653842882003283;233.53569539925965;6.831835007932311;0.01139785136930389;6.831835007932311;6.831835007932311;0.0018508725542041248;5.377578001057642;3.9341838491060557;1.4304600740349023;6.831835007932311;36.66227194600949;0.0073628101205973785;6.831835007932311;2.56396587396137;6.831835007932311;7.732548915917504;0.5708619777895293;0.003966155473294554;1.7476076035469474;0.06504494976203067;0.00026441036488630354;1.5780010576414596;0.08328926493918562;0.916314119513485;1.6430460074034903;6.831835007932311;0.4843997884717081;1.2628239026969856;0.21443680592279218;0.02147788186660105;5.281859091695828;6.609149458923018;10.611581173982021;7.787122638752828;1.980830248545743;6.831835007932311;0.16099017815912464;6.831835007932311;0.0005288207297726071;0.526969857218403;0.00819672131147541;0.0005288207297726071;0.0015864621893178213;0.05605499735589635;2.8339502908514014;0.020624008461131677;0.23294553146483343;0.0370174510840825;0.8535684448797871;6.831835007932311;0.19857218402961396;4.505780467475104;6.831835007932311;0.6382866208355368;0.06094658910629297;60.266716329086925;0.05711263881544157;0.0007932310946589106;3.2242199894235855;9.09307244843998;12.478053939714437;5.52221047065045;4.512427287149657;0.005288207297726071;17.213643574828133;0.04019037546271814;31.649843543583533;27.758328926493917;0.4497620306716023;0.1560021152829191;0.1644632469592808;0.1578529878371232;0.1730038155361141;1.3607506949873527;0.15877842411422527;1.0920148069804336;6.090957165520888;57.22421998942359;79.1485207072686;9.616692901922653;2.5203595980962454;2.24807523377593;1.750132205182443;7.630750925436277;6.831835007932311;2.446060285563194;0.01639344262295082;0.005817028027498678;0.6677645219749841;197.62295081967213;0.20477267777856492;5.24497620306716;0.04190904283447911
std;1.5081095598418657;9.925770092137414;8.392586311490458;0.274513230266325;35.93996810434554;0.7347763172688951;0.026152643418433572;1.4803769536097044;21.391097638931;9.925770092137414;9.925770092137414;0.4828344952194098;8.27577452616717;10.50821555144017;0.14342991550132814;0.759068050074058;1.326884400272662;9.925770092137414;0.445323264665827;1.6191850322329056;1.4484729311497384;0.08321594478467391;7.667580242196894;0.11706334953169577;0.16851962003260235;6.750252796549727;0.0;45.5600661996868;0.1612277957570411;10.136870894320596;0.19912100625619242;19.91463686290908;0.09480355484638193;6.940184552940921;0.16347108127081017;0.6637865218060752;9.925770092137414;0.6358520484543587;24.0242130113553;0.1020825458593559;0.7754491745278627;0.3223805545655768;1.2867629267923797;12.315308497527184;0.02814075421610588;0.17827939846836327;9.925770092137414;9.925770092137414;0.0229961024909137;0.0;9.925770092137414;0.6033282735045461;4.811917609017045;0.3876785120332334;0.0435911543637993;17.06758377165592;0.6384159507678511;8.824984172003356;231.4754498183111;0.3133170825241399;11.721321978568067;4.181010410269027;26.064378399526916;108.16899599103834;0.06406148557147674;9.22016922065576;3.1324618013030134;0.13111609476408456;;1.2550508756553311;15.711847263834496;29.49383733332727;0.008128198835263912;0.887173077275952;9.925770092137414;0.43448325691713646;1340.8142129390426;9.925770092137414;0.11852750765863228;9.925770092137414;9.925770092137414;0.03809985450443886;15.371457251873073;6.220782556787404;2.3313603336144983;9.925770092137414;285.0448712142069;0.054467375771572304;9.925770092137414;2.6853955833764287;9.925770092137414;117.55005811803112;3.1396722855791763;0.0964865696001325;4.934437550303425;0.4769831734075109;0.008128198835263913;22.84913999104031;0.329848402546496;1.792041372321717;3.6146421848278734;9.925770092137414;1.6052641236728857;2.0594827162157303;0.6271190005458817;0.10955332574388316;9.228454767692249;8.907815196297094;26.681260454788077;9.983785095564276;7.493524280051375;9.925770092137414;0.35058456468284954;9.925770092137414;0.016256397670527823;1.4166665802580483;0.09018778416462477;0.016256397670527827;0.03446676655163482;0.45297848523390327;5.877670974124647;0.14583397037505463;0.6866595366364843;0.3913136054247752;2.7775075278977144;9.925770092137414;0.6597101916618208;5.729398164338323;9.925770092137414;1.9107864317202747;0.3350459224668166;56.371910738389545;0.27586500322476026;0.02438459650579174;5.24810022187845;14.684839377371238;17.24372194994561;14.03742761900674;8.507962593441698;0.1014370759863873;23.7711274782048;0.25711621264865847;27.02720729770658;374.0548658800321;0.8031773519494627;0.600255402427726;0.656208417254772;2.0158933166440813;0.551191236341244;1.3558737482502727;0.6285804440862554;3.1315082005900363;9.363227504177694;100.22024669169485;517.2543685506347;11.255144135832326;3.784495042639592;3.033886831875227;2.8515462682689683;11.193641532520324;9.925770092137414;9.078857879511261;0.12959400028303397;0.07606740498680928;0.6199709639482153;259.2330203058563;0.3594958992550093;7.157093172833409;0.20378846844354276
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.4;0.0;1.0;0.0;0.0;2.0;0.0;4.0;0.0;3.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;3.0;1.0;0.0;10.0;0.0;2.0;0.0;0.0;;0.0;3.333333333333333;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.48529411764705876;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;3.25;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;1.0;0.0;1.0;0.0;2.0;0.0;18.666666666666668;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.0;0.0;4.0;1.0;1.0;1.0;2.0;1.0;0.0;0.0;0.0;0.25;56.0;0.0;1.0;0.0
50%;2.0;4.0;3.0;0.0;0.0;0.0;0.0;0.0;11.09400392450458;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;1.2;0.0;3.0;0.0;0.0;2.0;0.0;17.0;0.0;3.0;0.0;10.0;0.0;0.0;0.0;0.0;4.0;0.07142857142857142;14.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;0.0;0.0;4.0;0.0;1.0;0.0;0.0;4.3576242252962665;1.0;0.0;1.0;0.0;3.0;1.0;0.0;32.0;0.0;5.0;0.5;0.0;;0.0;9.25;0.0;0.0;0.0;4.0;0.0;3.0;4.0;0.0;4.0;4.0;0.0;0.0;1.7320508075688772;1.0;4.0;1.4444444444444444;0.0;4.0;1.7320508075688772;4.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;0.0;1.0;0.0;0.0;2.1679483388678804;4.173913043478262;0.0;6.0;0.0;4.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;4.0;0.0;3.0;4.0;0.0;0.0;56.0;0.0;0.0;2.0;5.0;6.0;0.0;3.0;0.0;9.0;0.0;28.2;1.75;0.0;0.0;0.0;0.0;0.0;1.3416407864998738;0.0;0.0;4.0;26.0;0.7867957924694432;7.833333333333332;2.0;1.625;1.0;4.25;4.0;0.0;0.0;0.0;0.8571428571428571;124.0;0.0;3.0;0.0
75%;2.6457513110645907;9.0;5.0;0.0;41.875;1.0;0.0;0.0;23.116486401453738;9.0;9.0;0.0;0.0;0.0;0.0;0.37674914055431635;1.3333333333333333;9.0;0.0;0.0;2.0;0.0;6.0;0.0;0.0;4.0;0.0;44.0;0.0;3.0;0.08712121212121213;18.875;0.0;0.0;0.0;0.3015113445777636;9.0;0.5266106442577031;29.317537102510556;0.0;0.0;0.0;0.0;6.0;0.0;0.0;9.0;9.0;0.0;0.0;9.0;0.0;3.0;0.0;0.0;14.960180184612232;1.0;0.0;2.0;0.0;7.0;2.75;0.0;82.0;0.0;11.0;1.8644544714716087;0.0;;0.0;16.8;0.0;0.0;1.0;9.0;0.0;10.0;9.0;0.0;9.0;9.0;0.0;0.0;5.480271021503898;1.0;9.0;4.0;0.0;9.0;4.288557417937769;9.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.5;1.0;9.0;0.0;1.0;0.0;0.0;7.3684910632707075;8.6625;0.0;9.666666666666666;0.0;9.0;0.2;9.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;9.0;0.0;6.0;9.0;1.0;0.0;85.48885863203212;0.0;0.0;3.5;10.0;17.0;8.5;6.0;0.0;23.0;0.0;42.0;4.0;1.0;0.0;0.0;0.0;0.179144385026738;2.23606797749979;0.0;1.0;8.0;67.0;3.162092309512201;12.0;3.0;2.5195681511470984;2.0;9.75;9.0;0.0;0.0;0.0;1.0;242.5;0.40451991747794525;7.0;0.0
