;NumberOfPrivateMethod_75%;ClassDataAbstractionCoupling_std;NumberOfPublicMethods_Checkstyle_count;NestedTryDepth_min;ThrowsCount_max;NCSSForThisClass_min;NumberOfPackageMethod_min;BooleanExpressionComplexity_50%;AnonymousInnerClassLength_50%;NestedForDepth_min;NCSSForThisFile_75%;BooleanExpressionComplexity_max;NumberOfPublicMethods_Checkstyle_min;NCSSForThisMethod_std;CyclomaticComplexity_std;NumberOfPackageMethod_std;NestedForDepth_std;FileLength_mean;MethodLength_min;NCSSForThisClass_std;NumberOfProtectedMethod_std;NumberOfPackageMethod_50%;NumberOfPublicMethods_Checkstyle_25%;ExecutableStatementCount_count;ClassFanOutComplexity_min;NCSSForThisFile_mean;NumberOfPrivateMethod_count;NCSSForThisFile_50%;NCSSForThisFile_25%;MethodLength_std;ExecutableStatementCount_max;NumberOfMethods_Checkstyle_75%;ClassFanOutComplexity_count;NestedIfElseDepth_75%;NestedTryDepth_50%;NCSSForThisClass_75%;CyclomaticComplexity_min;AnonymousInnerClassLength_min;NestedTryDepth_25%;NCSSForThisFile_count;ClassDataAbstractionCoupling_75%;NCSSForThisFile_max;NPathComplexity_std;AnonymousInnerClassLength_mean;ClassFanOutComplexity_mean;NumberOfPrivateMethod_max;MethodLength_max;NestedTryDepth_count;Bugged;AnonymousInnerClassLength_25%;NCSSForThisMethod_mean;FileLength_min;ClassDataAbstractionCoupling_25%;FileLength_std;NCSSForThisMethod_max;ClassDataAbstractionCoupling_50%;BooleanExpressionComplexity_std;NumberOfMethods_Checkstyle_std;CyclomaticComplexity_25%;NumberOfProtectedMethod_25%;CyclomaticComplexity_mean;NCSSForThisMethod_count;NumberOfPrivateMethod_mean;NumberOfPrivateMethod_min;BooleanExpressionComplexity_25%;ClassDataAbstractionCoupling_count;CyclomaticComplexity_50%;ClassFanOutComplexity_std;MethodLength_75%;FileLength_max;NPathComplexity_mean;NestedTryDepth_mean;NumberOfMethods_Checkstyle_count;MethodLength_50%;ClassFanOutComplexity_max;NumberOfPackageMethod_75%;BooleanExpressionComplexity_mean;NestedForDepth_75%;MethodLength_mean;FileLength_count;NumberOfPackageMethod_max;NestedIfElseDepth_25%;AnonymousInnerClassLength_75%;NCSSForThisMethod_min;NumberOfPublicMethods_Checkstyle_max;BooleanExpressionComplexity_min;ExecutableStatementCount_25%;NCSSForThisMethod_75%;NumberOfProtectedMethod_min;CyclomaticComplexity_count;ExecutableStatementCount_mean;NestedTryDepth_max;NumberOfMethods_Checkstyle_mean;ClassDataAbstractionCoupling_mean;NestedIfElseDepth_min;NumberOfPrivateMethod_std;ThrowsCount_count;NCSSForThisClass_25%;ThrowsCount_min;ThrowsCount_25%;NumberOfPublicMethods_Checkstyle_50%;AnonymousInnerClassLength_count;NPathComplexity_50%;NestedIfElseDepth_max;NumberOfMethods_Checkstyle_25%;CyclomaticComplexity_75%;ExecutableStatementCount_50%;NestedIfElseDepth_std;NCSSForThisMethod_50%;MethodLength_25%;NumberOfPrivateMethod_50%;NumberOfPackageMethod_25%;NumberOfPackageMethod_mean;NCSSForThisClass_50%;NumberOfPrivateMethod_25%;NestedTryDepth_75%;NestedForDepth_50%;NPathComplexity_count;ExecutableStatementCount_min;MethodLength_count;NumberOfPublicMethods_Checkstyle_75%;NPathComplexity_25%;NPathComplexity_max;NumberOfMethods_Checkstyle_min;ClassFanOutComplexity_25%;BooleanExpressionComplexity_count;NumberOfProtectedMethod_50%;NCSSForThisFile_min;NumberOfPublicMethods_Checkstyle_std;NumberOfProtectedMethod_max;NCSSForThisClass_count;NumberOfMethods_Checkstyle_max;NPathComplexity_min;ExecutableStatementCount_std;FileLength_50%;NCSSForThisMethod_25%;NestedIfElseDepth_50%;NCSSForThisClass_max;NestedForDepth_count;ClassDataAbstractionCoupling_min;ThrowsCount_50%;ClassFanOutComplexity_50%;NumberOfProtectedMethod_mean;ThrowsCount_75%;ThrowsCount_mean;NumberOfPublicMethods_Checkstyle_mean;NumberOfMethods_Checkstyle_50%;ExecutableStatementCount_75%;FileLength_75%;NestedForDepth_max;AnonymousInnerClassLength_std;CyclomaticComplexity_max;NumberOfProtectedMethod_75%;AnonymousInnerClassLength_max;FileLength_25%;NumberOfProtectedMethod_count;ThrowsCount_std;ClassDataAbstractionCoupling_max;BooleanExpressionComplexity_75%;NestedForDepth_25%;NestedIfElseDepth_mean;NumberOfPackageMethod_count;ClassFanOutComplexity_75%;NestedIfElseDepth_count;NestedTryDepth_std;NestedForDepth_mean;NCSSForThisFile_std;NPathComplexity_75%;NCSSForThisClass_mean
count;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.018333333333333333;0.3233117093174844;9.3;0.0;0.44;1.5466666666666666;0.006666666666666667;0.13333333333333333;0.0;0.006666666666666667;4.716666666666667;0.5466666666666666;0.13333333333333333;5.2387091543120565;1.2830550183652212;0.09908388523725696;0.044100785531225574;32.736699180684;5.04;17.592187286989432;0.0881106254407217;0.02;0.15333333333333332;9.3;0.21333333333333335;9.243971035593894;9.3;3.2866666666666666;3.07;8.288045961459575;14.546666666666667;0.3333333333333333;9.3;0.07;0.0;3.4783333333333335;1.14;0.0;0.0;9.3;0.10166666666666667;76.74;85.77313770622777;0.08904588744588746;0.5553327209633291;1.04;28.4;9.3;;0.0;7.126288127948865;10.386666666666667;0.04833333333333333;63.40327530330096;18.14666666666667;0.056666666666666664;0.20091805319797773;2.095112962834869;1.2566666666666666;0.0;1.9248835040762882;9.3;0.09509655578067469;0.013333333333333334;0.055;9.3;1.51;0.8920865983331487;11.898333333333333;227.13333333333333;39.59984826614607;0.0007407407407407407;9.3;8.42;3.013333333333333;0.043333333333333335;0.1729779571898565;0.03;10.859871120676711;9.3;0.26666666666666666;0.03;0.0;3.3;7.22;0.03333333333333333;2.9566666666666666;7.986666666666666;0.0;9.3;5.557935354114898;0.006666666666666667;0.7863941359767446;0.16067087332025062;0.02666666666666667;0.27106169958584037;9.3;1.72;0.05333333333333334;0.14833333333333334;0.17333333333333334;9.3;4.703333333333333;0.21333333333333335;0.16666666666666666;2.025;4.39;0.06750899523986496;5.696666666666666;6.1883333333333335;0.013333333333333334;0.013333333333333334;0.0510636332266767;1.8933333333333333;0.013333333333333334;0.0;0.01;9.3;2.2666666666666666;9.3;0.2683333333333333;3.993333333333333;232.0;0.14;0.24666666666666667;9.3;0.0;2.8533333333333335;1.6937630126356733;0.29333333333333333;9.3;8.566666666666666;3.3933333333333335;4.370630601126035;12.59;4.093333333333334;0.04;66.55333333333333;9.3;0.04;0.19;0.28;0.03051964318410981;0.27666666666666667;0.21476349630571012;0.6372804873601626;0.19333333333333333;6.3116666666666665;20.44;0.14;0.2512615685736005;4.96;0.01;0.7666666666666667;11.488333333333333;9.3;0.1580918118115803;1.0666666666666667;0.22;0.006666666666666667;0.06317126683808606;9.3;0.4116666666666667;9.3;0.0022222222222222222;0.027746869252751605;20.00940080191943;12.626666666666667;7.281670694589678
std;0.16912890388621904;0.4480886428255665;13.395757116521345;0.0;0.6073376823503418;8.214887996039389;0.0816496580927726;0.6493844960527212;0.0;0.0816496580927726;20.117892189037946;1.2401919458857247;0.5005589716670066;9.306528158714887;2.7797513123168778;0.36804481718413773;0.1554681336459592;57.72551827403902;12.006083469160806;28.136070976085254;0.2880589952672806;0.1404690130390367;0.5048312451995756;13.395757116521345;0.7907745473821676;19.718880798956455;13.395757116521345;18.529166801865774;18.47978943196227;16.93042654071637;21.672234011964505;0.654531613529568;13.395757116521345;0.2898159564113129;0.0;11.672938670428257;1.375870682232959;0.0;0.0;13.395757116521345;0.3595493388526132;127.2773977309183;545.0554964109122;0.4789705270936542;0.8554034518806958;2.7438277285622075;43.86174129002733;13.395757116521345;;0.0;10.660856535464067;49.47981578403835;0.28334155798037675;83.14931412506247;26.743972956265463;0.292734542383113;0.5190341794793584;1.9943047690000748;1.5619067106286904;0.0;2.003943394075942;13.395757116521345;0.22764461706399933;0.1632993161855452;0.22411271732571114;13.395757116521345;1.9622870508156185;1.0099393350565302;17.626201150623384;284.1048739785091;236.21638943050942;0.009072184232530287;13.395757116521345;15.132200432616727;2.9853932248424364;0.23839977328337786;0.49139405585667423;0.1661849862786333;15.218281973919803;13.395757116521345;1.0011179433340132;0.21852157296786284;0.0;8.333445189405893;12.658588616896123;0.18010685369303292;7.761046828535463;13.703866679469707;0.0;13.395757116521345;9.74252075783832;0.08164965809277258;0.557425960171959;0.33285167149126454;0.19887828616250475;0.5704167097314408;13.395757116521345;8.22262184872405;0.22545008425851168;0.3488916615496585;0.5277108556810058;13.395757116521345;34.217969722085584;0.5506148688337072;0.5105158158277673;2.2939865215545243;10.543274519042583;0.1788610937968252;11.485604743812848;12.533007984912805;0.1632993161855452;0.09943914308125239;0.19415978340081244;8.310983003155956;0.1632993161855452;0.0;0.09104169706253748;13.395757116521345;7.625167324969386;13.395757116521345;0.5992841553732517;33.118026005975025;1404.6811336557212;0.5054070058979577;0.8011038246117704;13.395757116521345;0.0;18.485759680412613;1.8745868912968482;0.8788847926475936;13.395757116521345;13.305605957195004;32.76229144141432;7.905233454274821;50.07089168999162;8.622126340979992;0.2559362336690489;122.71949444841019;13.395757116521345;0.2809380260780735;0.38716834692296376;0.8483699332391271;0.11102350663075211;0.4450950681447739;0.33658602004747173;0.5644779037175;0.5396576924828631;12.695780116796652;61.748241830253896;0.4638618169615811;1.3609809652832985;9.211081741339482;0.0759724429022584;4.20995411454002;49.51205141638359;13.395757116521345;0.2349876595038669;1.3740972224459886;0.7434952823652138;0.0816496580927726;0.24227739957777963;13.395757116521345;0.9844157580958729;13.395757116521345;0.027216552697590872;0.12029516932945698;29.10065426962138;84.02917132228319;11.497226002945414
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.630184331797237;3.0;0.0;0.0;0.0;0.0;1.0;0.0;2.157258064516129;1.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;0.08455882352941177;0.0;4.0;1.0;;0.0;2.25;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;3.0;32.75;0.0;0.0;1.0;3.0;1.0;0.0;0.0;0.0;3.4880952380952377;1.0;0.0;0.0;0.0;1.25;0.0;0.0;1.0;2.0;0.0;1.0;1.2118055555555556;0.0;0.5178571428571428;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.25;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.22696007531575413;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.7806916495533176;0.42460342115398064;0.0;0.0;18.56818181818182;3.0;9.583333333333332;0.0;0.0;0.0;5.0;0.0;5.342857142857143;5.0;0.0;0.0;3.358125260474725;7.0;0.0;5.0;0.0;0.0;0.0;1.0;0.0;0.0;5.0;0.0;33.5;0.6910276694485502;0.0;0.3076923076923077;0.0;15.5;5.0;;0.0;4.427391304347826;0.0;0.0;46.895254477618266;8.0;0.0;0.0;2.0;1.0;0.0;1.3566666666666665;5.0;0.0;0.0;0.0;5.0;1.0;0.7559289460184546;7.0;124.0;1.0486111111111112;0.0;5.0;4.5;2.0;0.0;0.0;0.0;6.909090909090908;5.0;0.0;0.0;0.0;2.0;3.5;0.0;1.0;4.125;0.0;5.0;3.0;0.0;1.0;0.05197132616487455;0.0;0.0;5.0;0.0;0.0;0.0;0.0;5.0;0.75;0.0;0.0;1.25;2.0;0.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;1.0;5.0;0.0;0.0;2.0;0.0;0.0;5.0;0.0;0.0;1.4142135623730951;0.0;5.0;4.5;0.0;1.578643969492481;0.0;2.0;0.0;28.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;5.0;0.0;1.0;0.0;0.0;0.0;5.0;0.0;5.0;0.0;0.0;11.895832870892452;1.0;4.397186147186147
75%;0.0;0.44201055480277374;11.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;5.7076499568235715;1.726381458467016;0.0;0.0;37.88888888888889;3.0;20.947656790192646;0.0;0.0;0.0;11.0;0.0;9.3;11.0;0.0;0.0;9.849977452822078;16.0;1.0;11.0;0.0;0.0;0.0;1.0;0.0;0.0;11.0;0.0;103.25;3.784458443311279;0.0;0.6666666666666666;1.0;32.75;11.0;;0.0;7.479166666666667;0.0;0.0;93.12486997072007;21.0;0.0;0.0;3.1622776601683795;1.0;0.0;2.303260869565217;11.0;0.09415584415584416;0.0;0.0;11.0;2.0;1.326031664408321;12.6875;337.0;3.125;0.0;11.0;8.0;4.0;0.0;0.09090909090909093;0.0;11.306818181818183;11.0;0.0;0.0;0.0;2.0;8.0;0.0;2.5;8.5;0.0;11.0;5.666666666666668;0.0;1.0;0.16666666666666666;0.0;0.40824829046386296;11.0;0.0;0.0;0.0;0.0;11.0;2.0;0.0;0.0;2.1875;4.0;0.0;5.0;5.1875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;1.0;11.0;0.0;1.0;16.0;0.0;0.0;11.0;0.0;0.0;2.7365846581347344;0.0;11.0;10.0;1.0;4.861942971706119;0.0;3.6875;0.0;89.5;11.0;0.0;0.0;0.0;0.0;0.75;0.3333333333333333;1.0;0.0;7.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;11.0;0.38515615916349916;1.0;0.0;0.0;0.0;11.0;0.0;11.0;0.0;0.0;26.88523221127717;2.5;8.166666666666666
