;MHF;AIF;MIF;AHF;Bugged;Aa
count;145.0;145.0;145.0;145.0;145;145.0
unique;;;;;2;
top;;;;;False;
freq;;;;;123;
mean;0.3293790649517241;0.0;0.0;0.07114370903448276;;2.6758620689655173
std;0.40688577675281257;0.0;0.0;0.194839314905862;;5.243888981234211
min;0.0;0.0;0.0;0.0;;0.0
25%;0.0;0.0;0.0;0.0;;0.0
50%;0.0;0.0;0.0;0.0;;0.0
75%;0.75;0.0;0.0;0.0;;3.0
max;1.0;0.0;0.0;0.833333333;;32.0
