;NumberOfPrivateMethod_mean;NestedIfElseDepth_std;NCSSForThisMethod_std;BooleanExpressionComplexity_mean;NCSSForThisClass_count;BooleanExpressionComplexity_25%;NumberOfPrivateMethod_50%;NCSSForThisFile_std;ThrowsCount_50%;NestedIfElseDepth_75%;CyclomaticComplexity_75%;FileLength_75%;NCSSForThisFile_25%;ClassFanOutComplexity_min;ClassDataAbstractionCoupling_min;NPathComplexity_min;ExecutableStatementCount_max;FileLength_mean;NumberOfPrivateMethod_75%;NestedTryDepth_25%;ThrowsCount_max;AnonymousInnerClassLength_50%;NCSSForThisClass_75%;NumberOfMethods_Checkstyle_std;NumberOfPrivateMethod_std;NestedTryDepth_count;NestedForDepth_25%;NumberOfProtectedMethod_50%;ExecutableStatementCount_min;ThrowsCount_min;ClassDataAbstractionCoupling_std;NestedForDepth_count;NumberOfMethods_Checkstyle_count;CyclomaticComplexity_25%;NumberOfPrivateMethod_count;FileLength_count;NumberOfPublicMethods_Checkstyle_std;NCSSForThisFile_max;ExecutableStatementCount_mean;AnonymousInnerClassLength_max;NumberOfMethods_Checkstyle_mean;NumberOfProtectedMethod_mean;MethodLength_mean;ExecutableStatementCount_25%;AnonymousInnerClassLength_25%;MethodLength_min;NestedIfElseDepth_25%;NumberOfPackageMethod_count;ThrowsCount_std;NestedIfElseDepth_max;NumberOfPrivateMethod_min;BooleanExpressionComplexity_75%;ExecutableStatementCount_count;ClassFanOutComplexity_25%;MethodLength_75%;AnonymousInnerClassLength_min;ThrowsCount_25%;NestedTryDepth_max;NestedForDepth_50%;NumberOfPublicMethods_Checkstyle_min;FileLength_max;NumberOfPublicMethods_Checkstyle_50%;ClassFanOutComplexity_std;NumberOfPackageMethod_25%;ClassDataAbstractionCoupling_50%;NCSSForThisFile_50%;NumberOfProtectedMethod_25%;NumberOfPublicMethods_Checkstyle_count;NestedForDepth_mean;NestedForDepth_75%;CyclomaticComplexity_std;NCSSForThisMethod_75%;NestedIfElseDepth_count;NCSSForThisClass_min;FileLength_std;NPathComplexity_25%;FileLength_min;NumberOfMethods_Checkstyle_75%;ThrowsCount_count;NumberOfPackageMethod_75%;NestedIfElseDepth_50%;NumberOfPublicMethods_Checkstyle_75%;NCSSForThisMethod_mean;NCSSForThisFile_min;MethodLength_25%;NestedForDepth_max;NPathComplexity_max;CyclomaticComplexity_min;ClassDataAbstractionCoupling_count;NPathComplexity_count;ExecutableStatementCount_std;ClassFanOutComplexity_75%;NCSSForThisMethod_max;NumberOfPublicMethods_Checkstyle_25%;NestedForDepth_min;NumberOfProtectedMethod_75%;NumberOfPackageMethod_min;NPathComplexity_75%;NCSSForThisFile_75%;NumberOfProtectedMethod_max;NPathComplexity_50%;AnonymousInnerClassLength_mean;Bugged;NCSSForThisClass_max;NCSSForThisMethod_count;NCSSForThisMethod_min;NumberOfPackageMethod_std;BooleanExpressionComplexity_std;NCSSForThisFile_count;NumberOfPrivateMethod_max;NumberOfProtectedMethod_min;NPathComplexity_std;NumberOfProtectedMethod_std;NCSSForThisMethod_25%;CyclomaticComplexity_count;NumberOfPublicMethods_Checkstyle_mean;NumberOfMethods_Checkstyle_25%;NumberOfPackageMethod_50%;NCSSForThisClass_50%;AnonymousInnerClassLength_75%;NCSSForThisFile_mean;ClassFanOutComplexity_count;BooleanExpressionComplexity_count;NestedTryDepth_std;NestedTryDepth_50%;ClassDataAbstractionCoupling_75%;ClassDataAbstractionCoupling_25%;ExecutableStatementCount_75%;ClassFanOutComplexity_50%;NCSSForThisClass_std;ThrowsCount_mean;ThrowsCount_75%;ExecutableStatementCount_50%;FileLength_25%;CyclomaticComplexity_50%;NCSSForThisClass_25%;NumberOfMethods_Checkstyle_50%;AnonymousInnerClassLength_count;ClassDataAbstractionCoupling_mean;NumberOfProtectedMethod_count;NumberOfPackageMethod_mean;ClassFanOutComplexity_max;FileLength_50%;MethodLength_50%;NestedIfElseDepth_min;ClassFanOutComplexity_mean;CyclomaticComplexity_mean;NumberOfPrivateMethod_25%;MethodLength_count;NumberOfPackageMethod_max;AnonymousInnerClassLength_std;NCSSForThisClass_mean;NumberOfPublicMethods_Checkstyle_max;NCSSForThisMethod_50%;MethodLength_std;NumberOfMethods_Checkstyle_max;NPathComplexity_mean;BooleanExpressionComplexity_max;NestedIfElseDepth_mean;NestedTryDepth_mean;NumberOfMethods_Checkstyle_min;BooleanExpressionComplexity_50%;BooleanExpressionComplexity_min;NestedTryDepth_75%;MethodLength_max;NestedForDepth_std;CyclomaticComplexity_max;ClassDataAbstractionCoupling_max;NestedTryDepth_min
count;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;409;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.06608665926448609;0.0908270593165989;3.4793037344296667;0.11019882535039191;7.011695906432749;0.04203216374269006;0.013157894736842105;17.071520517296964;0.03728070175438596;0.05445906432748538;1.8826754385964912;17.24671052631579;3.4137426900584797;0.6198830409356725;0.14473684210526316;11.508771929824562;9.131578947368421;21.01147261766312;0.03508771929824561;0.0014619883040935672;0.11988304093567251;0.35964912280701755;5.3881578947368425;1.7079933660458508;0.19339331277670083;7.011695906432749;0.003289473684210526;0.05482456140350877;1.8698830409356726;0.014619883040935672;0.8884906325588083;7.011695906432749;7.011695906432749;1.2913011695906433;7.011695906432749;7.011695906432749;1.270277201060519;57.46491228070175;3.757554854431609;3.8304093567251463;0.8127224149164509;0.13223540945898132;7.775421510762416;2.336988304093567;0.23355263157894737;4.286549707602339;0.016812865497076022;7.011695906432749;0.04390960074049725;0.27046783625730997;0.0014619883040935672;0.12171052631578948;7.011695906432749;0.7843567251461988;8.644736842105264;0.1564327485380117;0.0266812865497076;0.014619883040935672;0.003654970760233918;0.13450292397660818;114.19298245614036;0.22295321637426901;2.8542447170224072;0.005482456140350877;0.23318713450292397;4.108187134502924;0.044956140350877194;7.011695906432749;0.007686759369797825;0.0062134502923976605;0.884214433022162;5.944078947368421;7.011695906432749;1.9970760233918128;35.018470403382594;11.793859649122806;6.909356725146199;0.5683479532163743;7.011695906432749;0.017543859649122806;0.023391812865497075;0.4071637426900585;5.304248941477862;2.719298245614035;5.077119883040936;0.03654970760233918;153.31432748538012;1.1915204678362572;7.011695906432749;7.011695906432749;2.5985101892914293;1.6553362573099415;12.942982456140351;0.17799707602339182;0.0029239766081871343;0.10562865497076024;0.0043859649122807015;14.041666666666666;7.075292397660819;0.6549707602339181;12.259502923976608;0.8732089087271885;;45.21491228070175;7.011695906432749;2.8859649122807016;0.038236067150084145;0.14554845470485497;7.011695906432749;0.7134502923976608;0.03508771929824561;38.16444173781901;0.2262245232444206;3.4554093567251463;7.011695906432749;0.5980519605222397;0.23574561403508773;0.006578947368421052;3.050438596491228;0.9345760233918129;9.281630490635385;7.011695906432749;7.011695906432749;0.004686342156444611;0.0014619883040935672;0.44042397660818716;0.18859649122807018;4.33625730994152;0.9517543859649122;13.28959652401713;0.04634693626684763;0.055190058479532164;2.9473684210526314;8.612938596491228;1.4671052631578947;2.5146198830409356;0.29751461988304095;7.011695906432749;0.5231519646842879;7.011695906432749;0.02001799416491351;8.480994152046783;10.316520467836257;6.138888888888889;0.013157894736842105;1.8747149295279548;1.7576214685574354;0.007309941520467836;7.011695906432749;0.12134502923976608;1.3418477511855658;7.132597603085095;4.470760233918129;4.21125730994152;5.107693680967997;5.87280701754386;23.983778000833617;0.4137426900584795;0.0583831244316396;0.0034419601925322753;0.17543859649122806;0.06067251461988304;0.03070175438596491;0.0029239766081871343;19.181286549707604;0.011532801069034355;3.7207602339181287;2.66812865497076;0.0014619883040935672
std;0.2003610021271298;0.24700636857909522;5.271726011421258;0.26859540064232224;9.638708141170753;0.21511029311177096;0.1500686955794777;18.51432497295242;0.19055033999478352;0.2610203535530557;1.8132613830502082;24.69145041151157;9.502757234053748;1.9857359536610573;0.8265993881614602;277.2027154581059;12.82853231773379;19.273379897173456;0.24172360199433526;0.03823595564509361;0.3791212592291863;1.818252308664584;9.724476227032142;1.6009212835880904;0.5630245331919922;9.638708141170753;0.05485370780046726;0.30176173526757183;3.7986318702739945;0.13174024516294902;1.4435937898758398;9.638708141170753;9.638708141170753;1.3231637968604653;9.638708141170753;9.638708141170753;1.4489247765554931;82.23318056116152;4.515405436447345;10.792623116805558;0.590379797007591;0.345540155186233;7.802786668100749;3.9066381535936205;1.4345161907318562;6.233362776552807;0.1362628802824709;9.638708141170753;0.156632317888248;0.6504457873209939;0.03823595564509361;0.35598850616492955;9.638708141170753;2.011157609353847;9.107775148687555;1.2482853222867962;0.16380168043439014;0.12011342351676388;0.057279241678220044;0.4521394254217613;137.09769590700617;0.5079883596142228;3.0192745559739644;0.06809412129554734;0.9171831694888071;10.220876502259786;0.2842371792391025;9.638708141170753;0.06324329181375005;0.07067021585412542;1.527031610504464;6.190018002341127;9.638708141170753;6.966348116418779;32.02708786412307;277.1936012003673;19.89836474799265;0.8240014438599969;9.638708141170753;0.11424507886220789;0.16733957809934163;0.6382510620784302;5.228221825741194;9.386300822893931;6.475951619604464;0.1877907986445323;1058.0189791324062;1.2747754481521416;9.638708141170753;9.638708141170753;3.9850664666245974;2.7052787242865257;18.280824519651357;0.4601886365943738;0.05403420703311784;0.36512664458538546;0.0661295824636208;277.75995418456034;12.181453418268099;1.6344448909745481;277.1810057324361;2.3869224056448712;;68.63623858635943;9.638708141170753;4.212702200361201;0.18627831124809538;0.29558260111306284;9.638708141170753;2.594011646771662;0.27898029847167916;273.5793424551943;0.5122362008205084;4.383332263877474;9.638708141170753;0.5178315361507695;0.5776758600823452;0.0738047237161295;7.771537387491908;3.141055482126377;10.002720085431607;9.638708141170753;9.638708141170753;0.04311416844897691;0.03823595564509361;1.2082014615387608;0.8463997067517377;5.255832125408266;2.181349097892582;15.496760012063799;0.18152592721355923;0.2307098832050515;4.187254114309367;19.963100587239783;1.4530272677185398;7.101566939991241;0.6518425005066532;9.638708141170753;1.0250708884760973;9.638708141170753;0.10547935789649249;9.709450568521985;21.29362195006154;7.07565325901496;0.12622215969434206;2.1510386740886727;1.5791626063213988;0.08196390924866308;9.638708141170753;0.6413386925447819;3.550348360190335;7.9617736859926245;7.582867257754405;4.798459873512164;8.092587171303927;8.404134641851558;291.1977149125858;0.8134221931413902;0.1964364239328209;0.04335343853774304;0.5635946234587278;0.25876180741557736;0.20375416228857532;0.04677211891745696;28.533238701336753;0.06679909155366782;5.1696922270874826;4.539345675056593;0.03823595564509361
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;10.138392857142858;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;11.75;1.0;0.0;0.61875;0.0;3.0;1.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;40.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;3.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;;8.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;3.775641025641025;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;0.0;3.0;0.0;0.5;1.0;0.0;1.0;0.0;0.0;3.0;0.0;2.0;0.0;1.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0
50%;0.0;0.0;1.2721626195020683;0.0;3.0;0.0;0.0;14.071067811865476;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;5.0;17.416666666666664;0.0;0.0;0.0;0.0;0.0;1.6993587371177719;0.0;3.0;0.0;0.0;1.0;0.0;0.0;3.0;3.0;1.0;3.0;3.0;0.9743416490252568;29.0;2.5;0.0;1.0;0.0;5.5;1.0;0.0;3.0;0.0;3.0;0.0;0.0;0.0;0.0;3.0;0.0;5.75;0.0;0.0;0.0;0.0;0.0;68.0;0.0;2.1213203435596424;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;4.0;3.0;0.0;34.648232278140824;0.5;0.0;0.0;3.0;0.0;0.0;0.0;4.0;0.0;3.0;0.0;2.0;1.0;3.0;3.0;1.1547005383792517;0.0;7.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;;21.0;3.0;2.0;0.0;0.0;3.0;0.0;0.0;0.5773502691896258;0.0;2.0;3.0;0.6666666666666666;0.0;0.0;0.0;0.0;7.5;3.0;3.0;0.0;0.0;0.0;0.0;3.0;0.0;9.5;0.0;0.0;1.5;0.0;1.0;0.0;0.0;3.0;0.125;3.0;0.0;5.0;0.0;4.0;0.0;1.3333333333333333;1.3333333333333333;0.0;3.0;0.0;0.0;5.666666666666668;2.0;2.5;1.7320508075688772;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;2.0;1.0;0.0
75%;0.0;0.0;4.949747468305833;0.09176672384219556;8.25;0.0;0.0;25.464676827911184;0.0;0.0;2.25;32.4375;1.25;0.0;0.0;1.0;11.25;29.0;0.0;0.0;0.0;0.0;8.25;2.6457513110645907;0.0;8.25;0.0;0.0;1.0;0.0;1.282016631383847;8.25;8.25;1.0;8.25;8.25;2.0;69.0;4.898809523809524;0.0;1.0;0.04480381760339343;10.016666666666666;2.5;0.0;3.0;0.0;8.25;0.0;0.0;0.0;0.0;8.25;0.3125;11.0;0.0;0.0;0.0;0.0;0.0;144.25;0.0;4.5088934190276815;0.0;0.0;2.5;0.0;8.25;0.0;0.0;1.1547005383792517;8.0;8.25;0.0;50.6803385282675;1.0;0.0;1.0;8.25;0.0;0.0;1.0;6.937500000000001;0.0;5.0;0.0;6.0;1.0;8.25;8.25;3.652042902621342;2.5;16.0;0.0;0.0;0.0;0.0;2.5;11.5;1.0;1.5;0.0;;53.25;8.25;2.0;0.0;0.23570226039551584;8.25;0.0;0.0;2.1213203435596424;0.0;3.75;8.25;1.0;0.5;0.0;3.0;0.0;12.0;8.25;8.25;0.0;0.0;0.0;0.0;5.5625;1.0;19.62990915244728;0.0;0.0;3.5;6.5625;2.0;1.5625;1.0;8.25;0.7035714285714285;8.25;0.0;12.0;13.125;7.5;0.0;2.5;2.0;0.0;8.25;0.0;0.0;9.0;5.0;5.0;6.8335211838427625;7.0;2.6;1.0;0.0;0.0;0.0;0.0;0.0;0.0;23.0;0.0;4.0;3.0;0.0
