accuracy_score;precision_score;recall_score;f1_score;roc_auc_score;pr_auc_score;type;data_type
0.9699437880004589;0.03571428571428571;0.00423728813559322;0.007575757575757574;0.6670791040391383;0.04739826563314565;one;checkstyle
0.9707468165653321;0.12;0.012711864406779662;0.02298850574712644;0.6698859764298661;0.04101762410396484;one;ck
0.9720087185958471;0.0;0.0;0.0;0.6397023556144442;0.03415960781929001;one;halstead
0.9729264655271309;0.0;0.0;0.0;0.6513485278159156;0.025643132438971497;one;jasome_ck
0.9720087185958471;0.1;0.00423728813559322;0.008130081300813009;0.6655747443437875;0.03372977622053627;one;jasome_lk
0.9718940002294367;0.0;0.0;0.0;0.5835983824261212;0.021994752046168284;one;jasome_methods
0.9699437880004589;0.06666666666666667;0.00847457627118644;0.015037593984962405;0.696221514092318;0.04497261359739217;all;bugged
0.9699437880004589;0.06666666666666667;0.00847457627118644;0.015037593984962405;0.696221514092318;0.04497261359739217;all;bugged_methods
0.9699437880004589;0.06666666666666667;0.00847457627118644;0.015037593984962405;0.6915722882055403;0.04343709507279421;all;checkstyle
0.9699437880004589;0.06666666666666667;0.00847457627118644;0.015037593984962405;0.696221514092318;0.04497261359739217;all;source_monitor
0.9699437880004589;0.06666666666666667;0.00847457627118644;0.015037593984962405;0.696221514092318;0.04497261359739217;all;source_monitor_files
0.9697143512676379;0.08823529411764706;0.012711864406779662;0.02222222222222222;0.6925048313378459;0.05104838990235488;all;ck
0.9699437880004589;0.06666666666666667;0.00847457627118644;0.015037593984962405;0.696221514092318;0.04497261359739217;all;mood
0.9699437880004589;0.06666666666666667;0.00847457627118644;0.015037593984962405;0.696221514092318;0.04497261359739217;all;halstead
0.9699437880004589;0.06666666666666667;0.00847457627118644;0.015037593984962405;0.696221514092318;0.04497261359739217;all;jasome_mood
0.9699437880004589;0.06666666666666667;0.00847457627118644;0.015037593984962405;0.696221514092318;0.04497261359739217;all;jasome_ck
0.9701732247332798;0.1;0.012711864406779662;0.02255639097744361;0.6852353416110588;0.047019468968339015;all;jasome_lk
0.9699437880004589;0.06666666666666667;0.00847457627118644;0.015037593984962405;0.696221514092318;0.04497261359739217;all;jasome_files
0.9701732247332798;0.07142857142857142;0.00847457627118644;0.015151515151515148;0.6984790528779186;0.047475716870169965;all;jasome_methods
0.9699437880004589;0.06666666666666667;0.00847457627118644;0.015037593984962405;0.696221514092318;0.04497261359739217;all;process_files
0.9699437880004589;0.06666666666666667;0.00847457627118644;0.015037593984962405;0.696221514092318;0.04497261359739217;all;issues_files
