;ClTCi;NOL;Bugged;NOA;NSM;RTLOC;ClRCi;PMd;NPF;NOD;NSF;TLOC
count;1484.0;1484.0;1484;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0
unique;;;2;;;;;;;;;
top;;;False;;;;;;;;;
freq;;;1455;;;;;;;;;
mean;27.5741533609407;0.0;;0.0;0.692722371967655;113.74865229110512;1.8897860684642858;2.77088948787062;0.26549865229110514;0.0;1.059299191374663;84.62803234501348
std;120.68829079107739;0.0;;0.0;3.3932900948757627;318.5430411751643;4.0936516770167914;5.948310867400652;1.8753095552060564;0.0;3.6432982536861975;254.30021743845953
min;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;4.0;0.0;;0.0;0.0;26.0;1.388888889;1.0;0.0;0.0;0.0;15.0
75%;11.0;0.0;;0.0;0.0;71.0;2.0;3.0;0.0;0.0;1.0;47.0
max;829.5689655169998;0.0;;0.0;39.0;2041.0;30.276923077;110.0;62.0;0.0;107.0;1644.0
