;NCSSForThisFile_std;NestedForDepth_max;MethodLength_50%;BooleanExpressionComplexity_count;NCSSForThisMethod_50%;CyclomaticComplexity_50%;NCSSForThisMethod_25%;CyclomaticComplexity_std;NestedTryDepth_mean;FileLength_min;NumberOfPackageMethod_mean;BooleanExpressionComplexity_std;FileLength_50%;NPathComplexity_mean;NCSSForThisMethod_75%;NCSSForThisFile_mean;NCSSForThisClass_25%;NumberOfMethods_Checkstyle_count;FileLength_count;NCSSForThisClass_std;FileLength_25%;AnonymousInnerClassLength_50%;NestedForDepth_min;NestedTryDepth_std;NumberOfProtectedMethod_min;NumberOfPackageMethod_count;NumberOfPackageMethod_min;ThrowsCount_50%;NumberOfPrivateMethod_50%;NestedTryDepth_max;NestedIfElseDepth_25%;NumberOfPublicMethods_Checkstyle_max;NumberOfPrivateMethod_min;NPathComplexity_max;MethodLength_count;NCSSForThisClass_min;MethodLength_max;NumberOfProtectedMethod_mean;ClassDataAbstractionCoupling_25%;BooleanExpressionComplexity_75%;NumberOfMethods_Checkstyle_mean;NumberOfPackageMethod_25%;FileLength_75%;ThrowsCount_75%;ClassDataAbstractionCoupling_75%;ThrowsCount_count;ClassDataAbstractionCoupling_mean;NCSSForThisClass_50%;NCSSForThisClass_count;NumberOfPrivateMethod_mean;NCSSForThisClass_75%;NumberOfPrivateMethod_25%;MethodLength_std;ThrowsCount_max;ClassFanOutComplexity_min;ExecutableStatementCount_count;NPathComplexity_50%;CyclomaticComplexity_min;NumberOfPrivateMethod_count;NestedForDepth_std;NestedIfElseDepth_min;NestedTryDepth_75%;NumberOfMethods_Checkstyle_min;AnonymousInnerClassLength_max;NCSSForThisMethod_std;NCSSForThisClass_max;NestedIfElseDepth_max;NCSSForThisFile_25%;FileLength_max;AnonymousInnerClassLength_std;NCSSForThisMethod_max;MethodLength_75%;NestedIfElseDepth_std;NumberOfPrivateMethod_75%;NCSSForThisFile_50%;ClassFanOutComplexity_mean;NCSSForThisClass_mean;ClassFanOutComplexity_std;NestedIfElseDepth_count;NestedForDepth_mean;ExecutableStatementCount_75%;NumberOfMethods_Checkstyle_50%;NumberOfPublicMethods_Checkstyle_std;AnonymousInnerClassLength_min;NestedIfElseDepth_mean;NestedTryDepth_50%;NumberOfPrivateMethod_std;ExecutableStatementCount_max;NumberOfProtectedMethod_50%;CyclomaticComplexity_max;NCSSForThisMethod_mean;BooleanExpressionComplexity_25%;ClassDataAbstractionCoupling_max;AnonymousInnerClassLength_mean;NumberOfMethods_Checkstyle_max;ExecutableStatementCount_25%;ThrowsCount_25%;NCSSForThisFile_min;NestedIfElseDepth_50%;AnonymousInnerClassLength_25%;ClassFanOutComplexity_25%;NestedTryDepth_min;NestedIfElseDepth_75%;NumberOfProtectedMethod_75%;ClassDataAbstractionCoupling_50%;NumberOfPublicMethods_Checkstyle_75%;NumberOfPublicMethods_Checkstyle_25%;ExecutableStatementCount_std;FileLength_std;ClassFanOutComplexity_max;NumberOfPublicMethods_Checkstyle_50%;NestedForDepth_count;NPathComplexity_std;BooleanExpressionComplexity_mean;NumberOfMethods_Checkstyle_75%;NestedTryDepth_count;NCSSForThisMethod_min;ThrowsCount_min;AnonymousInnerClassLength_75%;ClassDataAbstractionCoupling_count;BooleanExpressionComplexity_min;NumberOfPackageMethod_std;MethodLength_mean;ThrowsCount_mean;NCSSForThisMethod_count;NPathComplexity_25%;NestedForDepth_75%;NumberOfPublicMethods_Checkstyle_min;NumberOfPrivateMethod_max;BooleanExpressionComplexity_50%;NumberOfProtectedMethod_std;NPathComplexity_75%;NPathComplexity_count;ClassFanOutComplexity_50%;MethodLength_min;FileLength_mean;NumberOfProtectedMethod_max;ThrowsCount_std;CyclomaticComplexity_mean;NCSSForThisFile_max;NumberOfProtectedMethod_25%;NCSSForThisFile_75%;ClassDataAbstractionCoupling_std;ClassFanOutComplexity_75%;NumberOfProtectedMethod_count;NestedForDepth_50%;NumberOfMethods_Checkstyle_std;NestedTryDepth_25%;NCSSForThisFile_count;NestedForDepth_25%;NumberOfPackageMethod_50%;MethodLength_25%;ExecutableStatementCount_mean;Bugged;BooleanExpressionComplexity_max;AnonymousInnerClassLength_count;NumberOfPackageMethod_75%;CyclomaticComplexity_75%;ExecutableStatementCount_min;NumberOfPackageMethod_max;CyclomaticComplexity_count;CyclomaticComplexity_25%;NumberOfPublicMethods_Checkstyle_count;NumberOfPublicMethods_Checkstyle_mean;NumberOfMethods_Checkstyle_25%;ExecutableStatementCount_50%;NPathComplexity_min;ClassDataAbstractionCoupling_min;ClassFanOutComplexity_count
count;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1228;;;;;;;;;;;;;;;
mean;21.246675877118566;0.17950754567116758;13.959094519459889;5.289912629070691;8.24702144559174;1.8895949166004766;6.475575853852264;1.1201174773254392;0.007858975179530341;8.459094519459889;0.02367331931951247;0.12117987049685319;13.586973788721208;38.735567451503606;11.02760127084988;12.603428649910478;3.5806195393169182;5.289912629070691;5.289912629070691;15.817809569145565;11.023034154090547;0.12430500397140588;0.023034154090548053;0.010909624321935311;0.007148530579825258;5.289912629070691;0.0007942811755361397;0.17593328038125497;0.013105639396346307;0.027005559968228753;0.028594122319301033;3.597299444003177;0.005559968228752979;257.74583002382843;5.289912629070691;2.6552819698173153;30.503574265289913;0.019735013387248083;0.31374106433677523;0.1300635424940429;0.718315885166761;0.0029785544082605244;23.435861795075457;0.26747418586179506;0.664614773629865;5.289912629070691;0.6902206467891796;4.539316918189039;5.289912629070691;0.07923525977661218;8.460484511517077;0.009332803812549643;9.01649697814644;0.41620333598093723;0.6457505957108817;5.289912629070691;13.772041302621128;1.3725178713264496;5.289912629070691;0.06336779689236746;0.019857029388403495;0.007545671167593328;0.1636219221604448;1.2239872915011913;5.272116192502145;46.28514694201748;0.2509928514694202;4.617156473391581;130.86338363780777;0.4674187612904101;17.94042891183479;18.704130262112788;0.09013024198817722;0.0409054805401112;5.8173153296266875;1.765491186059166;9.743018751396448;2.2537703535012645;5.289912629070691;0.05946735563737677;9.223193010325655;0.2819698173153296;1.1003752954031598;0.023034154090548053;0.07382124681883569;0.003971405877680699;0.19654235693698674;15.16679904686259;0.009134233518665607;4.20571882446386;9.351803045564326;0.05242255758538523;2.4336775218427324;0.25675347272038035;4.395552025416998;5.1509134233518665;0.1312549642573471;3.4169976171564733;0.04011119936457506;0.07088959491660048;0.8141382049245433;0.0023828435266084196;0.0891580619539317;0.011914217633042097;0.3816521048451152;0.4811358220810167;0.20015885623510724;4.664883728577375;43.59820717290808;6.053216838760921;0.2545671167593328;5.289912629070691;79.63334321254725;0.11170676540939162;0.5544082605242255;5.289912629070691;5.096108022239873;0.09213661636219221;0.2448371723590151;5.289912629070691;0.03891977760127085;0.0531280911922011;15.877549776035465;0.21230220303316846;5.289912629070691;6.673947577442415;0.06711675933280381;0.15011914217633043;0.6298649722001588;0.07188244638602065;0.04233969840949548;33.60107227958697;5.289912629070691;0.9924543288324067;8.597299444003177;27.372181533308204;0.181890389197776;0.1631472738193091;2.1995831141378472;62.80619539316918;0.008141382049245433;10.581413820492454;0.9073163589223293;1.7359015091342336;5.289912629070691;0.03812549642573471;1.3531199404731389;0.003177124702144559;5.289912629070691;0.030381254964257347;0.005162827640984908;10.962470214455918;7.693116664167317;;0.34630659253375695;5.289912629070691;0.018665607625099286;2.505361397934869;3.880063542494043;0.14853057982525814;5.289912629070691;1.573669579030977;5.289912629070691;0.6044458123099545;0.22061159650516282;6.75099285146942;3.863383637807784;0.24861000794281177;5.289912629070691
std;26.324947305920652;0.4846050419095229;20.019498511253783;8.696945989668398;11.437087759358977;2.1333996421006813;10.125423167568938;1.9193407824172517;0.06685574304720401;26.38097792572838;0.10201352393805786;0.29412341484609705;30.25911845868562;246.3559511626876;13.620611145525507;15.264150170884083;9.906822139015382;8.696945989668398;8.696945989668398;21.518257414751;27.00305003984397;1.027753298080721;0.1960094931580803;0.08001927718506884;0.2012197764382867;8.696945989668398;0.028182994438777084;0.39600627333153054;0.13383708908562225;0.17168808131713592;0.16643080936427604;7.285721756204472;0.11611449389925749;1374.4413782616948;8.696945989668398;9.421012622609853;38.371611271907646;0.21455991586572346;1.0806405535750456;0.3943556404539816;0.5622320474548035;0.03784045686366712;38.30619756815244;0.5009851724487918;1.4626568069607093;8.696945989668398;1.2297165110978663;11.664912936222795;8.696945989668398;0.20559662780379517;15.63157579541272;0.12070223632187674;14.030968750056218;0.7154381249338716;2.062228402060053;8.696945989668398;165.00289677048133;1.6628095820504822;8.696945989668398;0.18596316188736223;0.15052524431966874;0.07875883438426104;0.48694717873373855;4.726951072500089;8.195472329398148;76.23119086860886;0.5985450423112767;12.653774938998092;184.8506562198714;1.907738251112141;23.048758233269265;23.57968660621356;0.22748626639283454;0.19435263656245888;14.699966541330204;2.2975983211207978;12.421966968094114;2.8263712799859366;8.696945989668398;0.23282712704401176;12.337924870680066;0.5567198355015784;1.3808331881625362;0.365799437618896;0.21777578055219848;0.05967681221567917;0.4859247375026443;19.91993058470163;0.20359440241612517;5.500088077374243;11.479360734296748;0.24362314064489543;3.4702015712649534;1.1791206121023725;8.138947126439708;9.160578447657015;0.34270459076495885;12.121604182527328;0.19980989461028317;0.5989097166446126;2.093005107858112;0.04877555968017801;0.29324605579852564;0.20827722203974128;1.1788970363331048;0.6257678753682906;0.400153953112271;7.371290179682166;49.24723628945507;7.091130315462888;0.4625577255933233;8.696945989668398;443.19137759379447;0.3011738732964549;0.7321120839469332;8.696945989668398;9.501040480604063;0.30537338361373684;1.6011761480024311;8.696945989668398;0.2203713640071103;0.2277499352877974;20.038124279699794;0.3849466426068349;8.696945989668398;57.33259591572705;0.27886414205998344;0.3913080690092649;1.9763138506935036;0.2960318358815107;0.3034097353305552;371.40822810039845;8.696945989668398;2.2798415551944964;16.980930827816874;29.839158308874644;1.603193132498511;0.37249925099916575;2.239185488378191;94.77198270388116;0.20179845372369537;19.532898038685037;1.4149173067144778;2.8364518089852426;8.696945989668398;0.22673106599891021;1.5481936914857335;0.051698430763374305;8.696945989668398;0.20603073110647357;0.057893889149901755;17.946931225019355;10.377329794242133;;0.7654141130341546;8.696945989668398;0.11517029010996908;2.7807253503746403;8.554273079186112;0.7487269437026379;8.696945989668398;1.7947890139419382;8.696945989668398;0.4773479648559269;0.49533806691303334;10.401658722549687;36.57751424684708;1.05612945874824;8.696945989668398
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;3.0;1.0;2.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;1.0;;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0
50%;10.606601717798213;0.0;6.0;3.0;4.0;1.0;2.75;0.0;0.0;0.0;0.0;0.0;0.0;1.5;6.0;8.6;0.0;3.0;3.0;6.260990336999412;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;3.0;0.0;17.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;0.16129032258064516;0.0;3.0;0.0;0.0;0.0;2.0615528128088303;0.0;0.0;3.0;1.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;1.4142135623730951;20.0;0.0;0.0;80.0;0.0;10.0;10.0;0.0;0.0;0.0;1.0;6.0;0.8428282197659419;3.0;0.0;4.5;0.0;0.7071067811865476;0.0;0.0;0.0;0.0;8.0;0.0;2.0;5.8;0.0;1.0;0.0;2.0;1.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2066664642907563;34.648232278140824;4.0;0.0;3.0;0.5477225575051661;0.0;0.0;3.0;2.0;0.0;0.0;3.0;0.0;0.0;9.333333333333334;0.0;3.0;0.75;0.0;0.0;0.0;0.0;0.0;1.75;3.0;0.0;3.0;23.0;0.0;0.0;1.5714285714285714;32.0;0.0;0.0;0.0;0.0;3.0;0.0;1.4142135623730951;0.0;3.0;0.0;0.0;4.0;4.0;;0.0;3.0;0.0;1.75;1.0;0.0;3.0;1.0;3.0;0.7183098591549296;0.0;2.5;0.0;0.0;3.0
75%;36.34589895074784;0.0;17.0;6.0;10.0;2.0;7.5;1.4927601182704717;0.0;0.0;0.0;0.0;0.0;4.333333333333333;16.0;18.666666666666668;0.0;6.0;6.0;26.558112382722783;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;12.0;6.0;0.0;46.0;0.0;0.0;0.0;1.0;0.0;40.0;0.5;0.75;6.0;1.0;0.0;6.0;0.0;12.0;0.0;13.810350470339614;1.0;0.0;6.0;2.0;1.0;6.0;0.0;0.0;0.0;0.0;0.0;7.951925432274128;58.0;0.0;0.0;171.0;0.0;26.0;26.375;0.0;0.0;0.0;2.5;14.464285714285714;4.118900391285639;6.0;0.0;13.5;0.75;1.7320508075688772;0.0;0.0;0.0;0.0;22.0;0.0;5.0;13.0;0.0;4.0;0.0;5.0;6.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;1.0;0.25;7.071067811865476;73.73565636970815;9.0;0.5;6.0;3.3138815090805567;0.0;1.0;6.0;5.0;0.0;0.0;6.0;0.0;0.0;21.816666666666663;0.3333333333333333;6.0;1.875;0.0;0.0;0.0;0.0;0.0;4.0;6.0;0.5;7.0;39.92307692307693;0.0;0.1611271287156953;3.0;83.0;0.0;15.0;1.4142135623730951;2.5;6.0;0.0;2.138089935299395;0.0;6.0;0.0;0.0;12.375;10.809090909090909;;0.0;6.0;0.0;3.25;3.0;0.0;6.0;1.75;6.0;1.0;0.25;8.0;1.0;0.0;6.0
